year,week_number,count_type,subtotal_sum,parish_sum,difference,absolute_difference,arithmetic_error,legible_only,legible
1639,23,buried,174,174,0,0,False,False,True
1639,23,plague,1,1,0,0,False,False,True
1639,24,buried,187,187,0,0,False,False,False
1639,24,plague,1,1,0,0,False,False,False
1639,25,buried,147,147,0,0,False,False,True
1639,25,plague,3,3,0,0,False,False,True
1639,26,buried,152,152,0,0,False,False,False
1639,26,plague,3,3,0,0,False,False,False
1639,27,buried,148,148,0,0,False,False,True
1639,27,plague,1,1,0,0,False,False,True
1639,28,buried,138,136,2,2,True,False,False
1639,28,plague,0,0,0,0,False,False,False
1639,29,buried,123,123,0,0,False,False,True
1639,29,plague,1,1,0,0,False,False,True
1639,30,buried,139,139,0,0,False,False,True
1639,30,plague,5,5,0,0,False,False,True
1639,31,buried,147,147,0,0,False,False,False
1639,31,plague,3,3,0,0,False,False,False
1639,32,buried,150,150,0,0,False,False,True
1639,32,plague,9,9,0,0,False,False,True
1639,34,buried,140,138,2,2,True,False,False
1639,34,plague,13,13,0,0,False,False,False
1639,35,buried,156,156,0,0,False,False,True
1639,35,plague,8,8,0,0,False,False,True
1639,36,buried,180,180,0,0,False,False,True
1639,36,plague,14,14,0,0,False,False,True
1639,37,buried,185,184,1,1,True,False,False
1639,37,plague,19,19,0,0,False,False,False
1639,38,buried,177,178,-1,1,True,False,True
1639,38,plague,11,11,0,0,False,False,True
1639,39,buried,213,213,0,0,False,False,True
1639,39,plague,23,23,0,0,False,False,True
1639,40,buried,204,204,0,0,False,False,True
1639,40,plague,25,25,0,0,False,False,True
1639,41,buried,208,202,6,6,True,False,False
1639,41,plague,23,23,0,0,False,False,False
1639,42,buried,231,231,0,0,False,False,True
1639,42,plague,23,23,0,0,False,False,True
1639,43,buried,205,205,0,0,False,False,True
1639,43,plague,28,28,0,0,False,False,True
1639,44,buried,200,200,0,0,False,False,True
1639,44,plague,21,21,0,0,False,False,True
1639,45,buried,190,190,0,0,False,False,True
1639,45,plague,14,14,0,0,False,False,True
1639,46,buried,200,200,0,0,False,False,True
1639,46,plague,9,9,0,0,False,False,True
1639,47,buried,190,190,0,0,False,False,True
1639,47,plague,10,10,0,0,False,False,True
1639,48,buried,158,158,0,0,False,False,True
1639,48,plague,5,5,0,0,False,False,True
1639,49,buried,172,172,0,0,False,False,True
1639,49,plague,7,7,0,0,False,False,True
1639,50,buried,165,205,-40,40,True,False,True
1639,50,plague,11,11,0,0,False,False,True
1639,51,buried,164,164,0,0,False,False,True
1639,51,plague,7,7,0,0,False,False,True
1639,52,buried,146,146,0,0,False,False,True
1639,52,plague,3,3,0,0,False,False,True
1640,4,buried,198,198,0,0,False,False,False
1640,4,plague,4,4,0,0,False,False,False
1640,5,buried,222,222,0,0,False,False,True
1640,5,plague,5,5,0,0,False,False,True
1641,1,buried,208,208,0,0,False,False,True
1641,1,plague,15,15,0,0,False,False,True
1641,2,buried,267,267,0,0,False,False,True
1641,2,plague,51,51,0,0,False,False,True
1641,3,buried,253,253,0,0,False,False,True
1641,3,plague,26,26,0,0,False,False,True
1641,4,buried,202,202,0,0,False,False,True
1641,4,plague,11,11,0,0,False,False,True
1641,5,buried,208,208,0,0,False,False,True
1641,5,plague,14,14,0,0,False,False,True
1641,6,buried,234,234,0,0,False,False,True
1641,6,plague,31,31,0,0,False,False,True
1641,8,buried,250,250,0,0,False,False,True
1641,8,plague,23,23,0,0,False,False,True
1641,9,buried,187,187,0,0,False,False,True
1641,9,plague,14,14,0,0,False,False,True
1641,10,buried,231,231,0,0,False,False,True
1641,10,plague,26,26,0,0,False,False,True
1641,11,buried,239,239,0,0,False,False,True
1641,11,plague,17,17,0,0,False,False,True
1641,12,buried,232,232,0,0,False,False,True
1641,12,plague,18,18,0,0,False,False,True
1641,13,buried,214,214,0,0,False,False,True
1641,13,plague,5,5,0,0,False,False,True
1641,14,buried,219,217,2,2,True,False,False
1641,14,plague,13,14,-1,1,True,False,False
1641,46,buried,408,408,0,0,False,False,True
1641,46,plague,106,106,0,0,False,False,True
1641,47,buried,337,337,0,0,False,False,True
1641,47,plague,79,79,0,0,False,False,True
1641,49,buried,296,296,0,0,False,False,True
1641,49,plague,44,44,0,0,False,False,True
1641,50,buried,279,279,0,0,False,False,True
1641,50,plague,41,41,0,0,False,False,True
1641,51,buried,245,245,0,0,False,False,True
1641,51,plague,15,15,0,0,False,False,True
1641,52,buried,246,246,0,0,False,False,True
1641,52,plague,17,17,0,0,False,False,True
1642,1,buried,267,267,0,0,False,False,True
1642,1,plague,10,10,0,0,False,False,True
1642,2,buried,199,199,0,0,False,False,True
1642,2,plague,8,8,0,0,False,False,True
1642,3,buried,248,248,0,0,False,False,True
1642,3,plague,10,10,0,0,False,False,True
1642,5,buried,273,263,10,10,True,False,True
1642,5,plague,11,11,0,0,False,False,True
1642,6,buried,257,257,0,0,False,False,True
1642,6,plague,8,8,0,0,False,False,True
1642,7,buried,234,234,0,0,False,False,False
1642,7,plague,11,11,0,0,False,False,False
1642,9,buried,216,211,5,5,True,False,False
1642,9,plague,1,1,0,0,False,False,False
1642,10,buried,244,244,0,0,False,False,True
1642,10,plague,2,2,0,0,False,False,True
1642,11,buried,231,231,0,0,False,False,False
1642,11,plague,4,4,0,0,False,False,False
1642,12,buried,264,264,0,0,False,False,False
1642,12,plague,8,8,0,0,False,False,False
1642,13,buried,211,211,0,0,False,False,True
1642,13,plague,3,3,0,0,False,False,True
1642,14,buried,224,219,5,5,True,False,False
1642,14,plague,2,2,0,0,False,False,False
1642,15,buried,204,204,0,0,False,False,True
1642,15,plague,17,17,0,0,False,False,True
1642,16,buried,213,213,0,0,False,False,True
1642,16,plague,23,23,0,0,False,False,True
1642,17,buried,190,190,0,0,False,False,True
1642,17,plague,20,20,0,0,False,False,True
1642,18,buried,205,205,0,0,False,False,True
1642,18,plague,22,22,0,0,False,False,True
1642,19,buried,239,239,0,0,False,False,True
1642,19,plague,20,20,0,0,False,False,True
1642,21,buried,230,230,0,0,False,False,True
1642,21,plague,29,29,0,0,False,False,True
1642,22,buried,245,245,0,0,False,False,True
1642,22,plague,25,25,0,0,False,False,True
1642,23,buried,217,217,0,0,False,False,True
1642,23,plague,27,27,0,0,False,False,True
1642,24,buried,211,211,0,0,False,False,True
1642,24,plague,37,37,0,0,False,False,True
1642,25,buried,208,208,0,0,False,False,False
1642,25,plague,25,24,1,1,True,False,False
1642,26,buried,202,202,0,0,False,False,True
1642,26,plague,23,23,0,0,False,False,True
1642,27,buried,178,178,0,0,False,False,True
1642,27,plague,14,14,0,0,False,False,True
1642,28,buried,164,164,0,0,False,False,False
1642,28,plague,15,15,0,0,False,False,False
1642,29,buried,163,163,0,0,False,False,True
1642,29,plague,18,18,0,0,False,False,True
1642,31,buried,170,170,0,0,False,False,True
1642,31,plague,24,24,0,0,False,False,True
1642,32,buried,187,187,0,0,False,False,True
1642,32,plague,29,29,0,0,False,False,True
1642,33,buried,185,185,0,0,False,False,False
1642,33,plague,30,30,0,0,False,False,False
1642,34,buried,192,192,0,0,False,False,True
1642,34,plague,33,33,0,0,False,False,True
1642,35,buried,224,224,0,0,False,False,False
1642,35,plague,48,48,0,0,False,False,False
1642,36,buried,236,236,0,0,False,False,False
1642,36,plague,58,58,0,0,False,False,False
1642,37,buried,227,227,0,0,False,False,True
1642,37,plague,60,60,0,0,False,False,True
1642,38,buried,274,274,0,0,False,False,False
1642,38,plague,70,70,0,0,False,False,False
1642,39,buried,279,279,0,0,False,False,True
1642,39,plague,66,66,0,0,False,False,True
1642,40,buried,351,351,0,0,False,False,False
1642,40,plague,103,103,0,0,False,False,False
1642,41,buried,362,361,1,1,True,False,False
1642,41,plague,126,126,0,0,False,False,False
1642,42,buried,331,331,0,0,False,False,True
1642,42,plague,83,83,0,0,False,False,True
1642,43,buried,281,281,0,0,False,False,True
1642,43,plague,81,81,0,0,False,False,True
1642,44,buried,315,315,0,0,False,False,False
1642,44,plague,98,92,6,6,True,False,False
1642,45,buried,296,296,0,0,False,False,True
1642,45,plague,68,68,0,0,False,False,True
1642,46,buried,275,275,0,0,False,False,False
1642,46,plague,51,51,0,0,False,False,False
1642,47,buried,232,232,0,0,False,False,False
