parish_name,count,week_id,year_id
Christened in the 5 Parishes in the City and Liberties of Westminster,62,1668-1669-41,1669
Christened in the 97 Parishes within the Walls,11,1668-1669-42,1669
Christened in the 16 Parishes without the Walls,108,1668-1669-42,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,84,1668-1669-42,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,46,1668-1669-42,1669
Christened in the 97 Parishes within the Walls,15,1668-1669-43,1669
Christened in the 16 Parishes without the Walls,90,1668-1669-43,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,85,1668-1669-43,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,59,1668-1669-43,1669
Christened in the 97 Parishes within the Walls,14,1668-1669-44,1669
Christened in the 16 Parishes without the Walls,76,1668-1669-44,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,91,1668-1669-44,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,46,1668-1669-44,1669
Christened in the 97 Parishes within the Walls,8,1668-1669-45,1669
Christened in the 16 Parishes without the Walls,85,1668-1669-45,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,74,1668-1669-45,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,45,1668-1669-45,1669
Christened in the 97 Parishes within the Walls,14,1668-1669-46,1669
Christened in the 16 Parishes without the Walls,94,1668-1669-46,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,88,1668-1669-46,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,41,1668-1669-46,1669
Christened in the 97 Parishes within the Walls,12,1668-1669-47,1669
Christened in the 16 Parishes without the Walls,88,1668-1669-47,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,94,1668-1669-47,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,49,1668-1669-47,1669
Christened in the 97 Parishes within the Walls,18,1668-1669-48,1669
Christened in the 16 Parishes without the Walls,98,1668-1669-48,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,84,1668-1669-48,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,39,1668-1669-48,1669
Christened in the 97 Parishes within the Walls,12,1668-1669-49,1669
Christened in the 16 Parishes without the Walls,89,1668-1669-49,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,84,1668-1669-49,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,45,1668-1669-49,1669
Christened in the 97 Parishes within the Walls,4,1668-1669-50,1669
Christened in the 16 Parishes without the Walls,91,1668-1669-50,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,101,1668-1669-50,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,43,1668-1669-50,1669
Christened in the 97 Parishes within the Walls,14,1668-1669-51,1669
Christened in the 16 Parishes without the Walls,100,1668-1669-51,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,80,1668-1669-51,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,51,1668-1669-51,1669
Christened in the 97 Parishes within the Walls,12,1668-1669-52,1669
Christened in the 16 Parishes without the Walls,95,1668-1669-52,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,72,1668-1669-52,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,33,1668-1669-52,1669
Christened in the 97 Parishes within the Walls,11,1669-1670-01,1669
Christened in the 16 Parishes without the Walls,81,1669-1670-01,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,63,1669-1670-01,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,45,1669-1670-01,1669
Christened in the 97 Parishes within the Walls,16,1669-1670-02,1669
Christened in the 16 Parishes without the Walls,91,1669-1670-02,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,61,1669-1670-02,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,43,1669-1670-02,1669
Christened in the 97 Parishes within the Walls,16,1669-1670-03,1669
Christened in the 16 Parishes without the Walls,99,1669-1670-03,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,103,1669-1670-03,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,49,1669-1670-03,1669
Christened in the 97 Parishes within the Walls,15,1669-1670-04,1669
Christened in the 16 Parishes without the Walls,77,1669-1670-04,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,78,1669-1670-04,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,57,1669-1670-04,1669
Christened in the 97 Parishes within the Walls,8,1669-1670-05,1669
Christened in the 16 Parishes without the Walls,104,1669-1670-05,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,76,1669-1670-05,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,46,1669-1670-05,1669
Christened in the 97 Parishes within the Walls,14,1669-1670-06,1669
Christened in the 16 Parishes without the Walls,102,1669-1670-06,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,90,1669-1670-06,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,52,1669-1670-06,1669
Christened in the 97 Parishes within the Walls,23,1669-1670-07,1669
Christened in the 16 Parishes without the Walls,89,1669-1670-07,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,87,1669-1670-07,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,50,1669-1670-07,1669
Christened in the 97 Parishes within the Walls,9,1669-1670-08,1669
Christened in the 16 Parishes without the Walls,107,1669-1670-08,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,90,1669-1670-08,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,47,1669-1670-08,1669
Christened in the 97 Parishes within the Walls,14,1669-1670-09,1669
Christened in the 16 Parishes without the Walls,100,1669-1670-09,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,90,1669-1670-09,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,53,1669-1670-09,1669
Christened in the 97 Parishes within the Walls,12,1669-1670-10,1669
