week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,year
21,1669-21-recto,11,May,18,May,St Lawrence Pountney,Buried,,1669
21,1669-21-recto,11,May,18,May,St Lawrence Pountney,Plague,,1669
21,1669-21-recto,11,May,18,May,St Leonard Eastcheap,Buried,,1669
21,1669-21-recto,11,May,18,May,St Leonard Eastcheap,Plague,,1669
21,1669-21-recto,11,May,18,May,St Leonard Fosterlane,Buried,,1669
21,1669-21-recto,11,May,18,May,St Leonard Fosterlane,Plague,,1669
21,1669-21-recto,11,May,18,May,St Magnus Parish,Buried,,1669
21,1669-21-recto,11,May,18,May,St Magnus Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,St Margaret Lothbury,Buried,,1669
21,1669-21-recto,11,May,18,May,St Margaret Lothbury,Plague,,1669
21,1669-21-recto,11,May,18,May,St Margaret Moses,Buried,,1669
21,1669-21-recto,11,May,18,May,St Margaret Moses,Plague,,1669
21,1669-21-recto,11,May,18,May,St Margaret Newfishstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,St Margaret Newfishstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Margaret Pattons,Buried,,1669
21,1669-21-recto,11,May,18,May,St Margaret Pattons,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Abchurch,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Abchurch,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Aldermanbury,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Aldermanbury,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Aldermary,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Aldermary,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary le Bow,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary le Bow,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Bothaw,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Bothaw,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Colechurch,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Colechurch,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Hill,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Hill,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Mounthaw,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Mounthaw,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Sommerset,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Sommerset,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Stayning,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Stayning,Plague,,1669
