count_type,count,bill_type,parish_id,id.x,week_id,year_range,year_id,split_year,id.y,id
Plague,,Weekly,18,1,1668-1669-21,1668-1669,1669,1668/1669,72,1
Plague,,Weekly,1,1,1668-1669-21,1668-1669,1669,1668/1669,72,2
Plague,,Weekly,2,1,1668-1669-21,1668-1669,1669,1668/1669,72,3
Plague,,Weekly,3,1,1668-1669-21,1668-1669,1669,1668/1669,72,4
Plague,,Weekly,4,1,1668-1669-21,1668-1669,1669,1668/1669,72,5
Plague,,Weekly,5,1,1668-1669-21,1668-1669,1669,1668/1669,72,6
Plague,,Weekly,6,1,1668-1669-21,1668-1669,1669,1668/1669,72,7
Plague,,Weekly,7,1,1668-1669-21,1668-1669,1669,1668/1669,72,8
Plague,,Weekly,8,1,1668-1669-21,1668-1669,1669,1668/1669,72,9
Plague,,Weekly,19,1,1668-1669-21,1668-1669,1669,1668/1669,72,10
Plague,,Weekly,21,1,1668-1669-21,1668-1669,1669,1668/1669,72,11
Plague,,Weekly,22,1,1668-1669-21,1668-1669,1669,1668/1669,72,12
Plague,,Weekly,23,1,1668-1669-21,1668-1669,1669,1668/1669,72,13
Plague,,Weekly,24,1,1668-1669-21,1668-1669,1669,1668/1669,72,14
Plague,,Weekly,25,1,1668-1669-21,1668-1669,1669,1668/1669,72,15
Plague,,Weekly,26,1,1668-1669-21,1668-1669,1669,1668/1669,72,16
Plague,,Weekly,27,1,1668-1669-21,1668-1669,1669,1668/1669,72,17
Plague,,Weekly,28,1,1668-1669-21,1668-1669,1669,1668/1669,72,18
Plague,,Weekly,31,1,1668-1669-21,1668-1669,1669,1668/1669,72,19
Plague,,Weekly,32,1,1668-1669-21,1668-1669,1669,1668/1669,72,20
Plague,,Weekly,33,1,1668-1669-21,1668-1669,1669,1668/1669,72,21
Plague,,Weekly,34,1,1668-1669-21,1668-1669,1669,1668/1669,72,22
Plague,,Weekly,37,1,1668-1669-21,1668-1669,1669,1668/1669,72,23
Plague,,Weekly,10,1,1668-1669-21,1668-1669,1669,1668/1669,72,24
Plague,,Weekly,40,1,1668-1669-21,1668-1669,1669,1668/1669,72,25
Plague,,Weekly,42,1,1668-1669-21,1668-1669,1669,1668/1669,72,26
Plague,,Weekly,43,1,1668-1669-21,1668-1669,1669,1668/1669,72,27
Plague,,Weekly,44,1,1668-1669-21,1668-1669,1669,1668/1669,72,28
Plague,,Weekly,46,1,1668-1669-21,1668-1669,1669,1668/1669,72,29
Plague,,Weekly,47,1,1668-1669-21,1668-1669,1669,1668/1669,72,30
Plague,,Weekly,48,1,1668-1669-21,1668-1669,1669,1668/1669,72,31
Plague,,Weekly,49,1,1668-1669-21,1668-1669,1669,1668/1669,72,32
Plague,,Weekly,50,1,1668-1669-21,1668-1669,1669,1668/1669,72,33
Plague,,Weekly,51,1,1668-1669-21,1668-1669,1669,1668/1669,72,34
Plague,,Weekly,55,1,1668-1669-21,1668-1669,1669,1668/1669,72,35
Plague,,Weekly,56,1,1668-1669-21,1668-1669,1669,1668/1669,72,36
Plague,,Weekly,58,1,1668-1669-21,1668-1669,1669,1668/1669,72,37
