count_type,count,parish_id,id,week_id,year_range,year_id,split_year
Buried,1,7,4803,1668-1669-40,1668-1669,1669,1668/1669
Plague,,7,4804,1668-1669-40,1668-1669,1669,1668/1669
Buried,3,8,4805,1668-1669-40,1668-1669,1669,1668/1669
Plague,,8,4806,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,18,4807,1668-1669-40,1668-1669,1669,1668/1669
Plague,,18,4808,1668-1669-40,1668-1669,1669,1668/1669
Buried,,20,4809,1668-1669-40,1668-1669,1669,1668/1669
Plague,,20,4810,1668-1669-40,1668-1669,1669,1668/1669
Buried,,21,4811,1668-1669-40,1668-1669,1669,1668/1669
Plague,,21,4812,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,22,4813,1668-1669-40,1668-1669,1669,1668/1669
Plague,,22,4814,1668-1669-40,1668-1669,1669,1668/1669
Buried,,23,4815,1668-1669-40,1668-1669,1669,1668/1669
Plague,,23,4816,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,24,4817,1668-1669-40,1668-1669,1669,1668/1669
Plague,,24,4818,1668-1669-40,1668-1669,1669,1668/1669
Buried,,25,4819,1668-1669-40,1668-1669,1669,1668/1669
Plague,,25,4820,1668-1669-40,1668-1669,1669,1668/1669
Buried,,26,4821,1668-1669-40,1668-1669,1669,1668/1669
Plague,,26,4822,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,27,4823,1668-1669-40,1668-1669,1669,1668/1669
Plague,,27,4824,1668-1669-40,1668-1669,1669,1668/1669
Buried,,30,4825,1668-1669-40,1668-1669,1669,1668/1669
Plague,,30,4826,1668-1669-40,1668-1669,1669,1668/1669
Buried,,31,4827,1668-1669-40,1668-1669,1669,1668/1669
Plague,,31,4828,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,32,4829,1668-1669-40,1668-1669,1669,1668/1669
Plague,,32,4830,1668-1669-40,1668-1669,1669,1668/1669
Buried,,33,4831,1668-1669-40,1668-1669,1669,1668/1669
Plague,,33,4832,1668-1669-40,1668-1669,1669,1668/1669
Buried,,36,4833,1668-1669-40,1668-1669,1669,1668/1669
Plague,,36,4834,1668-1669-40,1668-1669,1669,1668/1669
Buried,,11,4835,1668-1669-40,1668-1669,1669,1668/1669
Plague,,11,4836,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,39,4837,1668-1669-40,1668-1669,1669,1668/1669
Plague,,39,4838,1668-1669-40,1668-1669,1669,1668/1669
Buried,,41,4839,1668-1669-40,1668-1669,1669,1668/1669
Plague,,41,4840,1668-1669-40,1668-1669,1669,1668/1669
Buried,,42,4841,1668-1669-40,1668-1669,1669,1668/1669
Plague,,42,4842,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,43,4843,1668-1669-40,1668-1669,1669,1668/1669
Plague,,43,4844,1668-1669-40,1668-1669,1669,1668/1669
Buried,,45,4845,1668-1669-40,1668-1669,1669,1668/1669
Plague,,45,4846,1668-1669-40,1668-1669,1669,1668/1669
Buried,3,46,4847,1668-1669-40,1668-1669,1669,1668/1669
Plague,,46,4848,1668-1669-40,1668-1669,1669,1668/1669
Buried,,47,4849,1668-1669-40,1668-1669,1669,1668/1669
Plague,,47,4850,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,48,4851,1668-1669-40,1668-1669,1669,1668/1669
Plague,,48,4852,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,49,4853,1668-1669-40,1668-1669,1669,1668/1669
Plague,,49,4854,1668-1669-40,1668-1669,1669,1668/1669
Buried,,50,4855,1668-1669-40,1668-1669,1669,1668/1669
Plague,,50,4856,1668-1669-40,1668-1669,1669,1668/1669
Buried,,54,4857,1668-1669-40,1668-1669,1669,1668/1669
Plague,,54,4858,1668-1669-40,1668-1669,1669,1668/1669
Buried,5,55,4859,1668-1669-40,1668-1669,1669,1668/1669
Plague,,55,4860,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,57,4861,1668-1669-40,1668-1669,1669,1668/1669
Plague,,57,4862,1668-1669-40,1668-1669,1669,1668/1669
Buried,,58,4863,1668-1669-40,1668-1669,1669,1668/1669
Plague,,58,4864,1668-1669-40,1668-1669,1669,1668/1669
Buried,,59,4865,1668-1669-40,1668-1669,1669,1668/1669
Plague,,59,4866,1668-1669-40,1668-1669,1669,1668/1669
Buried,,60,4867,1668-1669-40,1668-1669,1669,1668/1669
Plague,,60,4868,1668-1669-40,1668-1669,1669,1668/1669
Buried,,61,4869,1668-1669-40,1668-1669,1669,1668/1669
Plague,,61,4870,1668-1669-40,1668-1669,1669,1668/1669
Buried,,62,4871,1668-1669-40,1668-1669,1669,1668/1669
Plague,,62,4872,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,63,4873,1668-1669-40,1668-1669,1669,1668/1669
Plague,,63,4874,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,65,4875,1668-1669-40,1668-1669,1669,1668/1669
Plague,,65,4876,1668-1669-40,1668-1669,1669,1668/1669
Buried,,66,4877,1668-1669-40,1668-1669,1669,1668/1669
Plague,,66,4878,1668-1669-40,1668-1669,1669,1668/1669
Buried,,67,4879,1668-1669-40,1668-1669,1669,1668/1669
Plague,,67,4880,1668-1669-40,1668-1669,1669,1668/1669
Buried,,68,4881,1668-1669-40,1668-1669,1669,1668/1669
Plague,,68,4882,1668-1669-40,1668-1669,1669,1668/1669
Buried,,71,4883,1668-1669-40,1668-1669,1669,1668/1669
Plague,,71,4884,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,72,4885,1668-1669-40,1668-1669,1669,1668/1669
Plague,,72,4886,1668-1669-40,1668-1669,1669,1668/1669
Buried,,73,4887,1668-1669-40,1668-1669,1669,1668/1669
Plague,,73,4888,1668-1669-40,1668-1669,1669,1668/1669
Buried,,74,4889,1668-1669-40,1668-1669,1669,1668/1669
Plague,,74,4890,1668-1669-40,1668-1669,1669,1668/1669
Buried,,75,4891,1668-1669-40,1668-1669,1669,1668/1669
Plague,,75,4892,1668-1669-40,1668-1669,1669,1668/1669
Buried,,83,4893,1668-1669-40,1668-1669,1669,1668/1669
Plague,,83,4894,1668-1669-40,1668-1669,1669,1668/1669
Buried,,84,4895,1668-1669-40,1668-1669,1669,1668/1669
Plague,,84,4896,1668-1669-40,1668-1669,1669,1668/1669
Buried,3,85,4897,1668-1669-40,1668-1669,1669,1668/1669
Plague,,85,4898,1668-1669-40,1668-1669,1669,1668/1669
Buried,3,90,4899,1668-1669-40,1668-1669,1669,1668/1669
Plague,,90,4900,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,86,4901,1668-1669-40,1668-1669,1669,1668/1669
Plague,,86,4902,1668-1669-40,1668-1669,1669,1668/1669
Buried,,87,4903,1668-1669-40,1668-1669,1669,1668/1669
Plague,,87,4904,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,88,4905,1668-1669-40,1668-1669,1669,1668/1669
Plague,,88,4906,1668-1669-40,1668-1669,1669,1668/1669
Buried,,91,4907,1668-1669-40,1668-1669,1669,1668/1669
Plague,,91,4908,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,94,4909,1668-1669-40,1668-1669,1669,1668/1669
Plague,,94,4910,1668-1669-40,1668-1669,1669,1668/1669
Buried,,95,4911,1668-1669-40,1668-1669,1669,1668/1669
Plague,,95,4912,1668-1669-40,1668-1669,1669,1668/1669
Buried,,97,4913,1668-1669-40,1668-1669,1669,1668/1669
Plague,,97,4914,1668-1669-40,1668-1669,1669,1668/1669
Buried,,98,4915,1668-1669-40,1668-1669,1669,1668/1669
Plague,,98,4916,1668-1669-40,1668-1669,1669,1668/1669
Buried,,78,4917,1668-1669-40,1668-1669,1669,1668/1669
Plague,,78,4918,1668-1669-40,1668-1669,1669,1668/1669
Buried,,79,4919,1668-1669-40,1668-1669,1669,1668/1669
Plague,,79,4920,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,80,4921,1668-1669-40,1668-1669,1669,1668/1669
Plague,,80,4922,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,81,4923,1668-1669-40,1668-1669,1669,1668/1669
Plague,,81,4924,1668-1669-40,1668-1669,1669,1668/1669
Buried,,82,4925,1668-1669-40,1668-1669,1669,1668/1669
Plague,,82,4926,1668-1669-40,1668-1669,1669,1668/1669
Buried,,99,4927,1668-1669-40,1668-1669,1669,1668/1669
Plague,,99,4928,1668-1669-40,1668-1669,1669,1668/1669
Buried,,100,4929,1668-1669-40,1668-1669,1669,1668/1669
Plague,,100,4930,1668-1669-40,1668-1669,1669,1668/1669
Buried,,101,4931,1668-1669-40,1668-1669,1669,1668/1669
Plague,,101,4932,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,102,4933,1668-1669-40,1668-1669,1669,1668/1669
Plague,,102,4934,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,103,4935,1668-1669-40,1668-1669,1669,1668/1669
Plague,,103,4936,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,104,4937,1668-1669-40,1668-1669,1669,1668/1669
Plague,,104,4938,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,105,4939,1668-1669-40,1668-1669,1669,1668/1669
Plague,,105,4940,1668-1669-40,1668-1669,1669,1668/1669
Buried,,106,4941,1668-1669-40,1668-1669,1669,1668/1669
Plague,,106,4942,1668-1669-40,1668-1669,1669,1668/1669
Buried,,107,4943,1668-1669-40,1668-1669,1669,1668/1669
Plague,,107,4944,1668-1669-40,1668-1669,1669,1668/1669
Buried,,108,4945,1668-1669-40,1668-1669,1669,1668/1669
Plague,,108,4946,1668-1669-40,1668-1669,1669,1668/1669
Buried,,109,4947,1668-1669-40,1668-1669,1669,1668/1669
Plague,,109,4948,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,110,4949,1668-1669-40,1668-1669,1669,1668/1669
Plague,,110,4950,1668-1669-40,1668-1669,1669,1668/1669
Buried,,111,4951,1668-1669-40,1668-1669,1669,1668/1669
Plague,,111,4952,1668-1669-40,1668-1669,1669,1668/1669
Buried,,112,4953,1668-1669-40,1668-1669,1669,1668/1669
Plague,,112,4954,1668-1669-40,1668-1669,1669,1668/1669
Buried,,113,4955,1668-1669-40,1668-1669,1669,1668/1669
Plague,,113,4956,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,114,4957,1668-1669-40,1668-1669,1669,1668/1669
Plague,,114,4958,1668-1669-40,1668-1669,1669,1668/1669
Buried,,115,4959,1668-1669-40,1668-1669,1669,1668/1669
Plague,,115,4960,1668-1669-40,1668-1669,1669,1668/1669
Buried,,116,4961,1668-1669-40,1668-1669,1669,1668/1669
Plague,,116,4962,1668-1669-40,1668-1669,1669,1668/1669
Buried,,118,4963,1668-1669-40,1668-1669,1669,1668/1669
Plague,,118,4964,1668-1669-40,1668-1669,1669,1668/1669
Buried,,121,4965,1668-1669-40,1668-1669,1669,1668/1669
Plague,,121,4966,1668-1669-40,1668-1669,1669,1668/1669
Buried,,122,4967,1668-1669-40,1668-1669,1669,1668/1669
Plague,,122,4968,1668-1669-40,1668-1669,1669,1668/1669
Buried,,123,4969,1668-1669-40,1668-1669,1669,1668/1669
Plague,,123,4970,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,124,4971,1668-1669-40,1668-1669,1669,1668/1669
Plague,,124,4972,1668-1669-40,1668-1669,1669,1668/1669
Buried,3,125,4973,1668-1669-40,1668-1669,1669,1668/1669
Plague,,125,4974,1668-1669-40,1668-1669,1669,1668/1669
Buried,,126,4975,1668-1669-40,1668-1669,1669,1668/1669
Plague,,126,4976,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,127,4977,1668-1669-40,1668-1669,1669,1668/1669
Plague,,127,4978,1668-1669-40,1668-1669,1669,1668/1669
Buried,,128,4979,1668-1669-40,1668-1669,1669,1668/1669
Plague,,128,4980,1668-1669-40,1668-1669,1669,1668/1669
Buried,,132,4981,1668-1669-40,1668-1669,1669,1668/1669
Plague,,132,4982,1668-1669-40,1668-1669,1669,1668/1669
Buried,19,19,4983,1668-1669-40,1668-1669,1669,1668/1669
Plague,,19,4984,1668-1669-40,1668-1669,1669,1668/1669
Buried,4,28,4985,1668-1669-40,1668-1669,1669,1668/1669
Plague,,28,4986,1668-1669-40,1668-1669,1669,1668/1669
Buried,2,29,4987,1668-1669-40,1668-1669,1669,1668/1669
Plague,,29,4988,1668-1669-40,1668-1669,1669,1668/1669
Buried,4,38,4989,1668-1669-40,1668-1669,1669,1668/1669
Plague,,38,4990,1668-1669-40,1668-1669,1669,1668/1669
Buried,,10,4991,1668-1669-40,1668-1669,1669,1668/1669
Plague,,10,4992,1668-1669-40,1668-1669,1669,1668/1669
Buried,13,34,4993,1668-1669-40,1668-1669,1669,1668/1669
Plague,,34,4994,1668-1669-40,1668-1669,1669,1668/1669
Buried,26,35,4995,1668-1669-40,1668-1669,1669,1668/1669
Plague,,35,4996,1668-1669-40,1668-1669,1669,1668/1669
Buried,14,37,4997,1668-1669-40,1668-1669,1669,1668/1669
Plague,,37,4998,1668-1669-40,1668-1669,1669,1668/1669
Buried,5,44,4999,1668-1669-40,1668-1669,1669,1668/1669
Plague,,44,5000,1668-1669-40,1668-1669,1669,1668/1669
Buried,13,51,5001,1668-1669-40,1668-1669,1669,1668/1669
Plague,,51,5002,1668-1669-40,1668-1669,1669,1668/1669
Buried,47,52,5003,1668-1669-40,1668-1669,1669,1668/1669
Plague,,52,5004,1668-1669-40,1668-1669,1669,1668/1669
Buried,25,117,5005,1668-1669-40,1668-1669,1669,1668/1669
Plague,,117,5006,1668-1669-40,1668-1669,1669,1668/1669
Buried,22,16,5007,1668-1669-40,1668-1669,1669,1668/1669
Plague,,16,5008,1668-1669-40,1668-1669,1669,1668/1669
Buried,24,15,5009,1668-1669-40,1668-1669,1669,1668/1669
Plague,,15,5010,1668-1669-40,1668-1669,1669,1668/1669
Buried,5,129,5011,1668-1669-40,1668-1669,1669,1668/1669
Plague,,129,5012,1668-1669-40,1668-1669,1669,1668/1669
Buried,,131,5013,1668-1669-40,1668-1669,1669,1668/1669
Plague,,131,5014,1668-1669-40,1668-1669,1669,1668/1669
Buried,,9,5015,1668-1669-40,1668-1669,1669,1668/1669
Plague,,9,5016,1668-1669-40,1668-1669,1669,1668/1669
Buried,28,53,5017,1668-1669-40,1668-1669,1669,1668/1669
Plague,,53,5018,1668-1669-40,1668-1669,1669,1668/1669
Buried,6,12,5019,1668-1669-40,1668-1669,1669,1668/1669
Plague,,12,5020,1668-1669-40,1668-1669,1669,1668/1669
Buried,16,56,5021,1668-1669-40,1668-1669,1669,1668/1669
Plague,,56,5022,1668-1669-40,1668-1669,1669,1668/1669
Buried,3,64,5023,1668-1669-40,1668-1669,1669,1668/1669
Plague,,64,5024,1668-1669-40,1668-1669,1669,1668/1669
Buried,16,13,5025,1668-1669-40,1668-1669,1669,1668/1669
Plague,,13,5026,1668-1669-40,1668-1669,1669,1668/1669
Buried,26,69,5027,1668-1669-40,1668-1669,1669,1668/1669
Plague,,69,5028,1668-1669-40,1668-1669,1669,1668/1669
Buried,19,70,5029,1668-1669-40,1668-1669,1669,1668/1669
Plague,,70,5030,1668-1669-40,1668-1669,1669,1668/1669
Buried,6,89,5031,1668-1669-40,1668-1669,1669,1668/1669
Plague,,89,5032,1668-1669-40,1668-1669,1669,1668/1669
Buried,8,92,5033,1668-1669-40,1668-1669,1669,1668/1669
Plague,,92,5034,1668-1669-40,1668-1669,1669,1668/1669
Buried,19,96,5035,1668-1669-40,1668-1669,1669,1668/1669
Plague,,96,5036,1668-1669-40,1668-1669,1669,1668/1669
Buried,,120,5037,1668-1669-40,1668-1669,1669,1668/1669
Plague,,120,5038,1668-1669-40,1668-1669,1669,1668/1669
Buried,4,14,5039,1668-1669-40,1668-1669,1669,1668/1669
Plague,,14,5040,1668-1669-40,1668-1669,1669,1668/1669
Buried,69,130,5041,1668-1669-40,1668-1669,1669,1668/1669
Plague,,130,5042,1668-1669-40,1668-1669,1669,1668/1669
Buried,9,40,5043,1668-1669-40,1668-1669,1669,1668/1669
Plague,,40,5044,1668-1669-40,1668-1669,1669,1668/1669
Buried,3,119,5045,1668-1669-40,1668-1669,1669,1668/1669
Plague,,119,5046,1668-1669-40,1668-1669,1669,1668/1669
Buried,30,77,5047,1668-1669-40,1668-1669,1669,1668/1669
Plague,,77,5048,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,93,5049,1668-1669-40,1668-1669,1669,1668/1669
Plague,,93,5050,1668-1669-40,1668-1669,1669,1668/1669
Buried,21,76,5051,1668-1669-40,1668-1669,1669,1668/1669
Plague,,76,5052,1668-1669-40,1668-1669,1669,1668/1669
Buried,,133,5053,1668-1669-40,1668-1669,1669,1668/1669
Plague,,133,5054,1668-1669-40,1668-1669,1669,1668/1669
Buried,1,17,5055,1668-1669-41,1668-1669,1669,1668/1669
Plague,,17,5056,1668-1669-41,1668-1669,1669,1668/1669
Buried,3,1,5057,1668-1669-41,1668-1669,1669,1668/1669
Plague,,1,5058,1668-1669-41,1668-1669,1669,1668/1669
Buried,,2,5059,1668-1669-41,1668-1669,1669,1668/1669
Plague,,2,5060,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,3,5061,1668-1669-41,1668-1669,1669,1668/1669
Plague,,3,5062,1668-1669-41,1668-1669,1669,1668/1669
Buried,,4,5063,1668-1669-41,1668-1669,1669,1668/1669
Plague,,4,5064,1668-1669-41,1668-1669,1669,1668/1669
Buried,,5,5065,1668-1669-41,1668-1669,1669,1668/1669
Plague,,5,5066,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,6,5067,1668-1669-41,1668-1669,1669,1668/1669
Plague,,6,5068,1668-1669-41,1668-1669,1669,1668/1669
Buried,2,7,5069,1668-1669-41,1668-1669,1669,1668/1669
Plague,,7,5070,1668-1669-41,1668-1669,1669,1668/1669
Buried,3,8,5071,1668-1669-41,1668-1669,1669,1668/1669
Plague,,8,5072,1668-1669-41,1668-1669,1669,1668/1669
Buried,2,18,5073,1668-1669-41,1668-1669,1669,1668/1669
Plague,,18,5074,1668-1669-41,1668-1669,1669,1668/1669
Buried,,20,5075,1668-1669-41,1668-1669,1669,1668/1669
Plague,,20,5076,1668-1669-41,1668-1669,1669,1668/1669
Buried,,21,5077,1668-1669-41,1668-1669,1669,1668/1669
Plague,,21,5078,1668-1669-41,1668-1669,1669,1668/1669
Buried,2,22,5079,1668-1669-41,1668-1669,1669,1668/1669
Plague,,22,5080,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,23,5081,1668-1669-41,1668-1669,1669,1668/1669
Plague,,23,5082,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,24,5083,1668-1669-41,1668-1669,1669,1668/1669
Plague,,24,5084,1668-1669-41,1668-1669,1669,1668/1669
Buried,,25,5085,1668-1669-41,1668-1669,1669,1668/1669
Plague,,25,5086,1668-1669-41,1668-1669,1669,1668/1669
Buried,,26,5087,1668-1669-41,1668-1669,1669,1668/1669
Plague,,26,5088,1668-1669-41,1668-1669,1669,1668/1669
Buried,,27,5089,1668-1669-41,1668-1669,1669,1668/1669
Plague,,27,5090,1668-1669-41,1668-1669,1669,1668/1669
Buried,3,30,5091,1668-1669-41,1668-1669,1669,1668/1669
Plague,,30,5092,1668-1669-41,1668-1669,1669,1668/1669
Buried,,31,5093,1668-1669-41,1668-1669,1669,1668/1669
Plague,,31,5094,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,32,5095,1668-1669-41,1668-1669,1669,1668/1669
Plague,,32,5096,1668-1669-41,1668-1669,1669,1668/1669
Buried,,33,5097,1668-1669-41,1668-1669,1669,1668/1669
Plague,,33,5098,1668-1669-41,1668-1669,1669,1668/1669
Buried,,36,5099,1668-1669-41,1668-1669,1669,1668/1669
Plague,,36,5100,1668-1669-41,1668-1669,1669,1668/1669
Buried,2,11,5101,1668-1669-41,1668-1669,1669,1668/1669
Plague,,11,5102,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,39,5103,1668-1669-41,1668-1669,1669,1668/1669
Plague,,39,5104,1668-1669-41,1668-1669,1669,1668/1669
Buried,,41,5105,1668-1669-41,1668-1669,1669,1668/1669
Plague,,41,5106,1668-1669-41,1668-1669,1669,1668/1669
Buried,,42,5107,1668-1669-41,1668-1669,1669,1668/1669
Plague,,42,5108,1668-1669-41,1668-1669,1669,1668/1669
Buried,4,43,5109,1668-1669-41,1668-1669,1669,1668/1669
Plague,,43,5110,1668-1669-41,1668-1669,1669,1668/1669
Buried,,45,5111,1668-1669-41,1668-1669,1669,1668/1669
Plague,,45,5112,1668-1669-41,1668-1669,1669,1668/1669
Buried,,46,5113,1668-1669-41,1668-1669,1669,1668/1669
Plague,,46,5114,1668-1669-41,1668-1669,1669,1668/1669
Buried,,47,5115,1668-1669-41,1668-1669,1669,1668/1669
Plague,,47,5116,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,48,5117,1668-1669-41,1668-1669,1669,1668/1669
Plague,,48,5118,1668-1669-41,1668-1669,1669,1668/1669
Buried,,49,5119,1668-1669-41,1668-1669,1669,1668/1669
Plague,,49,5120,1668-1669-41,1668-1669,1669,1668/1669
Buried,,50,5121,1668-1669-41,1668-1669,1669,1668/1669
Plague,,50,5122,1668-1669-41,1668-1669,1669,1668/1669
Buried,2,54,5123,1668-1669-41,1668-1669,1669,1668/1669
Plague,,54,5124,1668-1669-41,1668-1669,1669,1668/1669
Buried,4,55,5125,1668-1669-41,1668-1669,1669,1668/1669
Plague,,55,5126,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,57,5127,1668-1669-41,1668-1669,1669,1668/1669
Plague,,57,5128,1668-1669-41,1668-1669,1669,1668/1669
Buried,,58,5129,1668-1669-41,1668-1669,1669,1668/1669
Plague,,58,5130,1668-1669-41,1668-1669,1669,1668/1669
Buried,,59,5131,1668-1669-41,1668-1669,1669,1668/1669
Plague,,59,5132,1668-1669-41,1668-1669,1669,1668/1669
Buried,,60,5133,1668-1669-41,1668-1669,1669,1668/1669
Plague,,60,5134,1668-1669-41,1668-1669,1669,1668/1669
Buried,,61,5135,1668-1669-41,1668-1669,1669,1668/1669
Plague,,61,5136,1668-1669-41,1668-1669,1669,1668/1669
Buried,4,62,5137,1668-1669-41,1668-1669,1669,1668/1669
Plague,,62,5138,1668-1669-41,1668-1669,1669,1668/1669
Buried,3,63,5139,1668-1669-41,1668-1669,1669,1668/1669
Plague,,63,5140,1668-1669-41,1668-1669,1669,1668/1669
Buried,,65,5141,1668-1669-41,1668-1669,1669,1668/1669
Plague,,65,5142,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,66,5143,1668-1669-41,1668-1669,1669,1668/1669
Plague,,66,5144,1668-1669-41,1668-1669,1669,1668/1669
Buried,,67,5145,1668-1669-41,1668-1669,1669,1668/1669
Plague,,67,5146,1668-1669-41,1668-1669,1669,1668/1669
Buried,,68,5147,1668-1669-41,1668-1669,1669,1668/1669
Plague,,68,5148,1668-1669-41,1668-1669,1669,1668/1669
Buried,,71,5149,1668-1669-41,1668-1669,1669,1668/1669
Plague,,71,5150,1668-1669-41,1668-1669,1669,1668/1669
Buried,,72,5151,1668-1669-41,1668-1669,1669,1668/1669
Plague,,72,5152,1668-1669-41,1668-1669,1669,1668/1669
Buried,,73,5153,1668-1669-41,1668-1669,1669,1668/1669
Plague,,73,5154,1668-1669-41,1668-1669,1669,1668/1669
Buried,,74,5155,1668-1669-41,1668-1669,1669,1668/1669
Plague,,74,5156,1668-1669-41,1668-1669,1669,1668/1669
Buried,,75,5157,1668-1669-41,1668-1669,1669,1668/1669
Plague,,75,5158,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,83,5159,1668-1669-41,1668-1669,1669,1668/1669
Plague,,83,5160,1668-1669-41,1668-1669,1669,1668/1669
Buried,,84,5161,1668-1669-41,1668-1669,1669,1668/1669
Plague,,84,5162,1668-1669-41,1668-1669,1669,1668/1669
Buried,,85,5163,1668-1669-41,1668-1669,1669,1668/1669
Plague,,85,5164,1668-1669-41,1668-1669,1669,1668/1669
Buried,,90,5165,1668-1669-41,1668-1669,1669,1668/1669
Plague,,90,5166,1668-1669-41,1668-1669,1669,1668/1669
Buried,,86,5167,1668-1669-41,1668-1669,1669,1668/1669
Plague,,86,5168,1668-1669-41,1668-1669,1669,1668/1669
Buried,,87,5169,1668-1669-41,1668-1669,1669,1668/1669
Plague,,87,5170,1668-1669-41,1668-1669,1669,1668/1669
Buried,,88,5171,1668-1669-41,1668-1669,1669,1668/1669
Plague,,88,5172,1668-1669-41,1668-1669,1669,1668/1669
Buried,,91,5173,1668-1669-41,1668-1669,1669,1668/1669
Plague,,91,5174,1668-1669-41,1668-1669,1669,1668/1669
Buried,,94,5175,1668-1669-41,1668-1669,1669,1668/1669
Plague,,94,5176,1668-1669-41,1668-1669,1669,1668/1669
Buried,,95,5177,1668-1669-41,1668-1669,1669,1668/1669
Plague,,95,5178,1668-1669-41,1668-1669,1669,1668/1669
Buried,,97,5179,1668-1669-41,1668-1669,1669,1668/1669
Plague,,97,5180,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,98,5181,1668-1669-41,1668-1669,1669,1668/1669
Plague,,98,5182,1668-1669-41,1668-1669,1669,1668/1669
Buried,,78,5183,1668-1669-41,1668-1669,1669,1668/1669
Plague,,78,5184,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,79,5185,1668-1669-41,1668-1669,1669,1668/1669
Plague,,79,5186,1668-1669-41,1668-1669,1669,1668/1669
Buried,,80,5187,1668-1669-41,1668-1669,1669,1668/1669
Plague,,80,5188,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,81,5189,1668-1669-41,1668-1669,1669,1668/1669
Plague,,81,5190,1668-1669-41,1668-1669,1669,1668/1669
Buried,,82,5191,1668-1669-41,1668-1669,1669,1668/1669
Plague,,82,5192,1668-1669-41,1668-1669,1669,1668/1669
Buried,,99,5193,1668-1669-41,1668-1669,1669,1668/1669
Plague,,99,5194,1668-1669-41,1668-1669,1669,1668/1669
Buried,,100,5195,1668-1669-41,1668-1669,1669,1668/1669
Plague,,100,5196,1668-1669-41,1668-1669,1669,1668/1669
Buried,,101,5197,1668-1669-41,1668-1669,1669,1668/1669
Plague,,101,5198,1668-1669-41,1668-1669,1669,1668/1669
Buried,,102,5199,1668-1669-41,1668-1669,1669,1668/1669
Plague,,102,5200,1668-1669-41,1668-1669,1669,1668/1669
Buried,,103,5201,1668-1669-41,1668-1669,1669,1668/1669
Plague,,103,5202,1668-1669-41,1668-1669,1669,1668/1669
Buried,1,104,5203,1668-1669-41,1668-1669,1669,1668/1669
Plague,,104,5204,1668-1669-41,1668-1669,1669,1668/1669
Buried,2,105,5205,1668-1669-41,1668-1669,1669,1668/1669
Plague,,105,5206,1668-1669-41,1668-1669,1669,1668/1669
Buried,,106,5207,1668-1669-41,1668-1669,1669,1668/1669
Plague,,106,5208,1668-1669-41,1668-1669,1669,1668/1669
Buried,,107,5209,1668-1669-41,1668-1669,1669,1668/1669
Plague,,107,5210,1668-1669-41,1668-1669,1669,1668/1669
Buried,,108,5211,1668-1669-41,1668-1669,1669,1668/1669
Plague,,108,5212,1668-1669-41,1668-1669,1669,1668/1669
Buried,3,109,5213,1668-1669-41,1668-1669,1669,1668/1669
Plague,,109,5214,1668-1669-41,1668-1669,1669,1668/1669
Buried,,110,5215,1668-1669-41,1668-1669,1669,1668/1669
Plague,,110,5216,1668-1669-41,1668-1669,1669,1668/1669
Buried,2,111,5217,1668-1669-41,1668-1669,1669,1668/1669
Plague,,111,5218,1668-1669-41,1668-1669,1669,1668/1669
Buried,,112,5219,1668-1669-41,1668-1669,1669,1668/1669
Plague,,112,5220,1668-1669-41,1668-1669,1669,1668/1669
Buried,,113,5221,1668-1669-41,1668-1669,1669,1668/1669
Plague,,113,5222,1668-1669-41,1668-1669,1669,1668/1669
