count_type,count,bill_type,parish_id,id,week_id,year_range,year_id,split_year
Plague,,Weekly,63,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,65,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,65,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,66,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,66,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,67,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,67,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,68,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,68,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,71,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,71,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,72,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,72,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,73,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,73,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,74,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,74,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,75,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,75,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,83,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,83,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,84,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,84,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,85,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,85,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,90,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,90,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,86,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,86,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,87,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,87,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,88,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,88,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,91,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,91,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,94,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,94,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,95,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,95,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,97,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,97,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,98,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,98,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,78,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,78,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,79,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,79,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,80,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,80,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,81,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,81,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,82,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,82,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,99,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,99,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,100,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,100,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,101,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,101,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,102,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,102,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,103,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,103,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,104,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,104,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,105,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,105,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,106,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,106,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,107,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,107,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,108,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,108,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,109,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,109,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,110,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,110,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,111,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,111,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,112,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,112,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,113,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,113,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,114,1,1668-1669-21,1668-1669,1669,1668/1669
