count,count_type,bill_type,parish_id,year,week_id,year_range,split_year
36,Total,General,129,1680,1679-1680-90,1679-1680,1679/1680
12,Total,General,135,1680,1679-1680-90,1679-1680,1679/1680
40,Total,General,136,1680,1679-1680-90,1679-1680,1679/1680
16,Total,General,137,1680,1679-1680-90,1679-1680,1679/1680
30,Total,General,138,1680,1679-1680-90,1679-1680,1679/1680
167,Total,General,139,1680,1679-1680-90,1679-1680,1679/1680
29,Total,General,140,1680,1679-1680-90,1679-1680,1679/1680
41,Total,General,141,1680,1679-1680-90,1679-1680,1679/1680
29,Total,General,142,1680,1679-1680-90,1679-1680,1679/1680
0,Total,General,154,1680,1679-1680-90,1679-1680,1679/1680
952,Total,General,24,1680,1679-1680-90,1679-1680,1679/1680
109,Total,General,34,1680,1679-1680-90,1679-1680,1679/1680
39,Total,General,35,1680,1679-1680-90,1679-1680,1679/1680
214,Total,General,40,1680,1679-1680-90,1679-1680,1679/1680
793,Total,General,41,1680,1679-1680-90,1679-1680,1679/1680
618,Total,General,43,1680,1679-1680-90,1679-1680,1679/1680
30,Total,General,9,1680,1679-1680-90,1679-1680,1679/1680
467,Total,General,44,1680,1679-1680-90,1679-1680,1679/1680
,Total,General,71,1680,1679-1680-90,1679-1680,1679/1680
334,Total,General,50,1680,1679-1680-90,1679-1680,1679/1680
369,Total,General,59,1680,1679-1680-90,1679-1680,1679/1680
1700,Total,General,60,1680,1679-1680-90,1679-1680,1679/1680
936,Total,General,130,1680,1679-1680-90,1679-1680,1679/1680
627,Total,General,21,1680,1679-1680-90,1679-1680,1679/1680
830,Total,General,20,1680,1679-1680-90,1679-1680,1679/1680
88,Total,General,143,1680,1679-1680-90,1679-1680,1679/1680
30,Total,General,153,1680,1679-1680-90,1679-1680,1679/1680
0,Total,General,18,1680,1679-1680-90,1679-1680,1679/1680
,Total,General,11,1680,1679-1680-90,1679-1680,1679/1680
158,Total,General,12,1680,1679-1680-90,1679-1680,1679/1680
1249,Total,General,61,1680,1679-1680-90,1679-1680,1679/1680
117,Total,General,13,1680,1679-1680-90,1679-1680,1679/1680
,Total,General,68,1680,1679-1680-90,1679-1680,1679/1680
394,Total,General,64,1680,1679-1680-90,1679-1680,1679/1680
198,Total,General,75,1680,1679-1680-90,1679-1680,1679/1680
304,Total,General,14,1680,1679-1680-90,1679-1680,1679/1680
611,Total,General,80,1680,1679-1680-90,1679-1680,1679/1680
570,Total,General,81,1680,1679-1680-90,1679-1680,1679/1680
,Total,General,111,1680,1679-1680-90,1679-1680,1679/1680
141,Total,General,100,1680,1679-1680-90,1679-1680,1679/1680
273,Total,General,104,1680,1679-1680-90,1679-1680,1679/1680
1098,Total,General,108,1680,1679-1680-90,1679-1680,1679/1680
541,Total,General,134,1680,1679-1680-90,1679-1680,1679/1680
174,Total,General,19,1680,1679-1680-90,1679-1680,1679/1680
2112,Total,General,149,1680,1679-1680-90,1679-1680,1679/1680
,Total,General,30,1680,1679-1680-90,1679-1680,1679/1680
594,Total,General,46,1680,1679-1680-90,1679-1680,1679/1680
,Total,General,67,1680,1679-1680-90,1679-1680,1679/1680
218,Total,General,133,1680,1679-1680-90,1679-1680,1679/1680
2387,Total,General,88,1680,1679-1680-90,1679-1680,1679/1680
147,Total,General,105,1680,1679-1680-90,1679-1680,1679/1680
,Total,General,102,1680,1679-1680-90,1679-1680,1679/1680
880,Total,General,87,1680,1679-1680-90,1679-1680,1679/1680
0,Total,General,17,1680,1679-1680-90,1679-1680,1679/1680
33,Total,General,22,1681,1680-1681-90,1680-1681,1680/1681
111,Total,General,1,1681,1680-1681-90,1680-1681,1680/1681
18,Total,General,2,1681,1680-1681-90,1680-1681,1680/1681
60,Total,General,3,1681,1680-1681-90,1680-1681,1680/1681
0,Total,General,4,1681,1680-1681-90,1680-1681,1680/1681
22,Total,General,5,1681,1680-1681-90,1680-1681,1680/1681
29,Total,General,6,1681,1680-1681-90,1680-1681,1680/1681
22,Total,General,7,1681,1680-1681-90,1680-1681,1680/1681
60,Total,General,8,1681,1680-1681-90,1680-1681,1680/1681
44,Total,General,23,1681,1680-1681-90,1680-1681,1680/1681
14,Total,General,25,1681,1680-1681-90,1680-1681,1680/1681
42,Total,General,26,1681,1680-1681-90,1680-1681,1680/1681
54,Total,General,27,1681,1680-1681-90,1680-1681,1680/1681
40,Total,General,28,1681,1680-1681-90,1680-1681,1680/1681
139,Total,General,29,1681,1680-1681-90,1680-1681,1680/1681
19,Total,General,31,1681,1680-1681-90,1680-1681,1680/1681
14,Total,General,32,1681,1680-1681-90,1680-1681,1680/1681
18,Total,General,33,1681,1680-1681-90,1680-1681,1680/1681
29,Total,General,36,1681,1680-1681-90,1680-1681,1680/1681
5,Total,General,37,1681,1680-1681-90,1680-1681,1680/1681
56,Total,General,38,1681,1680-1681-90,1680-1681,1680/1681
1,Total,General,39,1681,1680-1681-90,1680-1681,1680/1681
9,Total,General,42,1681,1680-1681-90,1680-1681,1680/1681
88,Total,General,10,1681,1680-1681-90,1680-1681,1680/1681
16,Total,General,45,1681,1680-1681-90,1680-1681,1680/1681
8,Total,General,47,1681,1680-1681-90,1680-1681,1680/1681
36,Total,General,48,1681,1680-1681-90,1680-1681,1680/1681
70,Total,General,49,1681,1680-1681-90,1680-1681,1680/1681
26,Total,General,51,1681,1680-1681-90,1680-1681,1680/1681
28,Total,General,52,1681,1680-1681-90,1680-1681,1680/1681
44,Total,General,53,1681,1680-1681-90,1680-1681,1680/1681
31,Total,General,54,1681,1680-1681-90,1680-1681,1680/1681
18,Total,General,55,1681,1680-1681-90,1680-1681,1680/1681
11,Total,General,56,1681,1680-1681-90,1680-1681,1680/1681
76,Total,General,62,1681,1680-1681-90,1680-1681,1680/1681
38,Total,General,63,1681,1680-1681-90,1680-1681,1680/1681
45,Total,General,65,1681,1680-1681-90,1680-1681,1680/1681
47,Total,General,66,1681,1680-1681-90,1680-1681,1680/1681
17,Total,General,69,1681,1680-1681-90,1680-1681,1680/1681
9,Total,General,70,1681,1680-1681-90,1680-1681,1680/1681
24,Total,General,72,1681,1680-1681-90,1680-1681,1680/1681
51,Total,General,73,1681,1680-1681-90,1680-1681,1680/1681
72,Total,General,74,1681,1680-1681-90,1680-1681,1680/1681
60,Total,General,76,1681,1680-1681-90,1680-1681,1680/1681
22,Total,General,77,1681,1680-1681-90,1680-1681,1680/1681
7,Total,General,78,1681,1680-1681-90,1680-1681,1680/1681
42,Total,General,79,1681,1680-1681-90,1680-1681,1680/1681
39,Total,General,82,1681,1680-1681-90,1680-1681,1680/1681
44,Total,General,83,1681,1680-1681-90,1680-1681,1680/1681
2,Total,General,84,1681,1680-1681-90,1680-1681,1680/1681
0,Total,General,85,1681,1680-1681-90,1680-1681,1680/1681
10,Total,General,86,1681,1680-1681-90,1680-1681,1680/1681
25,Total,General,94,1681,1680-1681-90,1680-1681,1680/1681
25,Total,General,95,1681,1680-1681-90,1680-1681,1680/1681
31,Total,General,96,1681,1680-1681-90,1680-1681,1680/1681
34,Total,General,101,1681,1680-1681-90,1680-1681,1680/1681
10,Total,General,97,1681,1680-1681-90,1680-1681,1680/1681
5,Total,General,98,1681,1680-1681-90,1680-1681,1680/1681
34,Total,General,99,1681,1680-1681-90,1680-1681,1680/1681
9,Total,General,103,1681,1680-1681-90,1680-1681,1680/1681
43,Total,General,106,1681,1680-1681-90,1680-1681,1680/1681
20,Total,General,107,1681,1680-1681-90,1680-1681,1680/1681
1,Total,General,109,1681,1680-1681-90,1680-1681,1680/1681
27,Total,General,110,1681,1680-1681-90,1680-1681,1680/1681
3,Total,General,89,1681,1680-1681-90,1680-1681,1680/1681
45,Total,General,90,1681,1680-1681-90,1680-1681,1680/1681
22,Total,General,91,1681,1680-1681-90,1680-1681,1680/1681
14,Total,General,92,1681,1680-1681-90,1680-1681,1680/1681
41,Total,General,93,1681,1680-1681-90,1680-1681,1680/1681
22,Total,General,112,1681,1680-1681-90,1680-1681,1680/1681
0,Total,General,113,1681,1680-1681-90,1680-1681,1680/1681
44,Total,General,114,1681,1680-1681-90,1680-1681,1680/1681
26,Total,General,115,1681,1680-1681-90,1680-1681,1680/1681
32,Total,General,116,1681,1680-1681-90,1680-1681,1680/1681
26,Total,General,117,1681,1680-1681-90,1680-1681,1680/1681
69,Total,General,118,1681,1680-1681-90,1680-1681,1680/1681
10,Total,General,119,1681,1680-1681-90,1680-1681,1680/1681
11,Total,General,120,1681,1680-1681-90,1680-1681,1680/1681
19,Total,General,121,1681,1680-1681-90,1680-1681,1680/1681
10,Total,General,122,1681,1680-1681-90,1680-1681,1680/1681
30,Total,General,123,1681,1680-1681-90,1680-1681,1680/1681
5,Total,General,124,1681,1680-1681-90,1680-1681,1680/1681
24,Total,General,125,1681,1680-1681-90,1680-1681,1680/1681
18,Total,General,126,1681,1680-1681-90,1680-1681,1680/1681
42,Total,General,127,1681,1680-1681-90,1680-1681,1680/1681
21,Total,General,128,1681,1680-1681-90,1680-1681,1680/1681
37,Total,General,129,1681,1680-1681-90,1680-1681,1680/1681
9,Total,General,135,1681,1680-1681-90,1680-1681,1680/1681
41,Total,General,136,1681,1680-1681-90,1680-1681,1680/1681
10,Total,General,137,1681,1680-1681-90,1680-1681,1680/1681
32,Total,General,138,1681,1680-1681-90,1680-1681,1680/1681
30,Total,General,139,1681,1680-1681-90,1680-1681,1680/1681
24,Total,General,140,1681,1680-1681-90,1680-1681,1680/1681
27,Total,General,141,1681,1680-1681-90,1680-1681,1680/1681
23,Total,General,142,1681,1680-1681-90,1680-1681,1680/1681
0,Total,General,154,1681,1680-1681-90,1680-1681,1680/1681
841,Total,General,24,1681,1680-1681-90,1680-1681,1680/1681
74,Total,General,34,1681,1680-1681-90,1680-1681,1680/1681
31,Total,General,35,1681,1680-1681-90,1680-1681,1680/1681
209,Total,General,40,1681,1680-1681-90,1680-1681,1680/1681
840,Total,General,41,1681,1680-1681-90,1680-1681,1680/1681
535,Total,General,43,1681,1680-1681-90,1680-1681,1680/1681
25,Total,General,9,1681,1680-1681-90,1680-1681,1680/1681
381,Total,General,44,1681,1680-1681-90,1680-1681,1680/1681
,Total,General,71,1681,1680-1681-90,1680-1681,1680/1681
269,Total,General,50,1681,1680-1681-90,1680-1681,1680/1681
329,Total,General,59,1681,1680-1681-90,1680-1681,1680/1681
1315,Total,General,60,1681,1680-1681-90,1680-1681,1680/1681
804,Total,General,130,1681,1680-1681-90,1680-1681,1680/1681
594,Total,General,21,1681,1680-1681-90,1680-1681,1680/1681
649,Total,General,20,1681,1680-1681-90,1680-1681,1680/1681
75,Total,General,143,1681,1680-1681-90,1680-1681,1680/1681
38,Total,General,153,1681,1680-1681-90,1680-1681,1680/1681
0,Total,General,18,1681,1680-1681-90,1680-1681,1680/1681
,Total,General,11,1681,1680-1681-90,1680-1681,1680/1681
143,Total,General,12,1681,1680-1681-90,1680-1681,1680/1681
1120,Total,General,61,1681,1680-1681-90,1680-1681,1680/1681
108,Total,General,13,1681,1680-1681-90,1680-1681,1680/1681
,Total,General,68,1681,1680-1681-90,1680-1681,1680/1681
312,Total,General,64,1681,1680-1681-90,1680-1681,1680/1681
224,Total,General,75,1681,1680-1681-90,1680-1681,1680/1681
297,Total,General,14,1681,1680-1681-90,1680-1681,1680/1681
452,Total,General,80,1681,1680-1681-90,1680-1681,1680/1681
504,Total,General,81,1681,1680-1681-90,1680-1681,1680/1681
,Total,General,111,1681,1680-1681-90,1680-1681,1680/1681
123,Total,General,100,1681,1680-1681-90,1680-1681,1680/1681
202,Total,General,104,1681,1680-1681-90,1680-1681,1680/1681
1030,Total,General,108,1681,1680-1681-90,1680-1681,1680/1681
593,Total,General,134,1681,1680-1681-90,1680-1681,1680/1681
153,Total,General,19,1681,1680-1681-90,1680-1681,1680/1681
1823,Total,General,149,1681,1680-1681-90,1680-1681,1680/1681
,Total,General,30,1681,1680-1681-90,1680-1681,1680/1681
522,Total,General,46,1681,1680-1681-90,1680-1681,1680/1681
,Total,General,67,1681,1680-1681-90,1680-1681,1680/1681
152,Total,General,133,1681,1680-1681-90,1680-1681,1680/1681
2059,Total,General,88,1681,1680-1681-90,1680-1681,1680/1681
111,Total,General,105,1681,1680-1681-90,1680-1681,1680/1681
,Total,General,102,1681,1680-1681-90,1680-1681,1680/1681
779,Total,General,87,1681,1680-1681-90,1680-1681,1680/1681
0,Total,General,17,1681,1680-1681-90,1680-1681,1680/1681
26,Total,General,22,1682,1681-1682-90,1681-1682,1681/1682
104,Total,General,1,1682,1681-1682-90,1681-1682,1681/1682
14,Total,General,2,1682,1681-1682-90,1681-1682,1681/1682
47,Total,General,3,1682,1681-1682-90,1681-1682,1681/1682
