"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position","Unique Identifier","Start day","Start month","Start year","End day","End month","End year","St Alban Woodstreet","Alhallows Barking","Alhallows Breadstreet","Alhallows Great","Alhallows Honylane","Alhallows Lesse","Alhallows Lumbardstreet","Alhallows Stayning","Alhallows the Wall","St Alphage","St Andrew Hubbard","St Andrew Undershaft","St Andrew Wardrobe","St Ann Aldersgate","St Ann Blackfryers","St Antholins Parish","St Austins Parish","St Bartholomew Exchange","St Bennet Fynck","St Bennet Gracechurch","St Bennet Paulswharf","St Bennet Sherehog","St Botolph Billingsgate","Christ Church","St Christophers","St Clement Eastcheap","St Dionis Backchurch","St Dunstan East","St Edmund Lumbardstr.","St Ethelborough","St Faith","St Foster","St Gabriel Fenchurch","St George Botolphlane","St Gregory by St Pauls","St Hellen","St James Dukes place","St James Garlickhithe","St John Baptist","St John Evangelist","St John Zachary","St Katharine Coleman","St Katharine Creechurch","St Lawrence Jewry","St Lawrence Pountney","St Leonard Eastcheap","St Leonard Fosterlane","St Magnus Parish","St Margaret Lothbury","St Margaret Moses","St Margaret Newfishstreet","St Margaret Pattons","St Mary Abchurch","St Mary Aldermanbury","St Mary Aldermary","St Mary le Bow","St Mary Bothaw","St Mary Colechurch","St Mary Hill","St Mary Mounthaw","St Mary Sommerset","St Mary Stayning","St Mary Woolchurch","St Mary Woolnoth","St Martin Iremongerlane","St Martin Ludgate","St Martin Orgars","St Martin Outwich","St Martin Vintrey","St Matthew Fridaystreet","St Maudlin Milkstreet","St Maudlin Oldfishstreet","St Michael Bassishaw","St Michael Cornhil","St Michael Crookedlane","St Michael Queenhithe","St Michael Quern","St Michael Royal","St Michael Woodstreet","St Mildred Breadstreet","St Mildred Poultrey","St Nicholas Acons","St Nicholas Coleabby","St Nicholas Olaves","St Olave Hartstreet","St Olave Jewry","St Olave Silverstreet","St Pancras ","St Peter Cheap","St Peter Cornhil","St Peter Paulswharf","St Peter Poor","St Steven Colemanstreet","St Steven Walbrook","St Swithin","St Thomas Apostles","Trinity Parish","Christened in the 97 parishes within the walls","Buried in the 97 parishes within the walls","Plague in the 97 parishes within the walls","St Andrew Holborn","St Bartholomew Great","St Bartholomew Less","St Botolph Aldersgate","St Botolph Aldgate","St Botolph Bishopsgate","Bridewel Precinct","St Bridget","St John Southwark","St Dunstan West","St George Southwark","St Giles Cripplegate","St Olave Southwark","Saviours Southwark","S Sepulchres Parish","St Thomas Southwark","Trinity Minories","Pesthouse without the walls","Christened in the parishes without the walls","Buried in the parishes without the walls","Plague in the parishes without the walls","St Ann in Middlesex","Christ Church in Middlesex","Christ Church in Surry","St George in Bloomsburg","St George in Middlesex","St George by Queen's Square","St Giles in the Field","Hackney Parish","St John at Wapping","St James Clerkenwel","St Katharine Tower","Lambeth Parish","St Leonard Shoreditch","St Luke in Middlesex","St Magdalen Bermondsey","St Matthew at Bethnal Green","St Mary Islington","St Mary Newington","St Mary Whitechappel","St Pauls Shadwel","Rothorith Parish","Stepney Parish","Christened in the out-Parishes in Middlesex and Surrey","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","St Ann in Westminster","St Clement Danes","St George Hanover-square","St James in Westminster","St John the Evangelist","St Paul Covent Garden","St Martin in the fields","St Mary Savoy","St Mary le Strand","St Margaret Westminster","Pesthouse in Westminster","Christened in the Parishes and Liberties of Westminster","Buried in the Parishes and Liberties of Westminster","Plague in the Parishes and Liberties of Westminster"
4382,1353,182,1,Millar-1690-1691-GeneralBill,16,December,1690,15,December,1691,23,90,30,71,0,20,31,38,48,25,21,48,65,26,150,14,24,10,16,8,46,3,14,99,14,17,24,90,44,24,37,33,18,13,74,29,38,38,16,8,10,46,92,60,20,9,37,39,33,6,0,19,36,36,34,21,8,1,29,16,34,16,0,33,7,47,16,14,53,16,0,33,36,24,31,37,15,26,23,17,23,0,17,9,50,22,26,7,17,35,15,15,136,19,24,17,22,2179,2921,0,1005,84,41,196,726,517,28,360,,295,360,1448,793,555,755,93,22,0,4906,7278,0,,,167,,,,1436,101,,423,170,268,528,,410,,114,279,1062,453,136,2064,4913,7611,0,508,508,,1029,,188,1491,145,,1012,,3056,4881,0
4383,1354,165,1,Millar-1691-1692-GeneralBill,15,December,1691,13,December,1692,17,80,15,56,0,15,28,26,63,36,13,44,56,29,131,14,11,19,20,9,51,4,11,93,13,10,29,77,35,28,52,31,13,10,69,39,34,39,22,3,17,41,55,43,13,1,34,46,24,2,0,14,31,21,27,18,6,1,37,6,33,15,0,34,2,30,24,12,32,15,0,32,27,21,31,24,14,19,5,16,29,1,14,10,53,10,29,5,14,39,13,30,94,29,25,18,15,2136,2596,0,871,73,27,200,713,527,27,365,332,262,332,1246,785,535,598,87,23,0,4865,6671,0,,,142,,,,1353,93,,353,188,250,498,,402,,122,232,983,430,137,,4881,7324,0,462,473,,874,,193,1323,141,,907,,3036,4373,0
4384,1355,169,1,Millar-1692-1693-GeneralBill,13,December,1692,19,December,1693,31,80,25,39,0,18,32,40,68,37,8,46,42,47,129,19,16,22,20,8,44,5,10,104,12,13,33,69,39,34,48,41,13,15,89,29,21,35,23,5,15,42,65,60,15,9,40,32,31,6,0,17,29,21,31,21,4,0,27,9,26,14,0,42,6,43,18,16,42,20,0,33,36,30,29,36,18,20,17,6,20,1,17,14,52,14,34,7,10,30,8,21,90,28,17,20,12,2106,2740,0,940,78,35,177,555,499,33,307,,242,402,1342,741,567,543,96,25,0,5050,6582,0,,,134,,,,1209,77,,393,181,306,484,,387,,150,249,1048,428,152,,5017,7222,0,426,445,,922,,193,1365,130,,934,,2986,4415,0
4408,1359,184,1,Millar-1696-1697-GeneralBill,15,December,1696,14,December,1697,21,99,22,72,0,30,36,29,55,43,14,46,42,28,147,11,23,21,18,20,39,4,13,135,14,15,30,100,30,30,31,18,9,3,85,42,25,45,26,7,23,51,78,57,17,12,38,38,27,5,0,16,21,28,28,18,5,3,42,3,33,17,0,27,7,36,24,8,41,14,0,31,36,30,38,53,24,16,15,18,25,0,16,10,53,14,37,7,18,30,15,26,17,17,29,17,18,2113,2905,0,952,77,26,166,610,535,32,325,,222,342,1295,665,503,605,79,17,0,5021,6451,0,,,128,,,,1287,94,330,357,192,210,495,,397,,73,185,731,432,160,2008,5355,7079,0,507,501,,923,,232,1436,124,,812,0,3340,4535,0
4409,1360,185,1,"Millar-1697-1698-GeneralBill ",14,December,1697,20,December,1698,10,72,15,40,0,19,24,36,61,42,19,32,45,28,125,10,23,23,21,10,43,2,8,156,11,16,34,61,31,35,31,32,15,8,65,28,16,39,15,3,22,51,72,57,10,9,30,41,26,6,0,16,21,24,32,28,3,2,33,3,35,18,0,40,4,40,13,7,30,22,0,27,23,24,29,40,24,18,16,21,22,0,26,5,51,16,30,9,8,26,21,34,125,18,30,11,13,2171,2666,0,853,71,30,188,541,452,31,270,,168,280,1062,667,500,611,78,19,0,5120,5821,0,,,158,,,,1307,118,339,390,174,263,429,,425,,88,179,691,482,188,2131,5686,7362,0,412,435,,975,,211,1385,82,,834,,3075,4334,0
4414,1365,186,1,Millar-1702-1703-GeneralBill,15,December,1702,14,December,1703,26,93,13,38,0,11,16,38,70,31,10,45,48,31,118,12,20,17,12,16,49,3,9,105,15,16,38,77,23,21,26,15,9,18,77,30,24,45,12,3,22,47,45,29,16,11,37,39,35,3,0,14,28,33,30,25,3,2,32,2,24,17,0,30,6,36,24,8,34,15,0,33,34,21,24,36,11,30,7,14,14,1,10,6,39,13,21,7,14,39,14,23,120,25,24,9,24,1773,2550,0,981,70,31,186,530,553,10,268,,159,366,1197,717,509,622,66,20,,4781,6285,0,,,145,,,,1333,105,244,353,156,250,490,,387,,115,213,804,423,161,2150,5392,7329,0,424,436,,1060,,205,1400,112,,919,,3502,4556,0
4415,1366,154,1,"Millar-1703-1704-GeneralBill ",14,December,1703,19,December,1704,27,69,24,50,4,16,22,31,70,36,10,39,47,33,137,15,16,24,21,13,52,2,4,115,10,13,41,69,27,26,43,38,12,15,73,36,21,45,19,4,15,69,52,48,21,7,33,45,34,1,0,15,25,32,18,31,7,2,29,13,35,16,0,25,9,31,24,12,38,18,0,40,36,17,23,34,13,20,5,15,13,0,28,11,40,13,22,8,11,27,19,33,144,21,23,16,26,1928,2732,0,1087,94,30,232,645,545,23,327,,190,376,1160,747,594,658,61,26,,4868,6795,0,,,137,,,,1458,134,331,363,178,246,658,,408,,147,179,853,498,215,2406,5494,8251,0,505,455,,1099,,205,1489,130,,1023,,3605,4906,0
4416,1367,152,1,Millar-1704-1705-GeneralBill,19,December,1704,18,December,1705,32,84,15,49,6,17,18,42,61,27,8,38,64,39,117,9,13,21,34,14,46,1,13,106,19,17,22,66,29,27,40,34,8,13,72,30,36,29,19,3,17,61,54,42,11,17,40,43,41,4,0,19,26,37,20,23,6,0,40,7,38,16,1,25,12,39,11,9,25,8,0,33,35,18,29,49,16,10,9,14,17,3,28,9,33,13,28,4,13,36,12,36,122,20,23,30,26,1850,2696,,942,74,29,249,617,549,14,315,,184,373,1189,799,625,631,76,26,,5013,6692,,,,176,,,,1544,125,287,371,166,299,637,,403,,143,197,812,419,211,2267,5891,8057,,439,493,,934,,204,1489,120,,973,,3391,4653,
4417,1368,187,1,Millar-1705-1706-GeneralBill,18,December,1705,10,December,1706,20,78,12,27,2,15,14,29,57,25,11,53,41,28,124,15,15,28,12,11,32,2,9,92,9,15,19,68,23,25,32,29,13,15,48,24,17,29,14,2,6,59,53,21,19,9,22,44,27,1,0,11,29,22,19,25,2,1,33,4,39,9,0,22,8,27,17,10,42,9,0,28,25,25,28,45,7,18,15,20,13,4,18,6,25,12,24,7,10,20,21,30,103,16,28,8,12,1796,2292,,991,48,21,175,544,474,24,305,,168,326,1099,665,545,590,90,19,,4806,6084,,,,140,,,,1303,111,268,377,159,299,520,,364,,127,174,727,437,196,2069,5444,7271,,398,436,,976,,151,1294,141,,804,,3323,4200,
4438,1369,188,1,Millar-1706-1707-GeneralBill,10,December,1706,16,December,1707,25,91,13,48,1,18,17,30,72,36,8,46,55,36,135,18,10,14,21,13,48,2,4,103,14,16,28,60,12,21,32,35,7,8,66,28,14,38,18,3,19,51,65,33,20,11,38,36,29,0,0,10,32,34,22,29,4,2,36,7,34,11,0,34,9,29,20,6,31,12,0,23,25,22,23,36,9,16,23,17,21,6,15,12,26,12,41,8,8,25,11,28,104,24,24,8,15,1879,2513,,986,60,31,182,621,524,30,285,,178,386,1307,730,599,658,139,25,,5071,6741,,,,118,,,,1425,139,360,419,147,315,540,,395,,132,195,787,424,220,2127,5703,7743,,445,429,,1030,,192,1485,132,,890,,3413,4603,
