"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position","Unique Identifier","Start day","Start month","Start year","End day","End month","End year","St Alban Woodstreet","Alhallows Barking","Alhallows Breadstreet","Alhallows Great","Alhallows Honylane","Alhallows Lesse","Alhallows Lumbardstreet","Alhallows Stayning","Alhallows the Wall","St Alphage","St Andrew Hubbard","St Andrew Undershaft","St Andrew Wardrobe","St Ann Aldersgate","St Ann Blackfryers","St Antholins Parish","St Austins Parish","St Bartholomew Exchange","St Bennet Fynck","St Bennet Gracechurch","St Bennet Paulswharf","St Bennet Sherehog","St Botolph Billingsgate","Christ Church","St Christophers","St Clement Eastcheap","St Dionis Backchurch","St Dunstan East","St Edmund Lumbardstr.","St Ethelborough","St Faith","St Foster","St Gabriel Fenchurch","St George Botolphlane","St Gregory by St Pauls","St Hellen","St James Dukes place","St James Garlickhithe","St John Baptist","St John Evangelist","St John Zachary","St Katharine Coleman","St Katharine Creechurch","St Lawrence Jewry","St Lawrence Pountney","St Leonard Eastcheap","St Leonard Fosterlane","St Magnus Parish","St Margaret Lothbury","St Margaret Moses","St Margaret Newfishstreet","St Margaret Pattons","St Mary Abchurch","St Mary Aldermanbury","St Mary Aldermary","St Mary le Bow","St Mary Bothaw","St Mary Colechurch","St Mary Hill","St Mary Mounthaw","St Mary Sommerset","St Mary Stayning","St Mary Woolchurch","St Mary Woolnoth","St Martin Iremongerlane","St Martin Ludgate","St Martin Orgars","St Martin Outwich","St Martin Vintrey","St Matthew Fridaystreet","St Maudlin Milkstreet","St Maudlin Oldfishstreet","St Michael Bassishaw","St Michael Cornhil","St Michael Crookedlane","St Michael Queenhithe","St Michael Quern","St Michael Royal","St Michael Woodstreet","St Mildred Breadstreet","St Mildred Poultrey","St Nicholas Acons","St Nicholas Coleabby","St Nicholas Olaves","St Olave Hartstreet","St Olave Jewry","St Olave Silverstreet","St Pancras ","St Peter Cheap","St Peter Cornhil","St Peter Paulswharf","St Peter Poor","St Steven Colemanstreet","St Steven Walbrook","St Swithin","St Thomas Apostles","Trinity Parish","Christened in the 97 parishes within the walls","Buried in the 97 parishes within the walls","Plague in the 97 parishes within the walls","St Andrew Holborn","St Bartholomew Great","St Bartholomew Less","St Botolph Aldersgate","St Botolph Aldgate","St Botolph Bishopsgate","Bridewel Precinct","St Bridget","St John Southwark","St Dunstan West","St George Southwark","St Giles Cripplegate","St Olave Southwark","Saviours Southwark","S Sepulchres Parish","St Thomas Southwark","Trinity Minories","Pesthouse without the walls","Christened in the parishes without the walls","Buried in the parishes without the walls","Plague in the parishes without the walls","St Ann in Middlesex","Christ Church in Middlesex","Christ Church in Surry","St George in Bloomsburg","St George in Middlesex","St George by Queen's Square","St Giles in the Field","Hackney Parish","St John at Wapping","St James Clerkenwel","St Katharine Tower","Lambeth Parish","St Leonard Shoreditch","St Luke in Middlesex","St Magdalen Bermondsey","St Matthew at Bethnal Green","St Mary Islington","St Mary Newington","St Mary Whitechappel","St Pauls Shadwel","Rothorith Parish","Stepney Parish","Christened in the out-Parishes in Middlesex and Surrey","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","St Ann in Westminster","St Clement Danes","St George Hanover-square","St James in Westminster","St John the Evangelist","St Paul Covent Garden","St Martin in the fields","St Mary Savoy","St Mary le Strand","St Margaret Westminster","Pesthouse in Westminster","Christened in the Parishes and Liberties of Westminster","Buried in the Parishes and Liberties of Westminster","Plague in the Parishes and Liberties of Westminster"
4439,1370,163,1,Millar-1707-1708-GeneralBill,16,December,1707,14,December,1708,28,91,14,42,6,10,10,16,61,32,12,52,57,37,134,11,18,21,22,9,60,0,9,99,17,13,21,62,19,33,36,27,11,10,76,41,20,36,23,5,14,55,59,37,13,7,31,44,39,4,0,15,21,31,28,26,4,1,32,18,32,11,1,28,17,34,15,10,40,8,0,37,21,27,27,42,11,10,15,15,10,5,10,5,37,9,29,8,13,25,9,25,109,17,18,6,18,1897,2534,,1017,74,34,196,569,496,29,344,,206,448,1204,703,582,606,111,22,,4890,6641,,,,150,,,,1370,125,310,412,152,114,543,,463,,294,212,647,413,201,2084,5661,7490,,444,485,,1058,,194,1487,124,,834,,3414,4626,
4440,1371,191,1,Millar-1708-1709-GeneralBill,14,December,1708,13,December,1709,38,104,12,49,3,22,10,29,38,46,9,42,66,35,129,14,15,16,20,9,41,2,11,101,19,12,28,70,26,16,27,22,7,10,55,32,21,39,22,10,21,56,53,49,18,9,24,33,26,1,0,11,26,32,22,29,4,0,35,14,29,25,0,32,6,35,16,18,37,17,0,34,29,16,29,40,13,17,14,11,21,3,10,11,33,9,24,7,12,26,10,40,109,20,21,13,12,1852,2539,,1103,55,38,222,616,522,20,379,,210,452,1349,771,641,671,195,18,,4593,7262,,,,148,,,,1296,120,347,364,169,287,531,,396,,124,237,707,448,219,2100,5288,7493,,418,475,,945,,195,1456,157,,860,,3487,4506,
4441,1372,178,1,"Millar-1709-1710-GeneralBill ",13,December,1709,12,December,1710,32,105,13,63,3,33,17,38,63,50,16,40,73,38,126,17,19,21,27,14,63,0,12,154,15,22,32,92,24,28,28,26,11,12,52,38,17,39,34,2,17,85,68,51,11,11,40,35,27,4,0,19,33,29,26,32,9,2,35,14,42,16,0,31,12,33,16,10,54,15,0,31,32,29,28,45,10,19,13,12,16,5,18,9,40,5,38,6,2,42,20,29,100,18,23,31,20,1815,2927,,1213,74,40,211,641,632,21,362,,190,542,1637,811,729,698,162,16,,4751,7979,,,,163,,,,1653,142,289,482,200,301,675,,447,,111,186,777,470,174,2473,5134,8543,,458,528,,1139,,229,1684,156,,977,,3228,5171,
4442,1373,190,1,Millar-1710-1711-GeneralBill,12,December,1710,11,December,1711,21,100,13,47,1,12,15,31,45,30,6,33,52,34,166,13,19,19,18,5,38,1,9,108,10,10,29,57,20,22,27,29,6,13,66,34,21,40,17,4,17,40,64,44,22,8,30,31,29,6,0,15,23,22,16,19,3,1,23,8,32,22,0,16,9,23,12,20,34,13,0,21,23,13,19,29,9,25,11,12,19,4,8,3,36,5,26,7,8,36,12,31,92,27,24,10,20,1719,2371,,977,64,36,162,536,465,21,339,,180,363,1169,712,571,611,133,16,,4683,6355,,,,123,,,,1205,120,294,342,138,268,465,,376,,146,174,645,337,154,1893,5042,6680,,397,468,,931,,211,1378,168,,874,,3262,4427,
4443,1374,195,1,Millar-1711-1712-GeneralBill,11,December,1711,16,December,1712,27,91,15,37,7,15,17,33,58,30,1,29,42,28,128,16,11,19,13,8,41,2,12,130,9,18,27,74,21,33,25,34,3,14,45,24,23,32,29,5,25,41,49,41,15,7,29,33,31,2,0,13,26,25,28,24,2,2,48,11,52,20,0,27,8,26,11,10,32,9,0,22,27,33,19,46,11,15,8,11,18,5,20,9,31,11,31,4,4,28,15,29,110,16,23,10,19,1859,2438,,975,64,26,193,550,493,30,325,,189,442,1276,784,634,555,134,25,,5045,6695,,,,158,,,,1303,118,322,371,164,304,531,,,,125,180,705,427,197,2153,5327,7474,,403,526,,1011,,222,1413,125,,891,,3429,4591,
4446,1377,192,1,Millar-1714-1715-GeneralBill,14,December,1714,13,December,1715,16,92,17,54,0,20,24,29,40,32,2,52,44,37,110,10,15,15,20,21,30,1,13,117,18,11,31,61,17,28,44,25,6,8,75,30,19,39,24,2,21,44,34,43,13,8,35,33,30,4,0,15,32,32,29,32,5,0,34,17,27,35,0,10,10,20,15,23,46,10,0,34,22,18,46,38,7,8,14,12,23,1,20,11,32,8,26,0,13,34,23,26,89,14,24,32,12,1828,2493,,1077,61,30,227,674,573,18,326,,193,503,1339,696,677,670,170,25,,5704,7259,,,,165,,,,1452,136,251,419,168,284,575,,415,,160,279,794,358,214,2110,5862,7780,,420,464,,1165,,183,1415,113,,941,,3840,4700,
4447,1378,193,1,Millar-1715-1716-GeneralBill,13,December,1715,11,December,1716,27,115,15,76,0,8,9,19,65,40,5,54,83,50,169,11,16,20,18,14,50,0,10,124,27,14,31,57,25,28,28,24,4,14,66,25,21,28,19,4,26,49,59,45,14,9,35,34,23,17,0,15,20,19,33,29,6,0,41,11,40,23,0,11,7,46,6,24,38,13,0,43,25,25,24,35,17,15,19,18,26,0,22,7,41,7,34,2,7,33,28,26,90,13,19,23,20,1884,2725,,1398,66,39,216,756,503,23,365,,193,497,1343,762,793,723,169,14,,5742,7860,,,,194,,,,1606,141,284,562,181,327,578,,411,,159,304,809,405,209,2259,5956,8429,,502,501,,1308,,241,1626,118,,1126,,3839,5422,
4468,1379,194,1,Millar-1716-1717-GeneralBill,11,December,1716,17,December,1717,27,110,19,56,0,28,16,31,57,33,3,57,48,45,131,13,14,17,23,9,41,0,15,123,25,15,34,57,15,22,30,28,10,11,53,41,26,40,22,2,21,52,31,53,17,7,20,35,28,6,3,16,28,33,22,37,6,0,36,11,44,27,0,12,15,50,14,15,41,15,0,22,22,13,18,25,5,13,9,16,36,1,24,10,50,8,29,0,8,32,21,26,86,17,21,22,16,2031,2592,,1165,57,33,200,817,521,23,309,,208,485,1367,817,628,647,181,21,,6211,7479,,,,202,,,,1347,165,327,422,206,325,643,,458,,178,175,889,450,214,2369,6172,8370,,447,419,,1159,,256,1605,113,,1006,,4061,5005,
4471,1382,179,1,Millar-1719-1720-GeneralBill,15,December,1719,13,December,1720,34,104,11,53,0,17,13,32,69,36,17,51,56,29,126,9,16,24,17,11,36,3,10,186,15,11,31,72,17,26,35,35,9,14,69,31,23,34,18,2,16,51,59,42,12,5,37,43,23,5,0,20,17,41,31,24,2,0,29,4,37,17,0,5,10,46,8,11,29,8,0,31,31,19,30,35,11,17,16,16,34,2,22,15,47,11,33,2,5,38,30,28,99,17,25,24,13,1898,2686,,1296,60,24,208,819,516,17,357,,230,499,1481,786,771,728,250,27,,5931,8069,,,,263,,,,1747,173,313,413,169,454,664,,484,,207,322,884,442,229,2257,5901,9021,,434,522,,1196,,243,1927,146,,1210,,3749,5678,
4472,1383,180,1,Millar-1720-1721-GeneralBill,13,December,1720,12,December,1721,31,76,14,57,0,20,12,26,64,23,15,43,47,40,122,14,24,19,24,16,36,1,12,149,22,18,25,84,14,21,38,27,7,16,57,35,25,39,15,5,25,49,63,43,14,7,21,42,30,11,0,9,25,31,41,20,5,0,33,12,22,16,0,12,10,29,18,15,34,10,0,30,30,26,32,42,5,14,13,7,17,5,14,14,45,5,48,3,7,38,35,15,96,17,20,11,19,1871,2588,,1221,52,30,191,816,544,18,306,,306,552,1419,929,775,681,240,25,,5944,8000,,,,222,,,,1698,172,348,458,194,,697,,458,,,350,937,526,278,2543,6462,9564,,409,561,,1379,,253,1969,141,,1278,,4093,5990,
4560,1411,166,1,Millar-1748-1749-GeneralBill,13,December,1748,12,December,1749,34,66,5,34,0,19,17,20,40,23,1,38,73,35,172,4,0,17,12,16,43,2,5,129,5,3,35,55,14,23,8,29,12,10,73,32,12,15,21,3,12,19,47,23,14,8,21,31,16,1,0,16,11,24,27,15,4,1,19,5,22,10,0,16,11,27,13,6,34,8,0,24,22,11,31,22,8,10,6,6,10,5,13,11,24,2,21,3,5,18,10,8,44,11,10,11,10,1026,1972,,963,70,28,247,801,416,0,232,353,155,351,593,340,758,620,172,23,,4010,6122,,228,642,222,486,608,396,1157,236,443,588,218,451,860,1129,436,469,309,405,1197,486,284,490,5539,11740,,462,437,975,1258,56,281,1184,94,84,851,,3685,5682,
4561,1412,164,1,Millar-1749-1750-GeneralBill,12,December,1749,11,December,1750,21,57,10,59,0,27,13,14,71,30,15,40,51,39,125,2,3,18,26,20,31,0,8,111,9,11,31,55,12,32,5,27,19,8,51,30,15,31,15,3,10,38,40,17,16,6,21,31,17,3,0,7,12,26,15,22,4,0,26,12,35,12,0,15,4,25,11,14,36,2,0,35,22,13,29,23,8,12,7,8,4,5,11,4,25,7,18,0,3,20,11,4,44,15,13,6,18,1090,1987,,839,66,16,224,833,407,0,260,349,165,350,473,353,677,555,223,36,,4184,5826,,224,719,183,377,556,367,1068,190,347,543,216,453,915,1126,444,508,265,259,1136,441,252,427,5692,11016,,380,369,651,1114,0,281,1081,68,58,896,,3582,4898,
4562,1413,153,1,Millar-1750-1751-GeneralBill,11,December,1750,10,December,1751,25,52,8,34,0,24,8,14,60,23,9,21,50,40,108,6,11,16,13,3,32,0,4,91,16,9,17,59,11,25,23,24,11,5,74,30,9,14,15,1,19,28,29,22,11,6,17,24,8,2,0,3,12,18,22,13,4,0,16,15,22,10,0,19,2,27,14,7,25,3,0,23,29,14,31,21,2,7,8,5,10,1,6,2,36,3,21,4,2,8,16,7,56,13,5,10,15,1070,1748,,728,70,25,215,675,372,0,176,332,131,332,459,267,598,510,192,14,,4158,5096,,151,589,183,365,508,373,912,188,322,465,167,388,754,988,425,430,198,244,967,378,249,374,5819,9618,,386,325,658,1001,84,273,920,60,63,796,,3644,4566,
