year,week_number,unique_identifier,start_day,start_month,end_day,end_month,christening,count
1669,37,1669-37-verso-form-fill,31,August,7,September,Christened (Male),124
1669,37,1669-37-verso-form-fill,31,August,7,September,Christened (Female),105
1669,37,1669-37-verso-form-fill,31,August,7,September,Christened (In All),229
1669,38,1669-38-verso,7,September,14,September,Christened (Male),154
1669,38,1669-38-verso,7,September,14,September,Christened (Female),106
1669,38,1669-38-verso,7,September,14,September,Christened (In All),160
1669,39,1669-39-verso,14,September,21,September,Christened (Male),121
1669,39,1669-39-verso,14,September,21,September,Christened (Female),127
1669,39,1669-39-verso,14,September,21,September,Christened (In All),148
1669,40,1669-40-verso,21,September,28,September,Christened (Male),118
1669,40,1669-40-verso,21,September,28,September,Christened (Female),89
1669,40,1669-40-verso,21,September,28,September,Christened (In All),207
1669,41,1669-41-verso,28,September,5,October,Christened (Male),130
1669,41,1669-41-verso,28,September,5,October,Christened (Female),134
1669,41,1669-41-verso,28,September,5,October,Christened (In All),264
1669,42,1669-42-verso,5,October,12,October,Christened (Male),138
1669,42,1669-42-verso,5,October,12,October,Christened (Female),111
1669,42,1669-42-verso,5,October,12,October,Christened (In All),249
1669,43,1669-43-verso,12,October,19,October,Christened (Male),132
1669,43,1669-43-verso,12,October,19,October,Christened (Female),106
1669,43,1669-43-verso,12,October,19,October,Christened (In All),238
1669,46,1669-46-verso,2,November,9,November,Christened (Male),136
1669,46,1669-46-verso,2,November,9,November,Christened (Female),101
1669,46,1669-46-verso,2,November,9,November,Christened (In All),237
1669,47,1669-47-verso,9,November,16,November,Christened (Male),123
1669,47,1669-47-verso,9,November,16,November,Christened (Female),120
1669,47,1669-47-verso,9,November,16,November,Christened (In All),243
1669,48,1669-48-verso,16,November,23,November,Christened (Male),117
1669,48,1669-48-verso,16,November,23,November,Christened (Female),122
1669,48,1669-48-verso,16,November,23,November,Christened (In All),239
1669,50,1669-50-verso,30,November,7,December,Christened (Male),132
1669,50,1669-50-verso,30,November,7,December,Christened (Female),107
1669,50,1669-50-verso,30,November,7,December,Christened (In All),239
1669,51,1669-51-verso,7,December,14,December,Christened (Male),123
1669,51,1669-51-verso,7,December,14,December,Christened (Female),122
1669,51,1669-51-verso,7,December,14,December,Christened (In All),245
1669,52,1669-52-verso,14,December,21,December,Christened (Male),113
1669,52,1669-52-verso,14,December,21,December,Christened (Female),99
1669,52,1669-52-verso,14,December,21,December,Christened (In All),212
1669,2,1669-02-verso,28,December,4,January,Christened (Male),107
1669,2,1669-02-verso,28,December,4,January,Christened (Female),104
1669,2,1669-02-verso,28,December,4,January,Christened (In All),211
1669,3,1669-03-verso,4,January,11,January,Christened (Male),139
1669,3,1669-03-verso,4,January,11,January,Christened (Female),128
1669,3,1669-03-verso,4,January,11,January,Christened (In All),267
1669,4,1669-04-verso,11,January,18,January,Christened (Male),113
1669,4,1669-04-verso,11,January,18,January,Christened (Female),114
1669,4,1669-04-verso,11,January,18,January,Christened (In All),227
1669,5,1669-05-verso,18,January,25,January,Christened (Male),126
1669,5,1669-05-verso,18,January,25,January,Christened (Female),108
1669,5,1669-05-verso,18,January,25,January,Christened (In All),234
1669,6,1669-06-verso,25,January,1,February,Christened (Male),135
1669,6,1669-06-verso,25,January,1,February,Christened (Female),123
1669,6,1669-06-verso,25,January,1,February,Christened (In All),258
1669,7,1669-07-verso,1,February,8,February,Christened (Male),131
1669,7,1669-07-verso,1,February,8,February,Christened (Female),118
1669,7,1669-07-verso,1,February,8,February,Christened (In All),249
1669,8,1669-08-verso,8,February,15,February,Christened (Male),122
1669,8,1669-08-verso,8,February,15,February,Christened (Female),131
1669,8,1669-08-verso,8,February,15,February,Christened (In All),253
1669,9,1669-09-verso,15,February,22,February,Christened (Male),138
1669,9,1669-09-verso,15,February,22,February,Christened (Female),119
1669,9,1669-09-verso,15,February,22,February,Christened (In All),257
1669,11,1669-11-verso-form-fill,1,March,8,March,Christened (Male),161
1669,11,1669-11-verso-form-fill,1,March,8,March,Christened (Female),139
1669,11,1669-11-verso-form-fill,1,March,8,March,Christened (In All),300
1669,12,1669-12-verso-form-fill,8,March,15,March,Christened (Male),
1669,12,1669-12-verso-form-fill,8,March,15,March,Christened (Female),
1669,12,1669-12-verso-form-fill,8,March,15,March,Christened (In All),
1669,13,1669-13-verso-form-fill,15,March,22,March,Christened (Male),126
1669,13,1669-13-verso-form-fill,15,March,22,March,Christened (Female),114
1669,13,1669-13-verso-form-fill,15,March,22,March,Christened (In All),140
1670,14,1670-14-verso,22,March,29,March,Christened (Male),134
1670,14,1670-14-verso,22,March,29,March,Christened (Female),117
1670,14,1670-14-verso,22,March,29,March,Christened (In All),251
1670,15,1670-15-verso,29,March,5,April,Christened (Male),106
1670,15,1670-15-verso,29,March,5,April,Christened (Female),105
1670,15,1670-15-verso,29,March,5,April,Christened (In All),211
1670,16,1670-16-verso,5,April,12,April,Christened (Male),125
1670,16,1670-16-verso,5,April,12,April,Christened (Female),116
1670,16,1670-16-verso,5,April,12,April,Christened (In All),241
1670,18,1670-18-verso,19,April,26,April,Christened (Male),138
1670,18,1670-18-verso,19,April,26,April,Christened (Female),113
1670,18,1670-18-verso,19,April,26,April,Christened (In All),251
1670,19,1669-19-verso,26,April,3,May,Christened (Male),109
1670,19,1669-19-verso,26,April,3,May,Christened (Female),89
1670,19,1669-19-verso,26,April,3,May,Christened (In All),198
1670,20,1670-20-verso,3,May,10,May,Christened (Male),135
1670,20,1670-20-verso,3,May,10,May,Christened (Female),109
1670,20,1670-20-verso,3,May,10,May,Christened (In All),244
1670,21,1670-21-verso,10,May,17,May,Christened (Male),106
