count_type,metric,expected_weeks,observed_weeks,coverage_percent,longest_contiguous_run,spearman_time_rho,spearman_time_p,ljung_box_lag,ljung_box_p,seasonal_acf_lag_52,selected_model,model_aic,residual_ljung_box_p,model_adequate
buried,signed_difference,5258,5180,98.51654621529099,1690,0.0003354598590520635,0.980742561600354,10,1.540029874787334e-07,0.03287110286745122,"ARIMA(2, 0, 2)",14594.345668169837,9.764250408428394e-05,False
buried,absolute_difference,5258,5180,98.51654621529099,1690,0.06429315662863565,3.639112586051862e-06,10,2.754333029259373e-11,0.010368107539210969,"ARIMA(1, 0, 2)",14472.804211656563,6.66294705697883e-05,False
plague,signed_difference,5258,2601,49.46747812856599,898,0.05164694158613882,0.008426474869168595,10,0.9999999999999999,-0.0006261740763932377,not fitted,,,
plague,absolute_difference,5258,2601,49.46747812856599,898,-0.1312678622271432,1.8105040879170703e-11,10,0.999999999997647,-0.0017413108588145185,not fitted,,,
