breadID|weekID|breadtype|lb|oz|dr
157|1647/12|wheaten|0|8.16|0
158|1647/12|household|0|11.16|0
159|1647/13|white|0|5.14|0
160|1647/13|wheaten|0|8.16|0
161|1647/14|white|0|5.14|0
162|1647/14|wheaten|0|8.16|0
163|1647/15|white|0|5.14|0
164|1647/15|wheaten|0|8.16|0
165|1647/16|white|0|5.14|0
166|1647/16|wheaten|0|8.16|0
167|1647/17|white|0|5.14|0
168|1647/17|wheaten|0|8.16|0
169|1647/18|white|0|5.14|0
170|1647/18|wheaten|0|8.16|0
171|1647/19|white|0|5.14|0
172|1647/19|wheaten|0|8.16|0
173|1647/20|white|0|5.14|0
174|1647/20|wheaten|0|8.16|0
175|1647/21|white|0|5.14|0
176|1647/21|wheaten|0|8.16|0
177|1647/22|white|0|5.14|0
178|1647/22|wheaten|0|8.16|0
179|1647/23|white|0|5.14|0
180|1647/23|wheaten|0|8.16|0
181|1647/24|white|0|5.14|0
182|1647/24|wheaten|0|8.16|0
183|1647/25|white|0|5.14|0
184|1647/25|wheaten|0|8.16|0
185|1647/26|white|0|5.14|0
186|1647/26|wheaten|0|8.16|0
187|1647/27|white|0|5.14|0
188|1647/27|wheaten|0|8.16|0
189|1647/28|white|0|5.14|0
190|1647/28|wheaten|0|8.16|0
191|1647/28|household|0|11.16|0
192|1647/29|white|0|5.14|0
193|1647/29|wheaten|0|8.16|0
194|1647/29|household|0|11.16|0
195|1647/30|white|0|5.14|0
196|1647/30|wheaten|0|8.16|0
197|1647/30|household|0|11.16|0
198|1647/31|white|0|5.14|0
199|1647/31|wheaten|0|8.16|0
200|1647/31|household|0|11.16|0
201|1647/32|white|0|5.14|0
202|1647/32|wheaten|0|8.16|0
203|1647/32|household|0|11.16|0
204|1647/33|white|0|5.14|0
205|1647/33|wheaten|0|8.16|0
206|1647/33|household|0|11.16|0
207|1647/34|white|0|5.14|0
208|1647/34|wheaten|0|8.16|0
209|1647/34|household|0|11.16|0
210|1647/35|white|0|5.14|0
211|1647/35|wheaten|0|8.16|0
212|1647/35|household|0|11.16|0
213|1647/36|white|0|5.14|0
214|1647/36|wheaten|0|8.16|0
215|1647/36|household|0|11.16|0
216|1647/37|white|0|5.14|0
217|1647/37|wheaten|0|8.16|0
218|1647/37|household|0|11.16|0
219|1647/39|white|0|5.14|0
220|1647/39|wheaten|0|8.16|0
221|1647/39|household|0|11.16|0
222|1647/40|white|0|5.14|0
223|1647/40|wheaten|0|8.16|0
224|1647/40|household|0|11.16|0
225|1647/42|white|0|5.14|0
226|1647/42|wheaten|0|8.16|0
227|1647/42|household|0|11.16|0
228|1647/43|white|0|5.14|0
229|1647/43|wheaten|0|8.16|0
230|1647/43|household|0|11.16|0
231|1647/44|white|0|5.14|0
232|1647/44|wheaten|0|8.16|0
233|1647/44|household|0|11.16|0
234|1647/46|white|0|5.14|0
235|1647/46|wheaten|0|8.16|0
236|1647/46|household|0|11.16|0
237|1647/47|wheaten|0|6.50|0
238|1647/47|3 halfpenny white|0|6.50|0
239|1647/48|wheaten|0|6.50|0
240|1647/48|3 halfpenny white|0|6.50|0
241|1647/49|wheaten|0|6.50|0
242|1647/49|3 halfpenny white|0|6.50|0
243|1647/50|wheaten|0|6.50|0
244|1647/50|3 halfpenny white|0|6.50|0
245|1647/52|wheaten|0|6.50|0
246|1647/52|3 halfpenny white|0|6.50|0
247|1648/01|wheaten|0|6.50|0
248|1648/01|3 halfpenny white|0|6.50|0
249|1648/02|wheaten|0|6.50|0
250|1648/02|3 halfpenny white|0|6.50|0
251|1648/03|wheaten|0|6.50|0
252|1648/03|3 halfpenny white|0|6.50|0
253|1648/04|wheaten|0|6.50|0
254|1648/04|3 halfpenny white|0|6.50|0
255|1648/05|wheaten|0|6.50|0
256|1648/05|3 halfpenny white|0|6.50|0
257|1648/06|wheaten|0|6.50|0
258|1648/06|3 halfpenny white|0|6.50|0
259|1648/07|wheaten|0|6.50|0
260|1648/07|3 halfpenny white|0|6.50|0
261|1648/08|wheaten|0|6.50|0
262|1648/08|3 halfpenny white|0|6.50|0
263|1648/09|wheaten|0|6.50|0
264|1648/09|3 halfpenny white|0|6.50|0
265|1648/10|wheaten|0|6.50|0
266|1648/10|3 halfpenny white|0|6.50|0
267|1648/11|wheaten|0|6.50|0
268|1648/11|3 halfpenny white|0|6.50|0
269|1648/12|wheaten|0|6.50|0
270|1648/12|3 halfpenny white|0|6.50|0
271|1648/13|wheaten|0|6.50|0
272|1648/13|3 halfpenny white|0|6.50|0
273|1648/14|wheaten|0|6.50|0
274|1648/14|3 halfpenny white|0|6.50|0
275|1649/15|wheaten|0|6.00|0
276|1649/15|3 halfpenny white|0|6.00|0
277|1649/16|wheaten|0|6.50|0
278|1649/16|3 halfpenny white|0|6.50|0
279|1649/17|wheaten|0|6.50|0
280|1649/17|3 halfpenny white|0|6.50|0
281|1649/18|wheaten|0|6.50|0
282|1649/18|3 halfpenny white|0|6.50|0
283|1649/19|wheaten|0|6.50|0
284|1649/19|3 halfpenny white|0|6.50|0
285|1649/20|wheaten|0|6.50|0
286|1649/20|3 halfpenny white|0|6.50|0
287|1649/21|wheaten|0|6.50|0
288|1649/21|3 halfpenny white|0|6.50|0
289|1649/22|wheaten|0|6.50|0
290|1649/22|3 halfpenny white|0|6.50|0
291|1649/23|wheaten|0|6.50|0
292|1649/23|3 halfpenny white|0|6.50|0
293|1649/24|wheaten|0|6.50|0
294|1649/24|3 halfpenny white|0|6.50|0
295|1649/25|wheaten|0|6.50|0
296|1649/25|3 halfpenny white|0|6.50|0
297|1649/26|wheaten|0|6.50|0
298|1649/26|3 halfpenny white|0|6.50|0
299|1649/27|wheaten|0|6.50|0
300|1649/27|3 halfpenny white|0|6.50|0
301|1649/28|wheaten|0|6.50|0
302|1649/28|3 halfpenny white|0|6.50|0
303|1649/30|wheaten|0|6.50|0
304|1649/30|3 halfpenny white|0|6.50|0
305|1649/31|wheaten|0|6.50|0
306|1649/31|3 halfpenny white|0|6.50|0
307|1649/32|wheaten|0|6.50|0
308|1649/32|3 halfpenny white|0|6.50|0
309|1649/33|wheaten|0|6.50|0
310|1649/33|3 halfpenny white|0|6.50|0
311|1650/02|wheaten|0|6.00|0
312|1650/02|3 halfpenny white|0|6.00|0
313|1650/03|wheaten|0|6.00|0
314|1650/03|3 halfpenny white|0|6.00|0
315|1650/04|wheaten|0|6.00|0
316|1650/04|3 halfpenny white|0|6.00|0
317|1650/05|wheaten|0|6.00|0
318|1650/05|3 halfpenny white|0|6.00|0
319|1650/06|wheaten|0|6.00|0
320|1650/06|3 halfpenny white|0|6.00|0
321|1650/07|wheaten|0|6.00|0
322|1650/07|3 halfpenny white|0|6.00|0
323|1650/08|wheaten|0|6.00|0
324|1650/08|3 halfpenny white|0|6.00|0
325|1650/09|wheaten|0|6.00|0
326|1650/09|3 halfpenny white|0|6.00|0
327|1650/10|wheaten|0|6.00|0
328|1650/10|3 halfpenny white|0|6.00|0
329|1650/11|wheaten|0|6.50|0
330|1650/11|3 halfpenny white|0|6.50|0
331|1650/12|wheaten|0|6.50|0
332|1650/12|3 halfpenny white|0|6.50|0
333|1650/13|wheaten|0|6.50|0
334|1650/13|3 halfpenny white|0|6.50|0
335|1650/14|wheaten|0|6.50|0
336|1650/14|3 halfpenny white|0|6.50|0
338|1651/15|wheaten|0|7.00|0
339|1651/15|3 halfpenny white|0|7.00|0
340|1651/16|wheaten|0|7.00|0
341|1651/16|3 halfpenny white|0|7.00|0
342|1651/17|wheaten|0|7.00|0
343|1651/17|3 halfpenny white|0|7.00|0
344|1651/18|wheaten|0|7.50|0
345|1651/18|3 halfpenny white|0|7.50|0
346|1651/19|wheaten|0|7.50|0
347|1651/19|3 halfpenny white|0|7.50|0
348|1651/20|wheaten|0|7.50|0
349|1651/20|3 halfpenny white|0|7.50|0
350|1651/21|wheaten|0|7.50|0
351|1651/21|3 halfpenny white|0|7.50|0
352|1651/22|wheaten|0|7.50|0
353|1651/22|3 halfpenny white|0|7.50|0
354|1651/23|wheaten|0|8.50|0
355|1651/23|3 halfpenny white|0|8.50|0
356|1651/24|wheaten|0|8.50|0
357|1651/24|3 halfpenny white|0|8.50|0
358|1651/25|wheaten|0|8.50|0
359|1651/25|3 halfpenny white|0|8.50|0
360|1651/26|wheaten|0|8.50|0
361|1651/26|3 halfpenny white|0|8.50|0
362|1651/27|wheaten|0|8.50|0
363|1651/27|3 halfpenny white|0|8.50|0
364|1651/28|wheaten|0|8.50|0
365|1651/28|3 halfpenny white|0|8.50|0
366|1651/29|wheaten|0|8.50|0
367|1651/29|3 halfpenny white|0|8.50|0
368|1651/31|wheaten|0|8.00|0
369|1651/31|3 halfpenny white|0|8.00|0
370|1651/32|wheaten|0|8.00|0
371|1651/32|3 halfpenny white|0|8.00|0
372|1651/33|wheaten|0|8.00|0
373|1651/33|3 halfpenny white|0|8.00|0
374|1651/36|wheaten|0|8.00|0
375|1651/36|3 halfpenny white|0|8.00|0
376|1651/37|wheaten|0|8.00|0
377|1651/37|3 halfpenny white|0|8.00|0
378|1651/38|wheaten|0|8.00|0
379|1651/38|3 halfpenny white|0|8.00|0
380|1651/40|wheaten|0|8.00|0
381|1651/40|3 halfpenny white|0|8.00|0
382|1651/44|wheaten|0|8.50|0
383|1651/44|3 halfpenny white|0|8.50|0
384|1651/46|wheaten|0|8.50|0
385|1651/46|3 halfpenny white|0|8.50|0
386|1651/48|wheaten|0|9.00|0
387|1651/48|3 halfpenny white|0|9.00|0
388|1651/49|wheaten|0|9.00|0
389|1651/49|3 halfpenny white|0|9.00|0
390|1651/50|wheaten|0|9.00|0
391|1651/50|3 halfpenny white|0|9.00|0
392|1651/51|wheaten|0|9.00|0
393|1651/51|3 halfpenny white|0|9.00|0
394|1651/52|wheaten|0|9.00|0
395|1651/52|3 halfpenny white|0|9.00|0
396|1652/01|wheaten|0|9.00|0
397|1652/01|3 halfpenny white|0|9.00|0
398|1652/02|wheaten|0|9.00|0
399|1652/02|3 halfpenny white|0|9.00|0
400|1652/03|wheaten|0|9.00|0
401|1652/03|3 halfpenny white|0|9.00|0
402|1652/04|wheaten|0|9.00|0
403|1652/04|3 halfpenny white|0|9.00|0
404|1652/05|wheaten|0|9.00|0
405|1652/05|3 halfpenny white|0|9.00|0
406|1652/06|wheaten|0|9.00|0
407|1652/06|3 halfpenny white|0|9.00|0
408|1652/07|wheaten|0|9.00|0
409|1652/07|3 halfpenny white|0|9.00|0
410|1652/08|wheaten|0|9.00|0
411|1652/08|3 halfpenny white|0|9.00|0
412|1652/09|wheaten|0|9.00|0
