parcode|parish|alias1|alias2|billsgroupbefore1660|billsgroupafter1660
OLJW|St Olave Jewry|||within|within
OLSS|St Olave Silverstreet|||within|within
OLSW|St Olave Southwark|||without|without
PASL|St Pancras Soperlane|St Pancras Pancras-lane||within|within
PASW|St Pauls Shadwel|St Pauls Shadwell|||outparishes
PCOV|St Paul Covent Garden|||outparishes|westminster
PECH|St Peter Cornhil|||within|within
PEPO|St Peter Poor|St Peter Poor in Broadstreet||within|within
PEPW|St Peter Paulswharf|||within|within
PEST|At the Pesthouse|||without|without
PEVI|St Peter ad Vincula||||within
PEVN|St Peter ad Vincula||||outparishes
PEWC|St Peter Cheap|St Peter Cheapside||within|within
ROTH|St Mary Rothorithe|Rothorith Parish|St Mary Rothorith|other|outparishes
SAVS|Saviour Southwark|Saviours Southwark||without|without
SAVY|St Mary Savoy|The Precinct of the Savoy||outparishes|westminster
SEPU|St Sepulchres Parish|St Sepulchres without Newgate||without|without
SHOR|St Leonard Shoreditch|||outparishes|outparishes
SOHA|South Hackney||||outparishes
STEP|St Dunstan Stepney|Stepney Parish||other|outparishes
STPC|St Steven Colemanstreet|||within|within
STPW|St Steven Walbrook|||within|within
SWTH|St Swithin|St Swithin at London-stone||within|within
THAP|St Thomas Apostle|||within|within
THSW|St Thomas Southwark|||without|without
VEDF|St Foster|St Vedast alias Foster||within|within
WEHA|West Hackney||||outparishes
WHCL|St Mary Whitechappel|||outparishes|outparishes
WPST|whereof at St Margaret Westminster Pesthouse|||other|westminster
