weekID|yeartext|year|week|begindate|countsmissing|codmissing|breadmissing|agemissing|countsproblem|codproblem|breadproblem|ageproblem
1645/19|1644-45|1645|19||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/20|1644-45|1645|20||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/21|1644-45|1645|21||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/22|1644-45|1645|22||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/23|1644-45|1645|23||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/24|1644-45|1645|24||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/25|1644-45|1645|25||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/26|1644-45|1645|26||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/27|1644-45|1645|27||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/28|1644-45|1645|28||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/29|1644-45|1645|29||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/30|1644-45|1645|30||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/31|1644-45|1645|31||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/32|1644-45|1645|32||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/33|1644-45|1645|33||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/34|1644-45|1645|34||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/35|1644-45|1645|35||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/36|1644-45|1645|36||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/37|1644-45|1645|37||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/38|1644-45|1645|38||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/39|1644-45|1645|39||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/40|1644-45|1645|40||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/41|1644-45|1645|41||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/42|1644-45|1645|42||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/43|1644-45|1645|43||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/44|1644-45|1645|44||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/45|1644-45|1645|45||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/46|1644-45|1645|46||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/47|1644-45|1645|47||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/48|1644-45|1645|48||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/49|1644-45|1645|49||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/50|1644-45|1645|50||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/51|1644-45|1645|51||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1645/52|1644-45|1645|52||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/01|1645-46|1646|1||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/02|1645-46|1646|2||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/03|1645-46|1646|3||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/04|1645-46|1646|4||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/05|1645-46|1646|5||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/06|1645-46|1646|6||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/07|1645-46|1646|7||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/08|1645-46|1646|8||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/09|1645-46|1646|9||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/10|1645-46|1646|10||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/11|1645-46|1646|11||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/12|1645-46|1646|12||1|1|1|1|no Bill|no Bill|no Bill|no Bill
