Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
40,1669-40-recto,21,September,28,September,Buried in the 13 out-Parishes in Middlesex and Surrey,220
40,1669-40-recto,21,September,28,September,Buried in the 5 Parishes in the City and Liberties of Westminster,64
41,1669-41-recto,28,September,5,October,Buried in the 97 Parishes within the Walls,73
41,1669-41-recto,28,September,5,October,Buried in the 16 Parishes without the Walls,221
41,1669-41-recto,28,September,5,October,Buried in the 13 out-Parishes in Middlesex and Surrey,182
41,1669-41-recto,28,September,5,October,Buried in the 5 Parishes in the City and Liberties of Westminster,77
42,1669-42,5,October,12,October,Buried in the 97 Parishes within the Walls,58
42,1669-42,5,October,12,October,Buried in the 16 Parishes without the Walls,229
42,1669-42,5,October,12,October,Buried in the 13 out-Parishes in Middlesex and Surrey,171
42,1669-42,5,October,12,October,Buried in the 5 Parishes in the City and Liberties of Westminster,60
43,1669-43-recto,12,October,19,October,Buried in the 97 Parishes within the Walls,44
43,1669-43-recto,12,October,19,October,Buried in the 16 Parishes without the Walls,186
43,1669-43-recto,12,October,19,October,Buried in the 13 out-Parishes in Middlesex and Surrey,184
43,1669-43-recto,12,October,19,October,Buried in the 5 Parishes in the City and Liberties of Westminster,59
44,1669-44-recto,19,October,26,October,Buried in the 97 Parishes within the Walls,41
44,1669-44-recto,19,October,26,October,Buried in the 16 Parishes without the Walls,179
44,1669-44-recto,19,October,26,October,Buried in the 13 out-Parishes in Middlesex and Surrey,145
44,1669-44-recto,19,October,26,October,Buried in the 5 Parishes in the City and Liberties of Westminster,56
45,1669-45-recto,26,October,2,November,Buried in the 97 Parishes within the Walls,33
45,1669-45-recto,26,October,2,November,Buried in the 16 Parishes without the Walls,171
45,1669-45-recto,26,October,2,November,Buried in the 13 out-Parishes in Middlesex and Surrey,116
45,1669-45-recto,26,October,2,November,Buried in the 5 Parishes in the City and Liberties of Westminster,52
46,1669-46-recto,2,November,9,November,Buried in the 97 Parishes within the Walls,29
46,1669-46-recto,2,November,9,November,Buried in the 16 Parishes without the Walls,123
46,1669-46-recto,2,November,9,November,Buried in the 13 out-Parishes in Middlesex and Surrey,125
46,1669-46-recto,2,November,9,November,Buried in the 5 Parishes in the City and Liberties of Westminster,57
47,1669-47-recto,9,November,16,November,Buried in the 97 Parishes within the Walls,32
47,1669-47-recto,9,November,16,November,Buried in the 16 Parishes without the Walls,129
47,1669-47-recto,9,November,16,November,Buried in the 13 out-Parishes in Middlesex and Surrey,106
47,1669-47-recto,9,November,16,November,Buried in the 5 Parishes in the City and Liberties of Westminster,39
48,1669-48-recto,16,November,23,November,Buried in the 97 Parishes within the Walls,24
48,1669-48-recto,16,November,23,November,Buried in the 16 Parishes without the Walls,140
48,1669-48-recto,16,November,23,November,Buried in the 13 out-Parishes in Middlesex and Surrey,112
48,1669-48-recto,16,November,23,November,Buried in the 5 Parishes in the City and Liberties of Westminster,59
49,1669-49-recto,23,November,30,November,Buried in the 97 Parishes within the Walls,22
49,1669-49-recto,23,November,30,November,Buried in the 16 Parishes without the Walls,119
49,1669-49-recto,23,November,30,November,Buried in the 13 out-Parishes in Middlesex and Surrey,104
49,1669-49-recto,23,November,30,November,Buried in the 5 Parishes in the City and Liberties of Westminster,53
50,1669-50-recto,30,November,7,December,Buried in the 97 Parishes within the Walls,16
50,1669-50-recto,30,November,7,December,Buried in the 16 Parishes without the Walls,140
50,1669-50-recto,30,November,7,December,Buried in the 13 out-Parishes in Middlesex and Surrey,109
50,1669-50-recto,30,November,7,December,Buried in the 5 Parishes in the City and Liberties of Westminster,57
51,1669-51-recto,7,December,14,December,Buried in the 97 Parishes within the Walls,23
51,1669-51-recto,7,December,14,December,Buried in the 16 Parishes without the Walls,121
51,1669-51-recto,7,December,14,December,Buried in the 13 out-Parishes in Middlesex and Surrey,107
51,1669-51-recto,7,December,14,December,Buried in the 5 Parishes in the City and Liberties of Westminster,45
52,1669-52-recto,14,December,21,December,Buried in the 97 Parishes within the Walls,38
52,1669-52-recto,14,December,21,December,Buried in the 16 Parishes without the Walls,148
52,1669-52-recto,14,December,21,December,Buried in the 13 out-Parishes in Middlesex and Surrey,121
52,1669-52-recto,14,December,21,December,Buried in the 5 Parishes in the City and Liberties of Westminster,84
1,1669-1-recto,21,December,28,December,Buried in the 97 Parishes within the Walls,31
1,1669-1-recto,21,December,28,December,Buried in the 16 Parishes without the Walls,165
1,1669-1-recto,21,December,28,December,Buried in the 13 out-Parishes in Middlesex and Surrey,136
1,1669-1-recto,21,December,28,December,Buried in the 5 Parishes in the City and Liberties of Westminster,80
2,1669-2-recto,28,December,4,January,Buried in the 97 Parishes within the Walls,48
2,1669-2-recto,28,December,4,January,Buried in the 16 Parishes without the Walls,187
2,1669-2-recto,28,December,4,January,Buried in the 13 out-Parishes in Middlesex and Surrey,166
2,1669-2-recto,28,December,4,January,Buried in the 5 Parishes in the City and Liberties of Westminster,90
3,1669-03-recto,4,January,11,January,Buried in the 97 Parishes within the Walls,32
3,1669-03-recto,4,January,11,January,Buried in the 16 Parishes without the Walls,171
3,1669-03-recto,4,January,11,January,Buried in the 13 out-Parishes in Middlesex and Surrey,170
3,1669-03-recto,4,January,11,January,Buried in the 5 Parishes in the City and Liberties of Westminster,87
04,1669-04-recto,11,January,18,January,Buried in the 97 Parishes within the Walls,31
04,1669-04-recto,11,January,18,January,Buried in the 16 Parishes without the Walls,119
04,1669-04-recto,11,January,18,January,Buried in the 13 out-Parishes in Middlesex and Surrey,110
04,1669-04-recto,11,January,18,January,Buried in the 5 Parishes in the City and Liberties of Westminster,58
05,1669-05-recto,18,January,25,January,Buried in the 97 Parishes within the Walls,30
05,1669-05-recto,18,January,25,January,Buried in the 16 Parishes without the Walls,121
05,1669-05-recto,18,January,25,January,Buried in the 13 out-Parishes in Middlesex and Surrey,125
05,1669-05-recto,18,January,25,January,Buried in the 5 Parishes in the City and Liberties of Westminster,45
06,1669-06-recto,25,January,1,February,Buried in the 97 Parishes within the Walls,40
06,1669-06-recto,25,January,1,February,Buried in the 16 Parishes without the Walls,138
06,1669-06-recto,25,January,1,February,Buried in the 13 out-Parishes in Middlesex and Surrey,107
06,1669-06-recto,25,January,1,February,Buried in the 5 Parishes in the City and Liberties of Westminster,71
07,1669-07-recto,1,February,8,February,Buried in the 97 Parishes within the Walls,39
07,1669-07-recto,1,February,8,February,Buried in the 16 Parishes without the Walls,171
07,1669-07-recto,1,February,8,February,Buried in the 13 out-Parishes in Middlesex and Surrey,131
07,1669-07-recto,1,February,8,February,Buried in the 5 Parishes in the City and Liberties of Westminster,71
8,1669-08-recto,8,February,15,February,Buried in the 97 Parishes within the Walls,36
8,1669-08-recto,8,February,15,February,Buried in the 16 Parishes without the Walls,187
8,1669-08-recto,8,February,15,February,Buried in the 13 out-Parishes in Middlesex and Surrey,123
8,1669-08-recto,8,February,15,February,Buried in the 5 Parishes in the City and Liberties of Westminster,100
9,1669-09-recto,15,February,22,February,Buried in the 97 Parishes within the Walls,60
9,1669-09-recto,15,February,22,February,Buried in the 16 Parishes without the Walls,157
9,1669-09-recto,15,February,22,February,Buried in the 13 out-Parishes in Middlesex and Surrey,130
9,1669-09-recto,15,February,22,February,Buried in the 5 Parishes in the City and Liberties of Westminster,80
10,1669-10-recto,22,February,1,March,Buried in the 97 Parishes within the Walls,31
10,1669-10-recto,22,February,1,March,Buried in the 16 Parishes without the Walls,163
10,1669-10-recto,22,February,1,March,Buried in the 13 out-Parishes in Middlesex and Surrey,127
10,1669-10-recto,22,February,1,March,Buried in the 5 Parishes in the City and Liberties of Westminster,71
11,1669-11-recto-form-fill,1,March,8,March,Buried in the 97 Parishes within the Walls,43
11,1669-11-recto-form-fill,1,March,8,March,Buried in the 16 Parishes without the Walls,194
11,1669-11-recto-form-fill,1,March,8,March,Buried in the 13 out-Parishes in Middlesex and Surrey,126
11,1669-11-recto-form-fill,1,March,8,March,Buried in the 5 Parishes in the City and Liberties of Westminster,80
12,1669-12-recto-form-fill,8,March,15,March,Buried in the 97 Parishes within the Walls,27
12,1669-12-recto-form-fill,8,March,15,March,Buried in the 16 Parishes without the Walls,152
12,1669-12-recto-form-fill,8,March,15,March,Buried in the 13 out-Parishes in Middlesex and Surrey,124
12,1669-12-recto-form-fill,8,March,15,March,Buried in the 5 Parishes in the City and Liberties of Westminster,70
