Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
38,1669-38-recto,7,September,14,September,Christened in the 16 Parishes without the Walls,87
38,1669-38-recto,7,September,14,September,Christened in the 13 out-Parishes in Middlesex and Surrey,101
38,1669-38-recto,7,September,14,September,Christened in the 5 Parishes in the City and Liberties of Westminster,51
39,1669-39-recto,14,September,21,September,Christened in the 97 Parishes within the Walls,17
39,1669-39-recto,14,September,21,September,Christened in the 16 Parishes without the Walls,88
39,1669-39-recto,14,September,21,September,Christened in the 13 out-Parishes in Middlesex and Surrey,84
39,1669-39-recto,14,September,21,September,Christened in the 5 Parishes in the City and Liberties of Westminster,59
40,1669-40-recto,21,September,28,September,Christened in the 97 Parishes within the Walls,11
40,1669-40-recto,21,September,28,September,Christened in the 16 Parishes without the Walls,79
40,1669-40-recto,21,September,28,September,Christened in the 13 out-Parishes in Middlesex and Surrey,73
40,1669-40-recto,21,September,28,September,Christened in the 5 Parishes in the City and Liberties of Westminster,44
41,1669-41-recto,28,September,5,October,Christened in the 97 Parishes within the Walls,13
41,1669-41-recto,28,September,5,October,Christened in the 16 Parishes without the Walls,98
41,1669-41-recto,28,September,5,October,Christened in the 13 out-Parishes in Middlesex and Surrey,91
41,1669-41-recto,28,September,5,October,Christened in the 5 Parishes in the City and Liberties of Westminster,62
42,1669-42,5,October,12,October,Christened in the 97 Parishes within the Walls,11
42,1669-42,5,October,12,October,Christened in the 16 Parishes without the Walls,108
42,1669-42,5,October,12,October,Christened in the 13 out-Parishes in Middlesex and Surrey,84
42,1669-42,5,October,12,October,Christened in the 5 Parishes in the City and Liberties of Westminster,46
43,1669-43-recto,12,October,19,October,Christened in the 97 Parishes within the Walls,15
43,1669-43-recto,12,October,19,October,Christened in the 16 Parishes without the Walls,90
43,1669-43-recto,12,October,19,October,Christened in the 13 out-Parishes in Middlesex and Surrey,85
43,1669-43-recto,12,October,19,October,Christened in the 5 Parishes in the City and Liberties of Westminster,59
44,1669-44-recto,19,October,26,October,Christened in the 97 Parishes within the Walls,14
44,1669-44-recto,19,October,26,October,Christened in the 16 Parishes without the Walls,76
44,1669-44-recto,19,October,26,October,Christened in the 13 out-Parishes in Middlesex and Surrey,91
44,1669-44-recto,19,October,26,October,Christened in the 5 Parishes in the City and Liberties of Westminster,46
45,1669-45-recto,26,October,2,November,Christened in the 97 Parishes within the Walls,8
45,1669-45-recto,26,October,2,November,Christened in the 16 Parishes without the Walls,85
45,1669-45-recto,26,October,2,November,Christened in the 13 out-Parishes in Middlesex and Surrey,74
45,1669-45-recto,26,October,2,November,Christened in the 5 Parishes in the City and Liberties of Westminster,45
46,1669-46-recto,2,November,9,November,Christened in the 97 Parishes within the Walls,14
46,1669-46-recto,2,November,9,November,Christened in the 16 Parishes without the Walls,94
46,1669-46-recto,2,November,9,November,Christened in the 13 out-Parishes in Middlesex and Surrey,88
46,1669-46-recto,2,November,9,November,Christened in the 5 Parishes in the City and Liberties of Westminster,41
47,1669-47-recto,9,November,16,November,Christened in the 97 Parishes within the Walls,12
47,1669-47-recto,9,November,16,November,Christened in the 16 Parishes without the Walls,88
47,1669-47-recto,9,November,16,November,Christened in the 13 out-Parishes in Middlesex and Surrey,94
47,1669-47-recto,9,November,16,November,Christened in the 5 Parishes in the City and Liberties of Westminster,49
48,1669-48-recto,16,November,23,November,Christened in the 97 Parishes within the Walls,18
48,1669-48-recto,16,November,23,November,Christened in the 16 Parishes without the Walls,98
48,1669-48-recto,16,November,23,November,Christened in the 13 out-Parishes in Middlesex and Surrey,84
48,1669-48-recto,16,November,23,November,Christened in the 5 Parishes in the City and Liberties of Westminster,39
49,1669-49-recto,23,November,30,November,Christened in the 97 Parishes within the Walls,12
49,1669-49-recto,23,November,30,November,Christened in the 16 Parishes without the Walls,89
49,1669-49-recto,23,November,30,November,Christened in the 13 out-Parishes in Middlesex and Surrey,84
49,1669-49-recto,23,November,30,November,Christened in the 5 Parishes in the City and Liberties of Westminster,45
50,1669-50-recto,30,November,7,December,Christened in the 97 Parishes within the Walls,4
50,1669-50-recto,30,November,7,December,Christened in the 16 Parishes without the Walls,91
50,1669-50-recto,30,November,7,December,Christened in the 13 out-Parishes in Middlesex and Surrey,101
50,1669-50-recto,30,November,7,December,Christened in the 5 Parishes in the City and Liberties of Westminster,43
51,1669-51-recto,7,December,14,December,Christened in the 97 Parishes within the Walls,14
51,1669-51-recto,7,December,14,December,Christened in the 16 Parishes without the Walls,100
51,1669-51-recto,7,December,14,December,Christened in the 13 out-Parishes in Middlesex and Surrey,80
51,1669-51-recto,7,December,14,December,Christened in the 5 Parishes in the City and Liberties of Westminster,51
52,1669-52-recto,14,December,21,December,Christened in the 97 Parishes within the Walls,12
52,1669-52-recto,14,December,21,December,Christened in the 16 Parishes without the Walls,95
52,1669-52-recto,14,December,21,December,Christened in the 13 out-Parishes in Middlesex and Surrey,72
52,1669-52-recto,14,December,21,December,Christened in the 5 Parishes in the City and Liberties of Westminster,33
1,1669-1-recto,21,December,28,December,Christened in the 97 Parishes within the Walls,11
1,1669-1-recto,21,December,28,December,Christened in the 16 Parishes without the Walls,81
1,1669-1-recto,21,December,28,December,Christened in the 13 out-Parishes in Middlesex and Surrey,63
1,1669-1-recto,21,December,28,December,Christened in the 5 Parishes in the City and Liberties of Westminster,45
2,1669-2-recto,28,December,4,January,Christened in the 97 Parishes within the Walls,16
2,1669-2-recto,28,December,4,January,Christened in the 16 Parishes without the Walls,91
2,1669-2-recto,28,December,4,January,Christened in the 13 out-Parishes in Middlesex and Surrey,61
2,1669-2-recto,28,December,4,January,Christened in the 5 Parishes in the City and Liberties of Westminster,43
3,1669-03-recto,4,January,11,January,Christened in the 97 Parishes within the Walls,16
3,1669-03-recto,4,January,11,January,Christened in the 16 Parishes without the Walls,99
3,1669-03-recto,4,January,11,January,Christened in the 13 out-Parishes in Middlesex and Surrey,103
3,1669-03-recto,4,January,11,January,Christened in the 5 Parishes in the City and Liberties of Westminster,49
04,1669-04-recto,11,January,18,January,Christened in the 97 Parishes within the Walls,15
04,1669-04-recto,11,January,18,January,Christened in the 16 Parishes without the Walls,77
04,1669-04-recto,11,January,18,January,Christened in the 13 out-Parishes in Middlesex and Surrey,78
04,1669-04-recto,11,January,18,January,Christened in the 5 Parishes in the City and Liberties of Westminster,57
05,1669-05-recto,18,January,25,January,Christened in the 97 Parishes within the Walls,8
05,1669-05-recto,18,January,25,January,Christened in the 16 Parishes without the Walls,104
05,1669-05-recto,18,January,25,January,Christened in the 13 out-Parishes in Middlesex and Surrey,76
05,1669-05-recto,18,January,25,January,Christened in the 5 Parishes in the City and Liberties of Westminster,46
06,1669-06-recto,25,January,1,February,Christened in the 97 Parishes within the Walls,14
06,1669-06-recto,25,January,1,February,Christened in the 16 Parishes without the Walls,102
06,1669-06-recto,25,January,1,February,Christened in the 13 out-Parishes in Middlesex and Surrey,90
06,1669-06-recto,25,January,1,February,Christened in the 5 Parishes in the City and Liberties of Westminster,52
07,1669-07-recto,1,February,8,February,Christened in the 97 Parishes within the Walls,23
07,1669-07-recto,1,February,8,February,Christened in the 16 Parishes without the Walls,89
07,1669-07-recto,1,February,8,February,Christened in the 13 out-Parishes in Middlesex and Surrey,87
07,1669-07-recto,1,February,8,February,Christened in the 5 Parishes in the City and Liberties of Westminster,50
8,1669-08-recto,8,February,15,February,Christened in the 97 Parishes within the Walls,9
8,1669-08-recto,8,February,15,February,Christened in the 16 Parishes without the Walls,107
8,1669-08-recto,8,February,15,February,Christened in the 13 out-Parishes in Middlesex and Surrey,90
8,1669-08-recto,8,February,15,February,Christened in the 5 Parishes in the City and Liberties of Westminster,47
9,1669-09-recto,15,February,22,February,Christened in the 97 Parishes within the Walls,14
9,1669-09-recto,15,February,22,February,Christened in the 16 Parishes without the Walls,100
9,1669-09-recto,15,February,22,February,Christened in the 13 out-Parishes in Middlesex and Surrey,90
9,1669-09-recto,15,February,22,February,Christened in the 5 Parishes in the City and Liberties of Westminster,53
10,1669-10-recto,22,February,1,March,Christened in the 97 Parishes within the Walls,12
10,1669-10-recto,22,February,1,March,Christened in the 16 Parishes without the Walls,83
10,1669-10-recto,22,February,1,March,Christened in the 13 out-Parishes in Middlesex and Surrey,109
10,1669-10-recto,22,February,1,March,Christened in the 5 Parishes in the City and Liberties of Westminster,61
11,1669-11-recto-form-fill,1,March,8,March,Christened in the 97 Parishes within the Walls,20
11,1669-11-recto-form-fill,1,March,8,March,Christened in the 16 Parishes without the Walls,103
11,1669-11-recto-form-fill,1,March,8,March,Christened in the 13 out-Parishes in Middlesex and Surrey,101
11,1669-11-recto-form-fill,1,March,8,March,Christened in the 5 Parishes in the City and Liberties of Westminster,76
12,1669-12-recto-form-fill,8,March,15,March,Christened in the 97 Parishes within the Walls,20
12,1669-12-recto-form-fill,8,March,15,March,Christened in the 16 Parishes without the Walls,109
12,1669-12-recto-form-fill,8,March,15,March,Christened in the 13 out-Parishes in Middlesex and Surrey,93
12,1669-12-recto-form-fill,8,March,15,March,Christened in the 5 Parishes in the City and Liberties of Westminster,60
13,1669-13-recto-form-fill,15,March,22,March,Christened in the 97 Parishes within the Walls,11
13,1669-13-recto-form-fill,15,March,22,March,Christened in the 16 Parishes without the Walls,87
13,1669-13-recto-form-fill,15,March,22,March,Christened in the 13 out-Parishes in Middlesex and Surrey,83
13,1669-13-recto-form-fill,15,March,22,March,Christened in the 5 Parishes in the City and Liberties of Westminster,59
14,1670-14-recto,22,March,29,March,Christened in the 97 Parishes within the Walls,19
14,1670-14-recto,22,March,29,March,Christened in the 16 Parishes without the Walls,88
14,1670-14-recto,22,March,29,March,Christened in the 13 out-Parishes in Middlesex and Surrey,93
14,1670-14-recto,22,March,29,March,Christened in the 5 Parishes in the City and Liberties of Westminster,51
15,1670-15-recto,29,March,5,April,Christened in the 97 Parishes within the Walls,20
15,1670-15-recto,29,March,5,April,Christened in the 16 Parishes without the Walls,75
15,1670-15-recto,29,March,5,April,Christened in the 13 out-Parishes in Middlesex and Surrey,77
15,1670-15-recto,29,March,5,April,Christened in the 5 Parishes in the City and Liberties of Westminster,39
