Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Unique Identifier,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,Start Year,is_missing,is_illegible,End Day,is_missing,is_illegible,End Month,is_missing,is_illegible,End Year,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Alhallows Breadstreet - Buried,is_missing,is_illegible,Alhallows Great- Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Maudlin Milkstreet,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras lane - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin - Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,Christened in the 97 Parishes within the Walls,is_missing,is_illegible,Buried in the 97 Parishes within the Walls,is_missing,is_illegible,Plague in the 97 Parishes within the Walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark - Buried,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the Parishes without the Walls,is_missing,is_illegible,Buried in the Parishes without the Walls,is_missing,is_illegible,Plague in the Parishes without the Walls,is_missing,is_illegible,St Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St George in Middlesex - Buried,is_missing,is_illegible,St George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St Luke in Middlesex - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the 13 out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St John the Evangelist - Buried,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary le Strand - Buried,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,Christened in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible
3924,267,7696,1,Laxton-1710-1711-GeneralBill,,,12,,,December,,,1710,,,11,,,December,,,1711,,,21,,,100,,,13,,,47,,,1,,,12,,,15,,,31,,,45,,,30,,,6,,,33,,,52,,,34,,,166,,,13,,,19,,,19,,,18,,,5,,,38,,,1,,1,9,,,108,,,10,,,10,,,29,,,57,,,20,,,22,,,27,,,6,,,13,,,66,,,34,,,21,,,40,,,17,,,4,,,17,,,40,,,64,,,44,,,22,,,8,,,30,,,31,,,29,,,6,,,,,,15,,,9,,,23,,,12,,,20,,,34,,,23,,,22,,,16,,,19,,,3,,,1,,,23,,,,,,21,,,8,,,32,,,22,,,,,,16,,,13,,,23,,,13,,,19,,,29,,,9,,,25,,,11,,,12,,,17,,,4,,,8,,,3,,,36,,,5,,,26,,,7,,,8,,,36,,,12,,,31,,,92,,,27,,,24,,,10,,,20,,,29,,,1719,,,2371,,,,1,,977,,,64,,,36,,,162,,,536,,,465,,,21,,,339,,,180,,,363,,,1169,,,,1,,712,,,571,,,611,,,133,,,16,,,,,,4683,,,6355,,,,1,,,1,,123,,,,1,,1863,,,,1,,,1,,,1,,1205,,,342,,,120,,,294,,,138,,,465,,,,1,,146,,,268,,,376,,,174,,,154,,,645,,,,1,,337,,,5042,,,6680,,,,1,,397,,,486,,,,1,,931,,,,1,,874,,,1378,,,,1,,168,,,211,,,3262,,,4427,,,,1,
3925,268,7709,1,Laxton-1711-1712-GeneralBill,,,11,,,December,,,1711,,,16,,,December,,,1712,,,27,,,91,,,15,,,37,,,7,,,15,,,17,,,43,,1,58,,,30,,,1,,,29,,,42,,,28,,,128,,,16,,,11,,,19,,,13,,,8,,,41,,,2,,1,12,,,130,,,9,,,18,,,27,,,74,,,21,,,33,,,25,,,3,,,14,,,45,,,24,,1,23,,,32,,,29,,,5,,,25,,,41,,,49,,,41,,,15,,1,7,,,29,,,33,,,31,,,2,,,,,,13,,,8,,,26,,,11,,,10,,,32,,,26,,,25,,,28,,,24,,,2,,,2,,,48,,,,,,22,,1,11,,1,52,,,20,,,,,,27,,,9,,,27,,,33,,,19,,,46,,,11,,,15,,,8,,,11,,1,18,,,5,,,10,,,9,,,31,,,11,,,31,,,4,,,4,,,28,,,15,,,29,,,110,,,16,,,23,,,10,,,19,,,34,,,1859,,,2438,,,,1,,975,,1,64,,,26,,,193,,1,550,,,493,,,30,,,325,,,189,,,442,,,1276,,,,1,,784,,,634,,,555,,,134,,1,25,,,,,,5045,,,6695,,,,1,,,1,,158,,1,,1,,2153,,,,1,,,1,,,1,,1303,,1,371,,,118,,,322,,,164,,,531,,,,1,,125,,,304,,1,416,,,180,,,197,,,705,,,,1,,427,,,5327,,,7474,,,,1,,403,,,526,,,,1,,1011,,,,1,,891,,,1413,,1,,1,,125,,,222,,1,3429,,,4591,,,,1,
3926,269,7710,1,Laxton-1712-1713-GeneralBill,,,16,,,December,,,1712,,,15,,,December,,,1713,,,17,,,97,,,18,,,55,,,3,,,7,,,11,,,24,,,45,,,36,,,6,,,35,,,50,,,41,,,110,,,15,,,14,,,19,,,15,,,5,,,31,,,2,,,7,,,135,,,14,,,15,,,17,,,85,,,21,,,20,,,38,,,6,,,13,,,52,,,34,,,21,,,50,,,11,,,1,,,13,,,57,,,54,,,57,,,15,,,7,,,35,,,36,,,22,,,4,,,,,,10,,,11,,,38,,,13,,,15,,,40,,,24,,,32,,,25,,,32,,,10,,,2,,,37,,,,,,27,,,14,,,42,,,18,,,,,,20,,,6,,,33,,,26,,,29,,,37,,,6,,,17,,,9,,,3,,,19,,,2,,,13,,,7,,,42,,,12,,,20,,,8,,,12,,,38,,,20,,,30,,,84,,,13,,,24,,,15,,,20,,,21,,,1783,,,2481,,,,1,,988,,,59,,,42,,,196,,,611,,,424,,,19,,,298,,,185,,,445,,,1218,,,,1,,779,,,618,,,577,,,156,,,22,,,,,,5251,,,6637,,,,1,,,1,,139,,,,1,,1890,,,,1,,,1,,,1,,1424,,,405,,,130,,,298,,,197,,,499,,,,1,,136,,,327,,,413,,,202,,,202,,,706,,,,1,,391,,,5549,,,7359,,,,1,,371,,,525,,,,1,,1067,,,,1,,838,,,1495,,,,1,,113,,,171,,,3344,,,4580,,,,1,
3927,270,7712,1,Laxton-1713-1714-GeneralBill,,,15,,,December,,,1713,,,14,,,December,,,1714,,,31,,,94,,,22,,,63,,,,,,18,,,15,,,22,,,41,,,36,,,,,,61,,,66,,,50,,,155,,,17,,,15,,,14,,,21,,,12,,,52,,,1,,,10,,,158,,,23,,,17,,,33,,,80,,,16,,,27,,,24,,,9,,,10,,,75,,,43,,,41,,,44,,,28,,,2,,,21,,,76,,,35,,,67,,,19,,,13,,,33,,,36,,,36,,,4,,,,,,19,,,13,,,35,,,13,,,19,,,56,,,33,,,28,,,27,,,37,,,7,,,,,,57,,,,,,39,,,18,,,35,,,45,,,1,,,22,,,12,,,22,,,25,,,23,,,32,,,19,,,21,,,6,,,15,,,42,,,1,,,12,,,15,,,60,,,4,,,38,,,2,,,15,,,28,,,22,,,34,,,105,,,17,,,17,,,30,,,26,,,28,,,1810,,,2961,,,,1,,1274,,,74,,,31,,,234,,,796,,,607,,,13,,,420,,,216,,,564,,,1491,,,,1,,863,,,714,,,718,,,161,,,24,,,,,,5691,,,8200,,,,1,,,1,,190,,,,1,,2646,,,,1,,,1,,,1,,1743,,,502,,,179,,,346,,,208,,,662,,,,1,,194,,,336,,,504,,,242,,,239,,,952,,,,1,,486,,,6123,,,9429,,,,1,,490,,,576,,,,1,,1546,,,,1,,1193,,,1787,,,,1,,145,,,242,,,3871,,,5979,,,,1,
3928,271,7697,1,Laxton-1714-1715-GeneralBill,,,14,,,December,,,1714,,,13,,,December,,,1715,,,16,,,92,,,17,,,54,,,,,,20,,,24,,,29,,,40,,,32,,,2,,,52,,,44,,,37,,,110,,,10,,,15,,,15,,,20,,,21,,,30,,,1,,,13,,,117,,,18,,,11,,,31,,,61,,,17,,,28,,,44,,,6,,,8,,,75,,,30,,,19,,,39,,,24,,,2,,,21,,,44,,,34,,,43,,,13,,,8,,,35,,,33,,,30,,,4,,,,,,15,,,10,,,20,,,15,,,23,,,46,,,32,,,32,,,29,,,32,,,5,,,,,,34,,,,,,34,,,17,,,27,,,35,,,,,,10,,,10,,,22,,,18,,,46,,,38,,,7,,,8,,,14,,,12,,,23,,,1,,,20,,,11,,,32,,,8,,,26,,,,,,13,,,34,,,23,,,26,,,89,,,14,,,24,,,32,,,12,,,25,,,1828,,,2493,,,,1,,1077,,,61,,,30,,,227,,,674,,,573,,,18,,,326,,,193,,,503,,,1339,,,,1,,696,,,677,,,670,,,170,,,25,,,,,,5704,,,7259,,,,1,,,1,,165,,,,1,,2110,,,,1,,,1,,,1,,1452,,,419,,,136,,,251,,,168,,,575,,,,1,,160,,,284,,,415,,,275,,1,214,,,794,,,,1,,358,,,5862,,,7780,,,,1,,420,,,464,,,,1,,1165,,,,1,,941,,,1415,,,,1,,113,,,183,,,3840,,,4700,,,,1,
3929,272,7700,1,Laxton-1715-1716-GeneralBill,,,13,,,December,,,1715,,,11,,,December,,,1716,,,27,,,115,,,15,,,76,,,,,,8,,,9,,,19,,,65,,,40,,,5,,,54,,,83,,,50,,,169,,,11,,,16,,,20,,,18,,,14,,,50,,,,,,10,,,124,,,27,,,14,,,31,,,57,,,25,,,28,,,28,,,4,,,14,,,72,,,25,,,21,,,28,,,19,,,4,,,26,,,49,,,59,,,45,,,14,,,9,,,35,,,34,,,23,,,17,,,,,,15,,,7,,,46,,,6,,,24,,,38,,,20,,,19,,,33,,,29,,,6,,,,,,41,,,,,,43,,,11,,,40,,,23,,,,,,11,,,13,,,25,,,25,,,24,,,35,,,17,,,15,,,19,,,18,,,26,,,,,,22,,,7,,,41,,,7,,,34,,,2,,,7,,,33,,,28,,,26,,,90,,,13,,,19,,,23,,,20,,,24,,,1884,,,2725,,,,1,,1398,,,66,,,39,,,216,,,756,,,503,,,23,,,365,,,193,,,497,,,1343,,,,1,,762,,,793,,,723,,,169,,,14,,,,,,5742,,,7860,,,,1,,,1,,194,,,,1,,2259,,,,1,,,1,,,1,,1606,,,562,,,141,,,284,,,181,,,578,,,,1,,159,,,327,,,411,,,304,,,209,,,809,,,,1,,405,,,5956,,,8429,,,,1,,502,,,501,,,,1,,308,,,,1,,1126,,,1626,,,,1,,118,,,241,,,3839,,,5422,,,,1,
3930,273,7701,1,Laxton-1716-1717-GeneralBill,,,11,,,December,,,1716,,,17,,,December,,,1717,,,27,,,110,,,19,,,56,,1,,,,28,,,16,,,31,,,57,,,33,,,3,,,57,,,48,,,45,,,131,,,13,,,14,,,17,,,23,,,9,,,41,,,,,,15,,,123,,,25,,,15,,,34,,,57,,,15,,,22,,,30,,,10,,,11,,,53,,,41,,,26,,,40,,,22,,,2,,,21,,,52,,,31,,,53,,,17,,,7,,,20,,,35,,,28,,,6,,,3,,,16,,,15,,,50,,,14,,,15,,,41,,,28,,,33,,,22,,,37,,,6,,,,,,36,,,,,,22,,,11,,,44,,,27,,,,,,12,,,15,,,22,,,13,,,18,,,25,,,5,,,13,,,9,,,16,,,36,,,1,,,24,,,10,,,50,,,8,,,29,,,,,,8,,,32,,,21,,,26,,,86,,,17,,,21,,,22,,,16,,,28,,,2031,,,2592,,,,1,,1165,,,57,,,33,,,200,,,817,,,521,,,23,,,309,,,208,,,485,,,1367,,,,1,,817,,,628,,,647,,,181,,,21,,,,,,6211,,,7479,,,,1,,,1,,202,,,,1,,2369,,,,1,,,1,,,1,,1347,,,422,,,165,,,327,,,206,,1,643,,,,1,,178,,,325,,,458,,,175,,,214,,,889,,,,1,,450,,,6172,,,8370,,1,,1,,447,,,419,,,,1,,1159,,,,1,,1006,,,1605,,,,1,,113,,,256,,,4061,,,5005,,,,1,
3931,274,7713,1,Laxton-1717-1718-GeneralBill,,,17,,,December,,,1717,,,16,,,December,,,1718,,,31,,,95,,,10,,,62,,,,,,16,,,16,,,34,,,79,,,37,,,5,,,48,,,59,,,54,,,169,,,12,,,13,,,27,,,23,,,19,,,37,,,4,,,12,,,151,,,19,,,10,,,30,,,63,,,20,,,24,,,29,,,8,,,7,,,70,,,31,,,24,,,40,,,17,,,1,,,27,,,46,,,57,,,58,,,21,,,6,,,25,,,51,,,27,,,14,,,,,,17,,,10,,,50,,,11,,,15,,,49,,,33,,,29,,,33,,,30,,,7,,,1,,,37,,,,,,30,,,9,,,22,,,24,,,,,,14,,1,9,,,29,,,28,,,32,,,34,,,7,,,17,,,16,,,10,,,34,,,2,,,24,,,6,,,42,,,7,,,36,,,,,,6,,,39,,,18,,,20,,,99,,,18,,,19,,,13,,,12,,,23,,,1899,,,2759,,,,1,,1348,,,66,,,35,,,258,,,871,,,586,,,26,,,345,,,242,,,585,,,1559,,,,1,,819,,,765,,,751,,,169,,,12,,,,,,6166,,,8437,,,,1,,,1,,229,,,,1,,2458,,,,1,,,1,,,1,,1789,,,535,,,202,,,314,,,196,,,728,,,,1,,219,,,484,,,477,,,305,,,215,,,891,,,,1,,443,,,6333,,,9485,,,,1,,524,,,464,,,,1,,1336,,,,1,,1245,,,1860,,,,1,,162,,,251,,,3909,,,5842,,,,1,
3932,275,7970,1,Laxton-1718-1719-GeneralBill,,,16,,,December,,,1718,,,15,,,December,,,1719,,,28,,,101,,,16,,,74,,,1,,,13,,,21,,,38,,,70,,,38,,,10,,,38,,,61,,,51,,,145,,,16,,,13,,,23,,,26,,,7,,,50,,,1,,,12,,,165,,,21,,,14,,,32,,,58,,,24,,,22,,,36,,,9,,,12,,,67,,,31,,,21,,,41,,,23,,,4,,,27,,,60,,,49,,,51,,,20,,,16,,,19,,,43,,,37,,,8,,,,,,16,,,14,,,34,,,25,,,13,,,52,,,23,,,34,,,28,,,30,,,7,,,,,,40,,,,,,34,,,17,,,42,,1,23,,,,,,18,,,6,,,35,,,10,,,24,,,39,,,15,,,23,,,7,,,14,,,24,,,4,,,17,,,16,,,44,,,14,,,37,,,1,,,6,,,40,,,14,,,37,,,120,,,17,,,21,,,20,,,24,,,28,,,1917,,,2870,,,,1,,1357,,,72,,,36,,,247,,,964,,,601,,,30,,,348,,,237,,,647,,,1589,,,,1,,1002,,,881,,,746,,,216,,,26,,,,,,6188,,,8999,,,,1,,,1,,213,,,,1,,2750,,,,1,,,1,,,1,,1737,,,510,,,177,,,400,,,259,,,849,,,,1,,209,,,515,,,638,,,377,,,343,,,1016,,,,1,,508,,,6421,,,10501,,,,1,,491,,,523,,,,1,,1349,,,,1,,1319,,,1956,,,,1,,110,,,229,,,3887,,,5977,,,,1,
3969,276,7826,1,Laxton-1719-1720-GeneralBill,,,15,,,December,,,1719,,,13,,,December,,,1720,,,34,,,105,,,11,,,53,,,,,,17,,,13,,,32,,,69,,,36,,1,17,,,51,,,56,,,29,,,126,,,9,,,16,,,24,,,17,,,11,,,36,,,3,,,10,,,186,,,15,,,11,,,31,,,72,,,17,,1,26,,,35,,,9,,,14,,,69,,,31,,,23,,,34,,,18,,,2,,,16,,,51,,,59,,,42,,,12,,,5,,1,37,,,43,,,23,,,5,,,,,,20,,,10,,,46,,,8,,,11,,,29,,,17,,,41,,,31,,,24,,1,2,,,,,,29,,,,,,31,,,4,,,37,,,17,,,,,,5,,,8,,,31,,,19,,,30,,,35,,,11,,,17,,,16,,,16,,,34,,,2,,,22,,,15,,,47,,,11,,,33,,,2,,,5,,,38,,,30,,,28,,,99,,,17,,,25,,,24,,,13,,,35,,,1898,,,2686,,,,1,,1296,,,60,,,24,,,208,,,819,,,516,,,17,,1,357,,,230,,,499,,,1481,,,,1,,786,,,771,,,728,,,250,,,27,,,,,,5931,,,8069,,,,1,,,1,,263,,,,1,,2257,,,,1,,,1,,,1,,1747,,,413,,,173,,,313,,,169,,1,664,,,,1,,207,,,454,,,484,,,322,,,229,,,884,,,,1,,442,,,5901,,1,9021,,,,1,,434,,,522,,,,1,,1196,,,,1,,1210,,,1927,,,,1,,146,,,243,,,3749,,,5678,,,,1,
9688,2987,7873,1,Laxton-1720-1721-GeneralBill,,,13,,,December,,,1720,,,12,,,December,,,1721,,,31,,,76,,,14,,,57,,,,,,20,,,12,,,26,,,64,,,23,,,15,,,43,,,47,,,40,,,122,,,14,,,24,,,19,,,24,,,16,,,36,,,1,,,12,,,149,,,22,,,18,,,25,,,84,,,14,,,21,,,38,,,7,,,16,,,57,,,35,,,25,,,39,,,15,,,5,,,25,,,49,,,63,,,43,,,14,,,7,,,21,,,42,,,30,,,11,,,,,,9,,,10,,,29,,,18,,,15,,,34,,,25,,,31,,,41,,,20,,,5,,,,,,33,,,,,,30,,,12,,,22,,,16,,,,,,12,,,10,,,30,,,26,,,32,,,42,,,5,,,14,,,13,,,7,,,17,,,5,,,14,,,14,,,45,,,5,,,48,,,3,,,7,,,38,,,35,,,15,,,96,,,17,,,20,,,11,,,19,,,27,,,1871,,,2588,,,,1,,1221,,,52,,,30,,,191,,,816,,,544,,,18,,,300,,,201,,,552,,,1419,,,,1,,929,,,775,,,681,,,240,,,25,,,,,,5944,,,8000,,,,1,,,1,,222,,,,1,,2543,,,,1,,,1,,,1,,1098,,,458,,,172,,,348,,,194,,,697,,,,1,,201,,,482,,,458,,,350,,,278,,,937,,,,1,,526,,,6462,,,9564,,,,1,,409,,,561,,,,1,,1379,,,,1,,1278,,,1969,,,141,,,,1,,253,,,4093,,,5990,,,,1,
9690,2988,7912,1,Laxton-1721-1722-GeneralBill,,,12,,,December,,,1721,,,11,,,December,,,1722,,,26,,,82,,,12,,,42,,,,,,17,,,20,,,24,,,39,,,39,,,9,,,48,,,46,,,48,,,158,,,8,,,14,,,18,,,14,,,14,,,56,,,,,,6,,,130,,,17,,,16,,,30,,,62,,,24,,,24,,,38,,,7,,,17,,,65,,,33,,,34,,,39,,,29,,,7,,,20,,,41,,,43,,,52,,,27,,,8,,,28,,,52,,,33,,,8,,,,,,16,,,9,,,31,,,11,,,8,,,36,,,27,,,26,,,18,,,25,,,9,,,,,,23,,,,,,36,,,11,,,34,,,24,,,,,,16,,,12,,,27,,,25,,,34,,,29,,,10,,,16,,,11,,,12,,,35,,,1,,,18,,,11,,,34,,,6,,,32,,,6,,,3,,,33,,,28,,,17,,,94,,,13,,,15,,,15,,,12,,,22,,,1802,,,2555,,,,,1,1219,,,70,,,43,,,235,,,847,,,648,,,29,,,331,,,213,,,536,,,1571,,,,,1,904,,,788,,,786,,,156,,,30,,,,,,6280,,,8406,,,,1,,,1,,242,,,,1,,2491,,,,1,,,1,,,1,,1528,,,510,,,163,,,275,,,209,,,757,,,,1,,171,,,404,,,483,,,277,,,286,,,943,,,,1,,412,,,6352,,,9151,,,,1,,354,,,509,,,,1,,1281,,,,1,,1158,,,1910,,,,1,,171,,,255,,,3905,,,5638,,,,1,
9692,2989,7913,1,Laxton-1722-1723-GeneralBill,,,11,,,December,,,1722,,,10,,,December,,,1723,,,36,,,97,,,12,,,71,,,,,,19,,,20,,,20,,,60,,,42,,,19,,,50,,,67,,,43,,,138,,,9,,,18,,,17,,,15,,,19,,,46,,,1,,,5,,,177,,,14,,,16,,,23,,,92,,,28,,,25,,,36,,,9,,,17,,,56,,,31,,,37,,,39,,,27,,,11,,,23,,,59,,,73,,,50,,,26,,,8,,,29,,,35,,,33,,,8,,,,,,14,,,10,,,33,,,14,,,22,,,42,,,25,,,21,,,21,,,26,,,5,,,,,,43,,,1,,,30,,,13,,,51,,,20,,,1,,,17,,,1,,,32,,,29,,,39,,,35,,,17,,,25,,,21,,,12,,,28,,,4,,,18,,,13,,,55,,,11,,,36,,,1,,,9,,,41,,,26,,,19,,,110,,,15,,,20,,,22,,,15,,,27,,,1868,,,2896,,,,1,,1315,,,56,,,33,,,218,,,988,,,621,,,34,,,290,,,236,,,574,,,1865,,,,1,,1016,,,971,,,887,,,228,,,46,,,,,,6643,,,9378,,,,1,,,1,,248,,,,1,,2965,,,,1,,,1,,,1,,1710,,,555,,,204,,,356,,,234,,,824,,,,1,,234,,,515,,,583,,,322,,,284,,,1083,,,,1,,553,,,6778,,,10670,,,,1,,402,,,549,,,,1,,1415,,,,1,,1356,,,2074,,,,1,,177,,,280,,,3914,,,6253,,,,1,
