"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position","Unique Identifier",is_missing,is_illegible,"Start day",is_missing,is_illegible,"Start month",is_missing,is_illegible,"Start year",is_missing,is_illegible,"End day",is_missing,is_illegible,"End month",is_missing,is_illegible,"End year",is_missing,is_illegible,"St Alban Woodstreet",is_missing,is_illegible,"Alhallows Barking",is_missing,is_illegible,"Alhallows Breadstreet",is_missing,is_illegible,"Alhallows Great",is_missing,is_illegible,"Alhallows Honylane",is_missing,is_illegible,"Alhallows Lesse",is_missing,is_illegible,"Alhallows Lumbardstreet",is_missing,is_illegible,"Alhallows Stayning",is_missing,is_illegible,"Alhallows the Wall",is_missing,is_illegible,"St Alphage",is_missing,is_illegible,"St Andrew Hubbard",is_missing,is_illegible,"St Andrew Undershaft",is_missing,is_illegible,"St Andrew Wardrobe",is_missing,is_illegible,"St Ann Aldersgate",is_missing,is_illegible,"St Ann Blackfryers",is_missing,is_illegible,"St Antholins Parish",is_missing,is_illegible,"St Austins Parish",is_missing,is_illegible,"St Bartholomew Exchange",is_missing,is_illegible,"St Bennet Fynck",is_missing,is_illegible,"St Bennet Gracechurch",is_missing,is_illegible,"St Bennet Paulswharf",is_missing,is_illegible,"St Bennet Sherehog",is_missing,is_illegible,"St Botolph Billingsgate",is_missing,is_illegible,"Christ Church",is_missing,is_illegible,"St Christophers",is_missing,is_illegible,"St Clement Eastcheap",is_missing,is_illegible,"St Dionis Backchurch",is_missing,is_illegible,"St Dunstan East",is_missing,is_illegible,"St Edmund Lumbardstr.",is_missing,is_illegible,"St Ethelborough",is_missing,is_illegible,"St Faith",is_missing,is_illegible,"St Foster",is_missing,is_illegible,"St Gabriel Fenchurch",is_missing,is_illegible,"St George Botolphlane",is_missing,is_illegible,"St Gregory by St Pauls",is_missing,is_illegible,"St Hellen",is_missing,is_illegible,"St James Dukes place",is_missing,is_illegible,"St James Garlickhithe",is_missing,is_illegible,"St John Baptist",is_missing,is_illegible,"St John Evangelist",is_missing,is_illegible,"St John Zachary",is_missing,is_illegible,"St Katharine Coleman",is_missing,is_illegible,"St Katharine Creechurch",is_missing,is_illegible,"St Lawrence Jewry",is_missing,is_illegible,"St Lawrence Pountney",is_missing,is_illegible,"St Leonard Eastcheap",is_missing,is_illegible,"St Leonard Fosterlane",is_missing,is_illegible,"St Magnus Parish",is_missing,is_illegible,"St Margaret Lothbury",is_missing,is_illegible,"St Margaret Moses",is_missing,is_illegible,"St Margaret Newfishstreet",is_missing,is_illegible,"St Margaret Pattons",is_missing,is_illegible,"St Mary Abchurch",is_missing,is_illegible,"St Mary Aldermanbury",is_missing,is_illegible,"St Mary Aldermary",is_missing,is_illegible,"St Mary le Bow",is_missing,is_illegible,"St Mary Bothaw",is_missing,is_illegible,"St Mary Colechurch",is_missing,is_illegible,"St Mary Hill",is_missing,is_illegible,"St Mary Mounthaw",is_missing,is_illegible,"St Mary Sommerset",is_missing,is_illegible,"St Mary Stayning",is_missing,is_illegible,"St Mary Woolchurch",is_missing,is_illegible,"St Mary Woolnoth",is_missing,is_illegible,"St Martin Iremongerlane",is_missing,is_illegible,"St Martin Ludgate",is_missing,is_illegible,"St Martin Orgars",is_missing,is_illegible,"St Martin Outwich",is_missing,is_illegible,"St Martin Vintrey",is_missing,is_illegible,"St Matthew Fridaystreet",is_missing,is_illegible,"St Maudlin Milkstreet",is_missing,is_illegible,"St Maudlin Oldfishstreet",is_missing,is_illegible,"St Michael Bassishaw",is_missing,is_illegible,"St Michael Cornhil",is_missing,is_illegible,"St Michael Crookedlane",is_missing,is_illegible,"St Michael Queenhithe",is_missing,is_illegible,"St Michael Quern",is_missing,is_illegible,"St Michael Royal",is_missing,is_illegible,"St Michael Woodstreet",is_missing,is_illegible,"St Mildred Breadstreet",is_missing,is_illegible,"St Mildred Poultrey",is_missing,is_illegible,"St Nicholas Acons",is_missing,is_illegible,"St Nicholas Coleabby",is_missing,is_illegible,"St Nicholas Olaves",is_missing,is_illegible,"St Olave Hartstreet",is_missing,is_illegible,"St Olave Jewry",is_missing,is_illegible,"St Olave Silverstreet",is_missing,is_illegible,"St Pancras ",is_missing,is_illegible,"St Peter Ad Vincula",is_missing,is_illegible,"St Peter Cheap",is_missing,is_illegible,"St Peter Cornhil",is_missing,is_illegible,"St Peter Paulswharf",is_missing,is_illegible,"St Peter Poor",is_missing,is_illegible,"St Steven Colemanstreet",is_missing,is_illegible,"St Steven Walbrook",is_missing,is_illegible,"St Swithin",is_missing,is_illegible,"St Thomas Apostles",is_missing,is_illegible,"Trinity Parish",is_missing,is_illegible,"Christened in the 97 parishes within the walls",is_missing,is_illegible,"Buried in the 97 parishes within the walls",is_missing,is_illegible,"Plague in the 97 parishes within the walls",is_missing,is_illegible,"St Andrew Holborn",is_missing,is_illegible,"St Bartholomew Great",is_missing,is_illegible,"St Bartholomew Less",is_missing,is_illegible,"St Botolph Aldersgate",is_missing,is_illegible,"St Botolph Aldgate",is_missing,is_illegible,"St Botolph Bishopsgate",is_missing,is_illegible,"Bridewel Precinct",is_missing,is_illegible,"St Bridget",is_missing,is_illegible,"St John Southwark",is_missing,is_illegible,"St Dunstan West",is_missing,is_illegible,"St George Southwark",is_missing,is_illegible,"St Giles Cripplegate",is_missing,is_illegible,"St Olave Southwark",is_missing,is_illegible,"Saviours Southwark",is_missing,is_illegible,"S Sepulchres Parish",is_missing,is_illegible,"St Thomas Southwark",is_missing,is_illegible,"Trinity Minories",is_missing,is_illegible,"Pesthouse Without the Walls",is_missing,is_illegible,"Christened in the parishes without the walls",is_missing,is_illegible,"Buried in the parishes without the walls",is_missing,is_illegible,"Plague in the parishes without the walls",is_missing,is_illegible,"St Ann in Middlesex",is_missing,is_illegible,"Christ Church in Middlesex",is_missing,is_illegible,"Christ Church in Surry",is_missing,is_illegible,"St George in Bloomsburg",is_missing,is_illegible,"St George in Middlesex",is_missing,is_illegible,"St George by Queen's Square",is_missing,is_illegible,"St Giles in the Field",is_missing,is_illegible,"Hackney Parish",is_missing,is_illegible,"St John at Wapping",is_missing,is_illegible,"St James Clerkenwel",is_missing,is_illegible,"St Katharine Tower",is_missing,is_illegible,"Lambeth Parish",is_missing,is_illegible,"St Leonard Shoreditch",is_missing,is_illegible,"St Luke in Middlesex",is_missing,is_illegible,"St Magdalen Bermondsey",is_missing,is_illegible,"St Matthew at Bethnal Green",is_missing,is_illegible,"St Mary Islington",is_missing,is_illegible,"St Mary Newington",is_missing,is_illegible,"St Mary Whitechappel",is_missing,is_illegible,"St Pauls Shadwel",is_missing,is_illegible,"Rothorith Parish",is_missing,is_illegible,"Stepney Parish",is_missing,is_illegible,"Christened in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"Buried in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"Plague in the out-Parishes in Middlesex and Surrey",is_missing,is_illegible,"St Ann in Westminster",is_missing,is_illegible,"St Clement Danes",is_missing,is_illegible,"St George Hanover-square",is_missing,is_illegible,"St James in Westminster",is_missing,is_illegible,"St John the Evangelist",is_missing,is_illegible,"St Paul Covent Garden",is_missing,is_illegible,"St Martin in the fields",is_missing,is_illegible,"St Mary Savoy",is_missing,is_illegible,"St Mary le Strand",is_missing,is_illegible,"St Margaret Westminster",is_missing,is_illegible,"Pesthouse in Westminster",is_missing,is_illegible,"Christened in the Parishes and Liberties of Westminster",is_missing,is_illegible,"Buried in the Parishes and Liberties of Westminster",is_missing,is_illegible,"Plague in the Parishes and Liberties of Westminster",is_missing,is_illegible
4382,1353,182,1,Millar-1690-1691-GeneralBill,,,16,,,December,,,1690,,,15,,,December,,,1691,,,23,,,90,,,30,,,71,,,0,,,20,,,31,,,38,,,48,,,25,,,21,,,48,,,65,,,26,,,150,,,14,,,24,,,10,,,16,,,8,,,46,,,3,,,14,,,99,,,14,,,17,,,24,,,90,,,44,,,24,,,37,,,33,,,18,,,13,,,74,,,29,,,38,,,38,,,16,,,8,,,10,,,46,,,92,,,60,,,20,,,9,,,37,,,39,,,33,,,6,,,0,,,19,,,36,,,36,,,34,,,21,,,8,,,1,,,29,,,16,,,34,,,16,,,0,,,33,,,7,,,47,,,16,,,14,,,53,,,16,,,0,,,33,,,36,,,24,,,31,,,37,,,15,,,26,,,23,,,17,,,23,,,0,,,17,,,9,,,50,,,22,,,26,,,7,,,,1,,17,,,35,,,15,,,15,,,136,,,19,,,24,,,17,,,22,,,2179,,,2921,,,0,,,1005,,,84,,,41,,,196,,,726,,,517,,,28,,,360,,,,1,,295,,,360,,,1448,,,793,,,555,,,755,,,93,,,22,,,0,,,4906,,,7278,,,0,,,,1,,,1,,167,,,,1,,,1,,,1,,1436,,,101,,,,1,,423,,,170,,,268,,,528,,,,1,,410,,,,1,,114,,,279,,,1062,,,453,,,136,,,2064,,,4913,,,7611,,,0,,,508,,,508,,,,1,,1029,,,,1,,188,,,1491,,,145,,,,1,,1012,,,,1,,3056,,,4881,,,0,,
4383,1354,165,1,Millar-1691-1692-GeneralBill,,,15,,,December,,,1691,,,13,,,December,,,1692,,,17,,,80,,,15,,,56,,,0,,,15,,,28,,,26,,,63,,,36,,,13,,,44,,,56,,,29,,,131,,,14,,,11,,,19,,,20,,,9,,,51,,,4,,,11,,,93,,,13,,,10,,,29,,,77,,,35,,,28,,,52,,,31,,,13,,,10,,,69,,,39,,,34,,,39,,,22,,,3,,,17,,,41,,,55,,,43,,,13,,,1,,,34,,,46,,,24,,,2,,,0,,,14,,,31,,,21,,,27,,,18,,,6,,,1,,,37,,,6,,,33,,,15,,,0,,,34,,,2,,,30,,,24,,,12,,,32,,,15,,,0,,,32,,,27,,,21,,,31,,,24,,,14,,,19,,,5,,,16,,,29,,,1,,,14,,,10,,,53,,,10,,,29,,,5,,,,1,,14,,,39,,,13,,,30,,,94,,,29,,,25,,,18,,,15,,,2136,,,2596,,,0,,,871,,,73,,,27,,,200,,,713,,,527,,,27,,,365,,,332,,,262,,,332,,,1246,,,785,,,535,,,598,,,87,,,23,,,0,,,4865,,,6671,,,0,,,,1,,,1,,142,,,,1,,,1,,,1,,1353,,,93,,,,1,,353,,,188,,,250,,,498,,,,1,,402,,,,1,,122,,,232,,,983,,,430,,,137,,,,1,,4881,,,7324,,,0,,,462,,,473,,,,1,,874,,,,1,,193,,,1323,,,141,,,,1,,907,,,,1,,3036,,,4373,,,0,,
4384,1355,169,1,Millar-1692-1693-GeneralBill,,,13,,,December,,,1692,,,19,,,December,,,1693,,,31,,,80,,,25,,,39,,,0,,,18,,,32,,,40,,,68,,,37,,,8,,,46,,,42,,,47,,,129,,,19,,,16,,,22,,,20,,,8,,,44,,,5,,,10,,,104,,,12,,,13,,,33,,,69,,,39,,,34,,,48,,,41,,,13,,,15,,,89,,,29,,,21,,,35,,,23,,,5,,,15,,,42,,,65,,,60,,,15,,,9,,,40,,,32,,,31,,,6,,,0,,,17,,,29,,,21,,,31,,,21,,,4,,,0,,,27,,,9,,,26,,,14,,,0,,,42,,,6,,,43,,,18,,,16,,,42,,,20,,,0,,,33,,,36,,,30,,,29,,,36,,,18,,,20,,,17,,,6,,,20,,,1,,,17,,,14,,,52,,,14,,,34,,,7,,,,1,,10,,,30,,,8,,,21,,,90,,,28,,,17,,,20,,,12,,,2106,,,2740,,,0,,,940,,,78,,,35,,,177,,,555,,,499,,,33,,,307,,,,1,,242,,,402,,,1342,,,741,,,567,,,543,,,96,,,25,,,0,,,5050,,,6582,,,0,,,,1,,,1,,134,,,,1,,,1,,,1,,1209,,,77,,,,1,,393,,,181,,,306,,,484,,,,1,,387,,,,1,,150,,,249,,,1048,,,428,,,152,,,,1,,5017,,,7222,,,0,,,426,,,445,,,,1,,922,,,,1,1,193,,,1365,,,130,,,,1,,934,,,,1,,2986,,,4415,,,0,,
4385,1356,198,1,Millar-1693-1694-GeneralBill,,,19,,,December,,,1693,,,18,,,December,,,1694,,,31,,,81,,,16,,,55,,,0,,,18,,,28,,,44,,,93,,,34,,,25,,,62,,,64,,,35,,,132,,,17,,,19,,,28,,,32,,,14,,,45,,,3,,,11,,,111,,,12,,,22,,,31,,,101,,,37,,,41,,,59,,,35,,,14,,,12,,,88,,,25,,,38,,,35,,,24,,,4,,,12,,,71,,,76,,,65,,,19,,,9,,,57,,,44,,,31,,,6,,,2,,,18,,,35,,,39,,,34,,,31,,,2,,,5,,,37,,,11,,,31,,,16,,,0,,,30,,,9,,,39,,,16,,,28,,,28,,,15,,,0,,,28,,,28,,,24,,,41,,,45,,,18,,,24,,,17,,,19,,,28,,,4,,,16,,,8,,,68,,,12,,,40,,,8,,,,1,,12,,,46,,,17,,,45,,,108,,,20,,,24,,,27,,,15,,,1951,,,3134,,,0,,,1105,,,83,,,35,,,235,,,738,,,674,,,24,,,383,,,,1,,264,,,423,,,1535,,,730,,,580,,,668,,,91,,,22,,,0,,,4488,,,7590,,,0,,,,1,,,1,,167,,,,1,,,1,,,1,,1490,,,93,,,96,,,438,,,120,,,323,,,516,,,,1,,453,,,,1,,121,,,233,,,937,,,491,,,159,,,2298,,,4218,,,8035,,,0,,,617,,,545,,,,1,,1124,,,,1,,195,,,1643,,,160,,,,1,,1057,,,,1,,2975,,,5341,,,0,,
4386,1357,199,1,Millar-1694-1695-GeneralBill,,,18,,,December,,,1694,,,17,,,December,,,1695,,,15,,,84,,,21,,,51,,,0,,,14,,,19,,,38,,,57,,,32,,,8,,,47,,,41,,,29,,,124,,,8,,,21,,,22,,,20,,,10,,,46,,,1,,,8,,,98,,,13,,,18,,,28,,,68,,,28,,,18,,,45,,,32,,,10,,,9,,,75,,,25,,,19,,,45,,,21,,,5,,,12,,,42,,,66,,,45,,,13,,,7,,,41,,,31,,,23,,,3,,,0,,,11,,,18,,,27,,,22,,,19,,,4,,,1,,,34,,,6,,,28,,,17,,,3,,,31,,,3,,,37,,,9,,,12,,,35,,,14,,,0,,,23,,,26,,,26,,,17,,,45,,,13,,,11,,,12,,,11,,,20,,,6,,,26,,,7,,,41,,,15,,,26,,,15,,,,1,,5,,,28,,,16,,,30,,,91,,,21,,,29,,,20,,,19,,,1970,,,2486,,,0,,,960,,,61,,,22,,,196,,,508,,,483,,,24,,,285,,,,1,,187,,,295,,,1180,,,628,,,479,,,589,,,73,,,15,,,0,,,4920,,,5985,,,0,,,,1,,,1,,142,,,,1,,,1,,,1,,1169,,,92,,,221,,,329,,,174,,,220,,,429,,,,1,,336,,,,1,,112,,,161,,,646,,,361,,,133,,,1807,,,4468,,,6332,,,0,,,426,,,468,,,,1,,876,,,,1,,203,,,1328,,,128,,,,1,,815,,,,1,,2918,,,4244,,,0,,
4387,1358,200,1,Millar-1695-1696-GeneralBill,,,17,,,December,,,1694,,,15,,,December,,,1696,,,27,,,93,,,26,,,54,,,0,,,17,,,10,,,28,,,52,,,24,,,19,,,36,,,40,,,35,,,129,,,13,,,11,,,20,,,12,,,19,,,35,,,1,,,13,,,106,,,14,,,8,,,37,,,66,,,22,,,20,,,50,,,27,,,9,,,8,,,65,,,34,,,24,,,40,,,22,,,5,,,12,,,40,,,61,,,51,,,9,,,12,,,39,,,40,,,29,,,5,,,0,,,16,,,27,,,33,,,30,,,31,,,8,,,1,,,30,,,13,,,38,,,16,,,0,,,29,,,3,,,34,,,13,,,13,,,33,,,15,,,0,,,36,,,31,,,24,,,25,,,47,,,10,,,21,,,11,,,17,,,16,,,5,,,10,,,7,,,41,,,11,,,27,,,2,,,,1,,20,,,35,,,14,,,21,,,95,,,16,,,20,,,11,,,10,,,2028,,,2534,,,0,,,933,,,55,,,26,,,209,,,487,,,450,,,28,,,300,,,,1,,169,,,324,,,1044,,,629,,,447,,,600,,,95,,,14,,,0,,,4795,,,5180,,,0,,,,1,,,1,,105,,,,1,,,1,,,1,,1093,,,82,,,274,,,325,,,167,,,226,,,384,,,,1,,364,,,,1,,126,,,177,,,624,,,367,,,145,,,1759,,,4970,,,6218,,,0,,,404,,,415,,,,1,,915,,,,1,,204,,,1228,,,120,,,,1,,790,,,,1,,3068,,,4076,,,0,,
4408,1359,184,1,Millar-1696-1697-GeneralBill,,,15,,,December,,,1696,,,14,,,December,,,1697,,,21,,,99,,,22,,,72,,,0,,,30,,,36,,,29,,,55,,,43,,,14,,,46,,,42,,,28,,,147,,,11,,,23,,,21,,,18,,,20,,,39,,,4,,,13,,,135,,,14,,,15,,,30,,,100,,,30,,,30,,,31,,,18,,,9,,,3,,,85,,,42,,,25,,,45,,,26,,,7,,,23,,,51,,,78,,,57,,,17,,,12,,,38,,,38,,,27,,,5,,,0,,,16,,,21,,,28,,,28,,,18,,,5,,,3,,,42,,,3,,,33,,,17,,,0,,,27,,,7,,,36,,,24,,,8,,,41,,,14,,,0,,,31,,,36,,,30,,,38,,,53,,,24,,,16,,,15,,,18,,,25,,,0,,,16,,,10,,,53,,,14,,,37,,,7,,,,1,,18,,,30,,,15,,,26,,,17,,,17,,,29,,,17,,,18,,,2113,,,2905,,,0,,,952,,,77,,,26,,,166,,,610,,,535,,,32,,,325,,,,1,,222,,,342,,,1295,,,665,,,503,,,605,,,79,,,17,,,0,,,5021,,,6451,,,0,,,,1,,,1,,128,,,,1,,,1,,,1,,1287,,,94,,,330,,,357,,,192,,,210,,,495,,,,1,,397,,,,1,,73,,,185,,,731,,,432,,,160,,,2008,,,5355,,,7079,,,0,,,507,,,501,,,,1,,923,,,,1,,232,,,1436,,,124,,,,1,,812,,,0,,,3340,,,4535,,,0,,
4409,1360,185,1,"Millar-1697-1698-GeneralBill ",,,14,,,December,,,1697,,,20,,,December,,,1698,,,10,,,72,,,15,,,40,,,0,,,19,,,24,,,36,,,61,,,42,,,19,,,32,,,45,,,28,,,125,,,10,,,23,,,23,,,21,,,10,,,43,,,2,,,8,,,156,,,11,,,16,,,34,,,61,,,31,,,35,,,31,,,32,,,15,,,8,,,65,,,28,,,16,,,39,,,15,,,3,,,22,,,51,,,72,,,57,,,10,,,9,,,30,,,41,,,26,,,6,,,0,,,16,,,21,,,24,,,32,,,28,,,3,,,2,,,33,,,3,,,35,,,18,,,0,,,40,,,4,,,40,,,13,,,7,,,30,,,22,,,0,,,27,,,23,,,24,,,29,,,40,,,24,,,18,,,16,,,21,,,22,,,0,,,26,,,5,,,51,,,16,,,30,,,9,,,,1,,8,,,26,,,21,,,34,,,125,,,18,,,30,,,11,,,13,,,2171,,,2666,,,0,,,853,,,71,,,30,,,188,,,541,,,452,,,31,,,270,,,,1,,168,,,280,,,1062,,,667,,,500,,,611,,,78,,,19,,,0,,,5120,,,5821,,,0,,,,1,,,1,,158,,,,1,,,1,,,1,,1307,,,118,,,339,,,390,,,174,,,263,,,429,,,,1,,425,,,,1,,88,,,179,,,691,,,482,,,188,,,2131,,,5686,,,7362,,,0,,,412,,,435,,,,1,,975,,,,1,,211,,,1385,,,82,,,,1,,834,,,,1,,3075,,,4334,,,0,,
4410,1361,197,1,"Millar-1698-1699-GeneralBill ",,,20,,,December,,,1698,,,19,,,December,,,1699,,,33,,,82,,,9,,,50,,,4,,,11,,,30,,,24,,,53,,,32,,,13,,,46,,,65,,,37,,,122,,,13,,,13,,,16,,,16,,,18,,,45,,,1,,,11,,,118,,,19,,,12,,,23,,,87,,,32,,,23,,,41,,,30,,,6,,,17,,,83,,,28,,,13,,,32,,,25,,,3,,,21,,,61,,,68,,,48,,,19,,,17,,,45,,,51,,,27,,,11,,,0,,,20,,,32,,,26,,,33,,,25,,,4,,,2,,,34,,,7,,,40,,,18,,,0,,,31,,,3,,,43,,,24,,,16,,,43,,,13,,,0,,,25,,,30,,,29,,,22,,,43,,,15,,,12,,,9,,,16,,,21,,,0,,,23,,,6,,,46,,,15,,,30,,,5,,,,1,,15,,,27,,,15,,,30,,,129,,,19,,,21,,,26,,,19,,,2072,,,2766,,,0,,,873,,,73,,,37,,,203,,,601,,,514,,,31,,,316,,,,1,,205,,,358,,,1177,,,746,,,517,,,588,,,67,,,21,,,0,,,4706,,,6327,,,0,,,,1,,,1,,167,,,,1,,,1,,,1,,1252,,,113,,,301,,,331,,,121,,,278,,,481,,,,1,,454,,,,1,,94,,,193,,,841,,,460,,,153,,,2093,,,5360,,,7332,,,0,,,401,,,431,,,,1,,916,,,,1,,212,,,1411,,,114,,,,1,,885,,,,1,,3269,,,4370,,,0,,
4411,1362,204,1,Millar-1699-1700-GeneralBill,,,19,,,December,,,1699,,,17,,,December,,,1700,,,29,,,83,,,17,,,63,,,4,,,14,,,23,,,27,,,60,,,37,,,14,,,39,,,53,,,30,,,125,,,12,,,16,,,15,,,18,,,16,,,29,,,1,,,10,,,135,,,21,,,13,,,28,,,82,,,15,,,28,,,37,,,29,,,5,,,13,,,77,,,30,,,14,,,41,,,19,,,4,,,26,,,52,,,61,,,53,,,17,,,5,,,38,,,49,,,21,,,5,,,0,,,22,,,24,,,26,,,22,,,18,,,2,,,0,,,28,,,7,,,29,,,14,,,0,,,33,,,3,,,49,,,18,,,9,,,33,,,11,,,0,,,34,,,27,,,21,,,27,,,36,,,16,,,27,,,8,,,22,,,18,,,2,,,12,,,7,,,45,,,8,,,28,,,6,,,,1,,9,,,25,,,13,,,33,,,147,,,16,,,27,,,18,,,23,,,1790,,,2656,,,0,,,906,,,41,,,22,,,188,,,502,,,465,,,23,,,278,,,,1,,171,,,342,,,1192,,,581,,,480,,,554,,,55,,,12,,,,1,,4580,,,5812,,,0,,,,1,,,1,,141,,,,1,,,1,,,1,,1200,,,84,,,272,,,294,,,152,,,240,,,447,,,,1,,376,,,,1,,99,,,167,,,715,,,331,,,211,,,1918,,,5053,,,6647,,,0,,,496,,,403,,,,1,,927,,,,1,,180,,,1424,,,104,,,,1,,794,,,,1,,3216,,,4328,,,0,,
4412,1363,211,1,Millar-1700-1701-GeneralBill,,,17,,,December,,,1700,,,16,,,December,,,1701,,,29,,,86,,,18,,,41,,,4,,,14,,,16,,,34,,,61,,,32,,,20,,,41,,,48,,,33,,,138,,,8,,,12,,,18,,,28,,,16,,,39,,,2,,,14,,,117,,,16,,,13,,,27,,,76,,,28,,,34,,,42,,,32,,,7,,,13,,,81,,,38,,,11,,,49,,,27,,,5,,,27,,,63,,,70,,,53,,,15,,,12,,,43,,,42,,,24,,,3,,,0,,,6,,,30,,,30,,,17,,,21,,,6,,,1,,,29,,,5,,,44,,,17,,,0,,,32,,,9,,,40,,,19,,,13,,,20,,,11,,,0,,,29,,,26,,,24,,,36,,,38,,,14,,,26,,,9,,,20,,,21,,,0,,,13,,,14,,,40,,,13,,,27,,,5,,,,1,,11,,,25,,,18,,,24,,,109,,,25,,,18,,,24,,,12,,,1762,,,2691,,,0,,,904,,,70,,,33,,,198,,,527,,,507,,,9,,,302,,,,1,,175,,,347,,,1148,,,711,,,519,,,634,,,80,,,18,,,,1,,4783,,,6182,,,0,,,,1,,,1,,106,,,,1,,,1,,,1,,1298,,,117,,,289,,,336,,,167,,,278,,,469,,,,1,,410,,,,1,,114,,,195,,,735,,,375,,,172,,,2057,,,5440,,,7118,,,0,,,446,,,434,,,,1,,1007,,,,1,,212,,,1424,,,126,,,,1,,831,,,,1,,3631,,,4480,,,0,,
4413,1364,175,1,Millar-1701-1702-GeneralBill,,,16,,,December,,,1701,,,15,,,December,,,1702,,,21,,,84,,,20,,,33,,,2,,,15,,,27,,,36,,,52,,,31,,,18,,,46,,,56,,,17,,,131,,,17,,,15,,,28,,,32,,,8,,,42,,,1,,,11,,,98,,,14,,,15,,,30,,,80,,,22,,,25,,,26,,,26,,,9,,,16,,,68,,,27,,,13,,,37,,,13,,,5,,,19,,,54,,,53,,,43,,,12,,,7,,,21,,,39,,,34,,,2,,,0,,,15,,,31,,,21,,,30,,,32,,,4,,,0,,,24,,,3,,,35,,,19,,,0,,,23,,,12,,,35,,,20,,,13,,,39,,,18,,,0,,,46,,,36,,,17,,,27,,,27,,,8,,,8,,,7,,,23,,,16,,,0,,,23,,,9,,,41,,,11,,,19,,,5,,,,1,,14,,,30,,,16,,,18,,,21,,,18,,,25,,,11,,,11,,,1919,,,2512,,,0,,,899,,,54,,,23,,,179,,,483,,,492,,,25,,,291,,,,1,,169,,,375,,,1002,,,739,,,564,,,527,,,69,,,11,,,,1,,4845,,,5902,,,0,,,,1,,,1,,121,,,,1,,,1,,,1,,1310,,,100,,,292,,,309,,,162,,,271,,,427,,,,1,,382,,,,1,,105,,,204,,,731,,,420,,,147,,,1940,,,5300,,,6921,,,0,,,401,,,432,,,,1,,928,,,,1,,179,,,1366,,,104,,,,1,,736,,,,1,,3623,,,4146,,,0,,
4414,1365,186,1,Millar-1702-1703-GeneralBill,,,15,,,December,,,1702,,,14,,,December,,,1703,,,26,,,93,,,13,,,38,,,0,,,11,,,16,,,38,,,70,,,31,,,10,,,45,,,48,,,31,,,118,,,12,,,20,,,17,,,12,,,16,,,49,,,3,,,9,,,105,,,15,,,16,,,38,,,77,,,23,,,21,,,26,,,15,,,9,,,18,,,77,,,30,,,24,,,45,,,12,,,3,,,22,,,47,,,45,,,29,,,16,,,11,,,37,,,39,,,35,,,3,,,0,,,14,,,28,,,33,,,30,,,25,,,3,,,2,,,32,,,2,,,24,,,17,,,0,,,30,,,6,,,36,,,24,,,8,,,34,,,15,,,0,,,33,,,34,,,21,,,24,,,36,,,11,,,30,,,7,,,14,,,14,,,1,,,10,,,6,,,39,,,13,,,21,,,7,,,,1,,14,,,39,,,14,,,23,,,120,,,25,,,24,,,9,,,24,,,1773,,,2550,,,0,,,981,,,70,,,31,,,186,,,530,,,553,,,10,,1,268,,,,1,,159,,,366,,,1197,,,717,,,509,,,622,,,66,,,20,,,,1,,4781,,,6285,,,0,,,,1,,,1,,145,,,,1,,,1,,,1,,1333,,,105,,,244,,,353,,,156,,,250,,,490,,,,1,,387,,,,1,,115,,,213,,,804,,,423,,,161,,,2150,,,5392,,,7329,,,0,,,424,,,436,,,,1,,1060,,,,1,,205,,,1400,,,112,,,,1,,919,,,,1,,3502,,,4556,,,0,,
4415,1366,154,1,"Millar-1703-1704-GeneralBill ",,,14,,,December,,,1703,,,19,,,December,,,1704,,,27,,,69,,,24,,,50,,,4,,,16,,,22,,,31,,,70,,,36,,,10,,,39,,,47,,,33,,,137,,,15,,,16,,,24,,,21,,,13,,,52,,,2,,,4,,,115,,,10,,,13,,,41,,,69,,,27,,,26,,,43,,,38,,,12,,,15,,,73,,,36,,,21,,,45,,,19,,,4,,,15,,,69,,,52,,,48,,,21,,,7,,,33,,,45,,,34,,,1,,,0,,,15,,,25,,,32,,,18,,,31,,,7,,,2,,,29,,,13,,,35,,,16,,,0,,,25,,,9,,,31,,,24,,,12,,,38,,,18,,,0,,,40,,,36,,,17,,,23,,,34,,,13,,,20,,,5,,,15,,,13,,,0,,,28,,,11,,,40,,,13,,,22,,,8,,,,1,,11,,,27,,,19,,,33,,,144,,,21,,,23,,,16,,,26,,,1928,,,2732,,,0,,,1087,,,94,,,30,,,232,,,645,,,545,,,23,,,327,,,,1,,190,,,376,,,1160,,,747,,,594,,,658,,,61,,,26,,,,1,,4868,,,6795,,,0,,,,1,,,1,,137,,,,1,,,1,,,1,,1458,,,134,,,331,,,363,,,178,,,246,,,658,,,,1,,408,,,,1,,147,,,179,,,853,,,498,,,215,,,2406,,,5494,,,8251,,,0,,,505,,,455,,,,1,,1099,,,,1,,205,,,1489,,,130,,,,1,,1023,,,,1,,3605,,,4906,,,0,,
