"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,"Week Number",is_missing,is_illegible,"Unique Identifier",is_missing,is_illegible,"Start Day",is_missing,is_illegible,"Start Month",is_missing,is_illegible,"End Day",is_missing,is_illegible,"End Month",is_missing,is_illegible,Abortive,is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,"Chicken Pox",is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Drowned,is_missing,is_illegible,"Drowned (Descriptive Text)",is_missing,is_illegible,Executed,is_missing,is_illegible,"Executed (Descriptive Text)",is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,"Flox and Small-Pox",is_missing,is_illegible,"Flox and Small-Pox (Descriptive Text)",is_missing,is_illegible,Flux,is_missing,is_illegible,"Found dead",is_missing,is_illegible,"Found Dead (Descriptive Text)",is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,"Griping in the Guts",is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,"Hooping Cough",is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,"Kings Evil",is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,"Lunatick and Frenzy",is_missing,is_illegible,"Malignant Fever",is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,"Noli me tangere",is_missing,is_illegible,Overlaid,is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,"Rising of the Lights",is_missing,is_illegible,"Running of the Reins",is_missing,is_illegible,Rupture,is_missing,is_illegible,"Scald Head",is_missing,is_illegible,"Scarlet Fever",is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,"St. Anthony's Fire",is_missing,is_illegible,Starved,is_missing,is_illegible,"Starved (Description)",is_missing,is_illegible,Still-born,is_missing,is_illegible,Stone,is_missing,is_illegible,"Stopping of the Stomach",is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,"Swelling in the Throat",is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,"Twisting of the Guts",is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,"Water in the Head",is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Killed,is_missing,is_illegible,"Killed (Descriptive Text)",is_missing,is_illegible,Suicide,is_missing,is_illegible,"Suicide (Descriptive Text)",is_missing,is_illegible,Other,is_missing,is_illegible,"Other (Descriptive Text)",is_missing,is_illegible,"Christened (Male)",is_missing,is_illegible,"Christened (Female)",is_missing,is_illegible,"Christened (In All)",is_missing,is_illegible,"Buried (Male)",is_missing,is_illegible,"Buried (Female)",is_missing,is_illegible,"Buried (All)",is_missing,is_illegible,"Plague Deaths",is_missing,is_illegible,"Increase/Decrease in Burials",is_missing,is_illegible,"Increase/Decrease in Plague Deaths",is_missing,is_illegible,"Parishes Clear of the Plague",is_missing,is_illegible,"Parishes Infected (with Plague)",is_missing,is_illegible
21806,35462,5060,1,1649,,,2,,,Bodleian-1649-02-verso,,,18,,,December,,,25,,,December,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,27,,,9,,,,,,,,,,,,2,,,,,,,,,10,,,,,,,,,11,,,,,,5,,,"flox 0; Small pox 5",,,1,,,2,,,"Found dead one in the Glasse house at Olaves Southwark 1; and one in the Common Sewer at Mary Whitechappell 1",,,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,1,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,"Kild by leaping out at a Garret window at Ethelborow",,,2,,,"Cut of the stone 1; Sore mouth 1",,,41,,,39,,,80,,,88,,,49,,,137,,,0,,,-49,,,,,,,,,,,
21807,35463,5061,1,1649,,,3,,,Bodleian-1649-03-verso,,,25,,,December,,,1,,,January,,,1,,,25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,43,,,17,,,,,,,,,,,,15,,,,,,,,,1,,,,,,,,,13,,,,,,9,,,"Flox 4; Small pox 5",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,,,,,,,,,,,4,,,3,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,"Kild by the fall of a board from a ship at Olaves Southwark 1; Sore brest 1",,,65,,,51,,,116,,,90,,,95,,,185,,,0,,,48,,,,,,,,,,,
21808,35464,5063,1,1649,,,4,,,Bodleian-1649-04-verso,,,1,,,January,,,8,,,January,,,1,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,53,,,5,,,1,,,,,,,,,10,,,,,,,,,,,,,,,,,,11,,,,,,2,,,"Small pox 2",,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,13,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,2,,,,,,,,,3,,,1,,,,,,,,,9,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,29,,,"Sore legge 1; Kild by the blast of Gunpowder 28. Twenty five at Alhallowed Barking, and three at Alhallower Steyning 28",,,57,,,56,,,113,,,108,,,97,,,205,,,0,,,25,,,,,,,,,,,
21809,35465,5064,1,1649,,,5,,,Bodleian-1649-05-verso,,,8,,,January,,,15,,,January,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,9,,,,,,,,,40,,,11,,,2,,,,,,,,,6,,,1,,,"Drownd at James Dukesplace",,,,,,,,,,,,16,,,,,,13,,,"Flox 2; Small pox 11",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,,15,,,1,,,4,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,28,,,"Kild 28. one by the fall of a peece of timber in Towerstreete, and 27 by the blast of gunpowder, whereof 8 found at Alhallowed barking, and 18 more inhabiting within Preists Alley in Towerstreete (besides strangers) lost in the fire taken up in peeces, and one at Dustons East",,,57,,,52,,,109,,,107,,,96,,,203,,,0,,,-2,,,,,,,,,,,
21810,35466,5066,1,1649,,,6,,,Bodleian-1649-06-verso,,,15,,,January,,,22,,,January,,,,,,25,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,7,,,,,,,,,36,,,11,,,,,,,,,,,,12,,,,,,,,,6,,,,,,,,,14,,,,,,11,,,"Flox 1; Small pox 10",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,9,,,1,,,1,,,,,,,,,3,,,2,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,"Kils by falling into a Sawpit at Buttolph Aldgate",,,56,,,55,,,111,,,107,,,91,,,198,,,0,,,-5,,,,,,,,,,,
21811,35467,5059,1,1649,,,7,,,Bodleian-1649-07-verso,,,22,,,January,,,29,,,January,,,,,,13,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,5,,,,,,,,,30,,,12,,,,,,,,,,,,9,,,1,,,"Drownd at Michael Bassi-shaw 1",,,,,,,,,,,,13,,,,,,8,,,"flox 1; small pox 7",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,2,,,"Starved at Sepulchers 2",,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,"Burnt at Brides 1",,,56,,,45,,,101,,,83,,,70,,,153,,,0,,,-45,,,,,,,,,,,
21812,35468,5062,1,1649,,,8,,,Bodleian-1649-08-verso,,,29,,,January,,,5,,,February,,,,,,17,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,9,,,,,,2,,,31,,,12,,,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,13,,,,,,7,,,"flox 1; small pox 6",,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,2,,,7,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,"sore brest 1; sore head 1",,,64,,,51,,,115,,,74,,,79,,,153,,,0,,,0,,,,,,,,,,,
21813,35469,5065,1,1649,,,9,,,Bodleian-1649-09-verso,,,5,,,February,,,12,,,February,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,48,,,10,,,3,,,,,,,,,8,,,4,,,"Drownd 4. one at Saviuors Southwarke, and three at Martins in the fields",,,,,,,,,,,,5,,,1,,,8,,,"flox 0; small pox 8 ",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,2,,,,,,,,,,,,8,,,,,,,,,,,,,,,3,,,1,,,,,,,,,14,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,"Murthered at Buttolph Aldersgate 2",,,1,,,"Shot himsefe with a Pistoll at Sepulchers 1",,,1,,,"Burnt at Clement Eastcheap 1",,,57,,,70,,,127,,,98,,,81,,,179,,,0,,,26,,,,,,,,,,,
21814,35470,5067,1,1649,,,10,,,Bodleian-1649-10-verso,,,12,,,February,,,19,,,February,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,4,,,,,,2,,,46,,,12,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,11,,,,,,2,,,"flox 0;  small pox 2",,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,2,,,3,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,"Kild by her Mistris at Giles Creplegate",,,,,,,,,,,,,,,53,,,54,,,107,,,74,,,72,,,146,,,0,,,-33,,,,,,,,,,,
21815,35471,5069,1,1649,,,11,,,Bodleian-1649-11-verso,,,19,,,February,,,26,,,February,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,40,,,12,,,,,,,,,,,,17,,,,,,,,,8,,,,,,,,,11,,,,,,3,,,"flox 0; small pox 3",,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9,,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,"Sore throate 1; Stitch 1",,,51,,,50,,,101,,,84,,,84,,,168,,,0,,,22,,,,,,,,,,,
