"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique ID","Start Day","Start Month","End Day","End month","St Alban Woodstreet - Buried","St Alban Woodstreet - Plague","Alhallows Barking - Buried","Alhallows Barking - Plague","Alhallows Breadstreet - Buried","Alhallows Breadstreet - Plague","Alhallows Great - Buried","Alhallows Great - Plague","Alhallows Honylane - Buried","Alhallows Honylane - Plague","Alhallows Lesse - Buried","Alhallows Lesse - Plague","Alhallows Lumbardstreet - Buried","Alhallows Lumbardstreet - Plague","Alhallows Stayning - Buried","Alhallows Stayning - Plague","Alhallows the Wall - Buried","Alhallows the Wall - Plague","St Alphage - Buried","St Alphage - Plague","St Andrew Hubbard - Buried","St Andrew Hubbard - Plague","St Andrew Undershaft - Buried","St Andrew Undershaft - Plague","St Andrew Wardrobe - Buried","St Andrew Wardrobe - Plague","St Ann Aldersgate - Buried","St Ann Aldersgate - Plague","St Ann Blackfryers - Buried","St Ann Blackfryers - Plague","St Antholins Parish - Buried","St Antholins Parish - Plague","St Austins Parish - Buried","St Austins Parish - Plague","St Bartholomew Exchange - Buried","St Bartholomew Exchange - Plague","St Bennet Fynck - Buried","St Bennet Fynck - Plague","St Bennet Gracechurch - Buried","St Bennet Gracechurch - Plague","St Bennet Paulswharf - Buried","St Bennet Paulswharf - Plague","St Bennet Sherehog - Buried","St Bennet Sherehog - Plague","St Botolph Billingsgate - Buried","St Botolph Billingsgate - Plague","Christ Church - Buried","Christ Church - Plague","St Christophers - Buried","St Christophers - Plague","St Clement Eastcheap - Buried","St Clement Eastcheap - Plague","St Dionis Backchurch - Buried","St Dionis Backchurch - Plague","St Dunstan East - Buried","St Dunstan East - Plague","St Edmund Lumbardstr. - Buried","St Edmund Lumbardstr. - Plague","St Ethelborough - Buried","St Ethelborough - Plague","St Faith - Buried","St Faith - Plague","St Gabriel Fenchurch - Buried","St Gabriel Fenchurch - Plague","St George Botolphlane - Buried","St George Botolphlane - Plague","St Gregory by St Pauls - Buried","St Gregory by St Pauls - Plague","St Hellen - Buried","St Hellen - Plague","St James Dukes place - Buried","St James Dukes place - Plague","St James Garlickhithe - Buried","St James Garlickhithe - Plague","St John Baptist - Buried","St John Baptist - Plague","St John Evangelist - Buried","St John Evangelist - Plague","St John Zachary - Buried","St John Zachary - Plague","St Katharine Coleman - Buried","St Katharine Coleman - Plague","St Katharine Creechurch - Buried","St Katharine Creechurch - Plague","St Lawrence Jewry - Buried","St Lawrence Jewry - Plague","St Lawrence Pountney - Buried","St Lawrence Pountney - Plague","St Leonard Eastcheap - Buried","St Leonard Eastcheap - Plague","St Leonard Fosterlane - Buried","St Leonard Fosterlane - Plague","St Magnus Parish - Buried","St Magnus Parish - Plague","St Margaret Lothbury - Buried","St Margaret Lothbury - Plague","St Margaret Moses - Buried","St Margaret Moses - Plague","St Margaret Newfishstreet - Buried","St Margaret Newfishstreet - Plague","St Margaret Pattons - Buried","St Margaret Pattons - Plague","St Martin Iremongerlane - Buried","St Martin Iremongerlane - Plague","St Martin Ludgate - Buried","St Martin Ludgate - Plague","St Martin Orgars - Buried","St Martin Orgars - Plague","St Martin Outwich - Buried","St Martin Outwich - Plague","St Martin Vintrey - Buried","St Martin Vintrey - Plague","St Mary Abchurch - Buried","St Mary Abchurch - Plague","St Mary Aldermanbury - Buried","St Mary Aldermanbury - Plague","St Mary Aldermary - Buried","St Mary Aldermary - Plague","St Mary le Bow - Buried","St Mary le Bow - Plague","St Mary Bothaw - Buried","St Mary Bothaw - Plague","St Mary Colechurch - Buried","St Mary Colechurch - Plague","St Mary Hill - Buried","St Mary Hill - Plague","St Maudlin Milkstreet - Buried","St Maudlin Milkstreet - Plague","St Maudlin Oldfishstreet - Buried","St Maudlin Oldfishstreet - Plague","St Mary Mounthaw - Buried","St Mary Mounthaw - Plague","St Mary Sommerset - Buried","St Mary Sommerset - Plague","St Mary Stayning - Buried","St Mary Stayning - Plague","St Mary Woolchurch - Buried","St Mary Woolchurch - Plague","St Mary Woolnoth - Buried","St Mary Woolnoth - Plague","St Matthew Fridaystreet - Buried","St Matthew Fridaystreet - Plague","St Michael Bassishaw - Buried","St Michael Bassishaw - Plague","St Michael Cornhil - Buried","St Michael Cornhil - Plague","St Michael Crookedlane - Buried","St Michael Crookedlane - Plague","St Michael Queenhithe - Buried","St Michael Queenhithe - Plague","St Michael Quern - Buried","St Michael Quern - Plague","St Michael Royal - Buried","St Michael Royal - Plague","St Michael Woodstreet - Buried","St Michael Woodstreet - Plague","St Mildred Breadstreet - Buried","St Mildred Breadstreet - Plague","St Mildred Poultrey - Buried","St Mildred Poultrey - Plague","St Nicholas Acons - Buried","St Nicholas Acons - Plague","St Nicholas Coleabby - Buried","St Nicholas Coleabby - Plague","St Nicholas Olaves - Buried","St Nicholas Olaves - Plague","St Olave Hartstreet - Buried","St Olave Hartstreet - Plague","St Olave Jewry - Buried","St Olave Jewry - Plague","St Olave Silverstreet - Buried","St Olave Silverstreet - Plague","St Pancras Soperlane - Buried","St Pancras Soperlane - Plague","St Peter Cheap - Buried","St Peter Cheap - Plague","St Peter Cornhil - Buried","St Peter Cornhil - Plague","St Peter Paulswharf - Buried","St Peter Paulswharf - Plague","St Peter Poor - Buried","St Peter Poor - Plague","St Steven Colemanstreet - Buried","St Steven Colemanstreet - Plague","St Steven Walbrook - Buried","St Steven Walbrook - Plague","St Swithin - Buried","St Swithin - Plague","St Thomas Apostles - Buried","St Thomas Apostles - Plague","Trinity Parish - Buried","Trinity Parish - Plague","St Foster - Buried","St Foster - Plague","Christened in the 97 Parishes within the Walls","Buried in the 97 Parishes within the Walls","Plague in the 97 Parishes within the Walls","St Andrew Holborn - Buried","St Andrew Holborn - Plague","St Bartholomew Great - Buried","St Bartholomew Great - Plague","St Bartholomew Less - Buried","St Bartholomew Less - Plague","St Bridget - Buried","St Bridget - Plague","Bridewel Precinct - Buried","Bridewel Precinct - Plague","St Botolph Aldersgate - Buried","St Botolph Aldersgate - Plague","St Botolph Aldgate - Buried","St Botolph Aldgate - Plague","St Botolph Bishopsgate - Buried","St Botolph Bishopsgate - Plague","St Dunstan West - Buried","St Dunstan West - Plague","St George Southwark - Buried","St George Southwark - Plague","St Giles Cripplegate - Buried","St Giles Cripplegate - Plague","St Olave Southwark - Buried","St Olave Southwark - Plague","Saviours Southwark - Buried","Saviours Southwark - Plague","S Sepulchres Parish - Buried","S Sepulchres Parish - Plague","St Thomas Southwark - Buried","St Thomas Southwark - Plague","Trinity Minories - Buried","Trinity Minories - Plague","Pesthouse Without the Walls - Buried","Pesthouse Without the Walls - Plague","Christened in the parishes without the Walls","Buried in the parishes without the Walls","Plague in the parishes without the Walls","Christ Church in Surry - Buried","Christ Church in Surry - Plague","Stepney Parish - Buried","Stepney Parish - Plague","St Giles in the Field - Buried","St Giles in the Field - Plague","St James Clerkenwel - Buried","St James Clerkenwel - Plague","Hackney Parish - Buried","Hackney Parish - Plague","St John at Wapping - Buried","St John at Wapping - Plague","St Katharine Tower - Buried","St Katharine Tower - Plague","Lambeth Parish - Buried","Lambeth Parish - Plague","St Leonard Shoreditch - Buried","St Leonard Shoreditch - Plague","St Mary Islington - Buried","St Mary Islington - Plague","St Magdalen Bermondsey - Buried","St Magdalen Bermondsey - Plague","St Mary Newington - Buried","St Mary Newington - Plague","St Mary Whitechappel - Buried","St Mary Whitechappel - Plague","St Pauls Shadwel - Buried","St Pauls Shadwel - Plague","Rothorith Parish - Buried","Rothorith Parish - Plague","Christened in the out-Parishes in Middlesex and Surrey","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","St Ann in Westminster - Buried","St Ann in Westminster - Plague","St Clement Danes - Buried","St Clement Danes - Plague","St James in Westminster - Buried","St James in Westminster - Plague","St Margaret Westminster - Buried","St Margaret Westminster - Plague","St Martin in the fields - Buried","St Martin in the fields - Plague","St Mary Savoy - Buried","St Mary Savoy - Plague","St Paul Covent Garden - Buried","St Paul Covent Garden - Plague","Pesthouse in Westminster - Buried","Pesthouse in Westminster - Plague","Christened in the Parishes and Liberties of Westminster","Buried in the Parishes and Liberties of Westminster","Plague in the Parishes and Liberties of Westminster"
32728,25120,4767,1,1697,19,BL-1697-19-recto,20,April,27,April,1,,1,,,,1,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,,,,,1,,2,,2,,,,2,,,,,,,,,,1,,3,,1,,,,,,3,,4,,1,,1,,,,,,,,1,,,,,,1,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,1,,,,,,,,50,49,0,20,,2,,,,7,,,,6,,14,,13,,2,,6,,15,,17,,8,,9,,2,,,,,,96,121,0,2,,44,,18,,6,,1,,8,,3,,6,,12,,3,,7,,4,,16,,7,,8,,119,145,0,10,,7,,25,,20,,37,,5,,5,,,,67,109,0
32759,25121,4773,1,1697,20,BL-1697-20-recto,27,April,4,May,1,,3,,1,,,,,,,,,,3,,2,,,,,,2,,2,,,,1,,,,,,1,,,,,,2,,,,1,,,,,,1,,,,2,,2,,2,,,,,,,,2,,1,,,,,,,,1,,1,,1,,1,,2,,,,,,,,3,,1,,,,,,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,2,,,,,,,,,,,,,,2,,,,1,,,,2,,1,,,,1,,3,,,,2,,,,,,,,32,64,0,26,,,,1,,6,,1,,6,,14,,11,,4,,8,,27,,14,,15,,11,,,,,,,,110,144,0,2,,44,,30,,9,,2,,5,,3,,7,,11,,,,11,,2,,14,,7,,14,,114,151,0,10,,10,,11,,16,,38,,6,,6,,,,68,97,0
32760,25122,4774,1,1697,21,BL-1697-21-recto,4,May,11,May,1,,2,,,,1,,,,1,,2,,,,1,,1,,1,,,,2,,,,5,,,,,,2,,,,,,1,,,,,,2,,,,,,1,,,,3,,,,,,,,,,,,3,,,,,,,,,,1,,1,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,2,,4,,1,,1,,,,,,,,50,52,0,11,,1,,,,7,,,,2,,11,,9,,6,,4,,22,,15,,7,,14,,,,1,,,,93,110,0,7,,43,,18,,5,,2,,5,,5,,4,,9,,1,,10,,4,,20,,5,,4,,116,142,0,10,,14,,24,,13,,28,,4,,3,,,,67,96,0
32761,25123,4782,1,1697,22,BL-1697-22-recto,11,May,18,May,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,1,,5,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,1,,2,,1,,1,,,,4,,2,,,,2,,1,,,,,,1,,1,,2,,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,1,,2,,,,1,,1,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,36,53,0,16,,,,,,4,,,,3,,11,,9,,3,,4,,26,,8,,4,,12,,,,1,,,,76,101,0,3,,22,,21,,5,,,,9,,3,,2,,13,,,,6,,,,15,,3,,6,,85,108,0,5,,4,,26,,14,,35,,1,,4,,,,66,89,0
32762,25124,4784,1,1697,23,BL-1697-23-recto,18,May,25,May,,,3,,,,,,,,,,,,,,1,,,,1,,,,,,,,5,,,,1,,,,1,,,,2,,,,,,2,,,,,,1,,2,,,,,,,,1,,,,4,,1,,,,2,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,1,,,,1,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,2,,,,2,,,,,,3,,,,,,3,,,,,,,,,,,,31,51,0,11,,2,,,,6,,3,,6,,9,,9,,2,,4,,32,,10,,9,,7,,1,,,,,,94,111,0,5,,33,,20,,8,,1,,8,,2,,3,,16,,4,,6,,1,,7,,5,,7,,105,126,0,8,,10,,12,,17,,8,,1,,5,,,,54,61,0
32763,25125,4790,1,1697,24,BL-1697-24-recto,25,May,1,June,,,3,,1,,2,,,,1,,1,,,,,,1,,2,,,,1,,,,2,,,,1,,,,,,1,,1,,,,,,3,,1,,1,,,,,,,,1,,2,,,,,,2,,,,2,,,,,,1,,,,1,,2,,,,,,1,,,,1,,,,,,,,2,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,2,,,,,,1,,,,,,1,,1,,1,,,,1,,,,1,,2,,,,,,,,,,1,,1,,1,,,,,,,,,,,,46,57,0,14,,1,,,,6,,,,3,,10,,8,,7,,5,,33,,12,,5,,12,,2,,,,,,98,118,0,2,,53,,27,,8,,1,,5,,4,,2,,9,,2,,9,,8,,12,,12,,4,,121,158,0,21,,15,,18,,16,,38,,2,,7,,,,93,117,0
32764,25126,4794,1,1697,25,BL-1697-25-recto,1,June,8,June,,,3,,1,,1,,,,1,,1,,,,,,1,,,,1,,1,,1,,1,,,,1,,1,,1,,1,,,,,,,,7,,,,2,,,,3,,1,,,,,,,,,,2,,2,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,1,,2,,,,,,,,,,36,55,0,12,,1,,,,5,,,,,,9,,11,,3,,3,,24,,12,,13,,11,,1,,,,,,90,105,0,3,,29,,22,,5,,3,,8,,5,,6,,9,,5,,7,,4,,15,,8,,2,,104,131,0,7,,5,,17,,10,,20,,,,6,,,,46,65,0
32765,25127,4795,1,1697,26,BL-1697-26-recto,8,June,15,June,,,1,,,,,,,,,,,,1,,2,,1,,,,3,,1,,2,,3,,,,,,,,1,,2,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,3,,,,,,1,,,,1,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,1,,,,,,3,,1,,,,,,,,2,,,,1,,1,,3,,,,1,,,,,,,,43,52,0,22,,2,,2,,8,,,,10,,9,,7,,5,,2,,19,,9,,10,,10,,1,,,,,,105,116,0,1,,25,,28,,10,,2,,6,,1,,2,,13,,4,,5,,8,,11,,4,,2,,103,122,0,15,,8,,16,,10,,26,,2,,11,,,,69,88,0
32766,25128,4805,1,1697,27,BL-1697-27-recto,15,June,22,June,,,1,,1,,3,,,,1,,1,,,,,,1,,,,1,,3,,,,2,,,,,,2,,,,,,1,,,,1,,4,,,,1,,1,,1,,,,1,,,,,,,,2,,2,,,,,,,,,,,,1,,1,,1,,,,,,,,2,,2,,,,,,1,,,,1,,1,,1,,1,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,,2,,1,,1,,,,2,,,,,,1,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,3,,,,,,1,,,,1,,44,62,0,17,,,,,,4,,1,,3,,7,,7,,2,,2,,21,,5,,7,,14,,1,,,,,,77,91,0,3,,36,,28,,8,,5,,6,,3,,5,,12,,,,3,,3,,13,,8,,3,,119,136,0,7,,12,,19,,17,,21,,2,,2,,,,66,80,0
32767,25129,4806,1,1697,28,BL-1697-28-recto,22,June,29,June,,,1,,,,1,,,,1,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,1,,,,,,4,,1,,2,,1,,1,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,,,,,,,,2,,1,,,,2,,,,,,,,2,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,1,,46,44,0,20,,1,,,,6,,2,,2,,12,,2,,3,,10,,24,,8,,14,,10,,1,,,,,,95,115,0,2,,33,,21,,7,,1,,7,,6,,4,,14,,,,6,,2,,10,,7,,6,,119,126,0,6,,5,,11,,14,,23,,1,,4,,,,76,64,0
32768,25130,4807,1,1697,29,BL-1697-29-recto,29,June,6,July,,,2,,,,1,,,,,,1,,,,,,2,,,,,,,,1,,4,,1,,,,,,,,,,1,,,,,,1,,1,,1,,,,3,,1,,,,1,,,,,,3,,1,,1,,3,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,2,,,,,,2,,,,,,1,,,,,,,,3,,,,1,,,,1,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,44,52,0,18,,2,,2,,4,,,,4,,7,,6,,,,2,,19,,15,,12,,5,,,,,,,,78,96,0,2,,43,,21,,8,,1,,6,,4,,7,,6,,1,,6,,3,,9,,7,,1,,100,125,0,6,,10,,13,,7,,22,,2,,4,,,,52,66,0
32802,25131,4808,1,1697,30,BL-1697-30-recto,6,July,13,July,1,,1,,,,,,,,,,1,,1,,,,,,1,,,,,,,,3,,,,2,,,,,,,,,,,,,,3,,1,,,,,,2,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,37,35,0,15,,1,,,,3,,2,,1,,8,,8,,,,4,,27,,12,,9,,8,,1,,,,,,87,99,0,3,,29,,19,,7,,,,3,,7,,4,,13,,1,,7,,1,,5,,3,,2,,98,104,0,8,,3,,13,,10,,23,,3,,3,,,,60,63,0
32803,25132,4809,1,1697,31,BL-1697-31-recto,13,July,20,July,,,3,,1,,1,,,,,,,,,,1,,1,,,,1,,2,,,,2,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,1,,39,37,0,13,,1,,,,6,,,,2,,13,,14,,3,,5,,15,,10,,8,,5,,,,,,,,90,100,0,2,,33,,18,,6,,3,,5,,2,,4,,6,,1,,5,,5,,11,,,,4,,95,100,0,4,,10,,19,,10,,24,,2,,4,,,,52,73,0
32804,25133,4810,1,1697,32,BL-1697-32-recto,20,July,26,July,,,1,,,,2,,,,1,,,,2,,1,,,,1,,1,,1,,1,,2,,,,,,,,,,1,,4,,,,,,4,,1,,1,,1,,,,,,1,,,,1,,2,,,,1,,1,,,,1,,,,,,,,2,,1,,2,,,,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,,40,51,0,16,,1,,,,5,,5,,4,,16,,6,,5,,5,,18,,11,,4,,9,,2,,,,,,96,107,0,3,,34,,21,,9,,2,,8,,7,,3,,7,,,,4,,1,,9,,9,,,,91,117,0,7,,4,,11,,9,,23,,4,,1,,,,60,59,0
32805,25134,4811,1,1697,33,BL-1697-33-recto,27,July,3,August,,,1,,,,5,,,,1,,,,,,2,,,,,,,,2,,1,,2,,,,,,,,1,,1,,,,1,,,,2,,,,,,1,,3,,2,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,3,,,,,,,,,,2,,36,49,0,16,,1,,,,4,,1,,3,,10,,6,,4,,6,,18,,14,,8,,8,,,,,,,,88,99,0,1,,42,,18,,5,,1,,,,3,,6,,6,,,,8,,1,,22,,8,,1,,107,122,0,6,,10,,13,,13,,19,,3,,4,,,,54,68,0
32806,25135,4812,1,1697,34,BL-1697-34-recto,3,August,10,August,,,1,,,,2,,,,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,2,,,,,,1,,1,,,,,,1,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,2,,,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,40,31,0,16,,1,,,,2,,,,1,,6,,7,,4,,7,,20,,15,,10,,16,,4,,,,,,87,109,0,3,,30,,23,,7,,1,,4,,2,,3,,12,,2,,4,,2,,12,,6,,4,,95,115,0,9,,12,,15,,12,,23,,3,,5,,,,65,79,0
32807,25136,4837,1,1697,35,BL-1697-35-recto,10,August,17,August,,,2,,,,2,,,,1,,,,,,1,,1,,,,,,,,1,,2,,1,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,,,1,,1,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,3,,1,,,,,,1,,,,,,,,,,1,,,,2,,,,,,1,,,,,,3,,,,,,,,,,1,,36,47,0,16,,4,,,,11,,,,,,11,,7,,6,,9,,17,,9,,9,,11,,,,,,,,96,110,0,3,,30,,22,,1,,1,,4,,4,,9,,10,,,,4,,2,,21,,6,,2,,99,119,0,13,,9,,24,,15,,38,,4,,3,,,,84,106,0
32808,25137,4839,1,1697,36,BL-1697-36-recto,17,August,24,August,,,2,,,,2,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,2,,,,,,,,2,,2,,1,,,,,,1,,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,1,,34,41,0,17,,2,,,,6,,,,2,,6,,12,,,,8,,19,,6,,11,,18,,,,,,,,97,97,0,,,40,,32,,10,,,,10,,7,,5,,7,,2,,6,,5,,8,,7,,3,,107,142,0,10,,10,,13,,12,,16,,1,,4,,,,58,66,0
32809,25138,4843,1,1697,37,BL-1697-37-recto,24,August,31,August,1,,2,,,,1,,,,,,,,,,,,,,,,2,,,,1,,7,,,,,,,,,,,,1,,,,,,3,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,1,,2,,,,2,,2,,,,1,,,,,,,,,,,,1,,1,,,,,,3,,,,,,1,,,,,,,,1,,,,,,,,3,,1,,,,1,,,,,,,,1,,2,,,,,,1,,1,,1,,,,,,,,1,,1,,1,,,,1,,1,,2,,1,,,,2,,,,1,,,,1,,48,60,0,27,,1,,1,,4,,1,,3,,13,,11,,6,,7,,16,,8,,8,,6,,,,,,,,100,112,0,4,,33,,24,,7,,2,,6,,2,,4,,7,,2,,3,,2,,7,,7,,6,,102,116,0,6,,11,,14,,13,,24,,,,2,,,,49,70,0
32810,25139,4858,1,1697,38,BL-1697-38-recto,31,August,7,September,,,2,,2,,3,,,,,,1,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,1,,,,,,3,,,,2,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,1,,,,2,,,,37,42,0,11,,1,,,,3,,1,,4,,15,,9,,3,,10,,26,,11,,9,,12,,,,,,,,93,115,0,4,,21,,27,,10,,1,,4,,2,,,,4,,,,8,,4,,15,,8,,1,,101,109,0,6,,10,,18,,7,,17,,1,,3,,,,67,62,0
32811,25140,4859,1,1697,39,BL-1697-39-recto,7,September,14,September,,,2,,,,,,,,1,,1,,,,,,,,,,2,,,,,,1,,,,,,,,,,1,,2,,,,,,2,,,,,,1,,3,,,,,,,,,,,,3,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,2,,,,2,,,,,,3,,,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,2,,,,,,2,,3,,,,2,,1,,1,,,,49,50,0,21,,,,,,6,,,,3,,12,,11,,6,,9,,21,,9,,7,,10,,1,,1,,,,95,107,0,2,,30,,19,,8,,2,,5,,5,,3,,11,,,,8,,1,,8,,7,,3,,111,112,0,7,,5,,14,,9,,26,,4,,,,,,80,74,
32842,25141,4860,1,1697,40,BL-1697-40-recto,14,September,21,September,,,4,,,,4,,,,,,,,,,1,,,,,,1,,,,,,2,,1,,,,,,2,,,,1,,1,,,,3,,,,,,2,,1,,,,1,,,,1,,,,4,,,,,,2,,1,,1,,,,3,,1,,3,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,,,,,1,,,,,,,,3,,,,,,,,,,1,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,48,59,0,17,,3,,,,6,,,,3,,10,,8,,6,,5,,25,,13,,10,,20,,,,,,,,106,126,0,2,,49,,34,,10,,4,,3,,2,,5,,10,,1,,10,,6,,11,,7,,3,,104,157,0,6,,6,,22,,14,,27,,4,,3,,,,67,82,0
32843,25142,4861,1,1697,41,BL-1697-41-recto,21,September,28,September,,,2,,,,2,,,,3,,2,,,,2,,2,,1,,,,1,,,,4,,,,,,,,,,1,,2,,,,,,2,,,,,,2,,5,,1,,,,1,,,,,,3,,,,1,,,,,,,,,,1,,1,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,2,,1,,,,1,,,,,,,,,,,,,,3,,1,,,,2,,,,,,4,,1,,1,,,,,,2,,50,68,0,15,,2,,,,6,,,,3,,11,,6,,5,,9,,24,,11,,5,,16,,2,,2,,,,105,117,0,1,,28,,28,,6,,4,,18,,3,,9,,8,,1,,5,,5,,20,,9,,,,116,145,0,10,,7,,10,,13,,24,,3,,,,,,64,67,0
32844,25143,4862,1,1697,42,BL-1697-42-recto,28,September,5,October,,,,,,,1,,,,,,,,,,2,,,,,,1,,2,,,,2,,,,1,,,,,,,,,,,,,,1,,1,,,,2,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,3,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,3,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,44,39,0,12,,3,,,,5,,1,,3,,10,,8,,4,,8,,26,,10,,2,,10,,1,,,,,,100,103,0,1,,31,,28,,8,,2,,11,,3,,2,,8,,,,6,,,,17,,7,,3,,100,127,0,9,,12,,11,,14,,26,,3,,8,,,,61,83,0
