,,Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week Number,is_missing,is_illegible,Unique Identifier,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End Month,is_missing,is_illegible,Abortive,is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,Chicken Pox,is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Drowned,is_missing,is_illegible,Drowned (Descriptive Text),is_missing,is_illegible,Executed,is_missing,is_illegible,Executed (Descriptive Text),is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,Flox and Small-Pox,is_missing,is_illegible,Flox and Small-Pox (Descriptive Text),is_missing,is_illegible,Flux,is_missing,is_illegible,Found dead,is_missing,is_illegible,Found Dead (Descriptive Text),is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,Griping in the Guts,is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,Hooping Cough,is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,Kings Evil,is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,Lunatick and Frenzy,is_missing,is_illegible,Malignant Fever,is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,Noli me tangere,is_missing,is_illegible,Overlaid,is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,Rising of the Lights,is_missing,is_illegible,Running of the Reins,is_missing,is_illegible,Rupture,is_missing,is_illegible,Scald Head,is_missing,is_illegible,Scarlet Fever,is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,St. Anthony's Fire,is_missing,is_illegible,Starved,is_missing,is_illegible,Starved (Description),is_missing,is_illegible,Still-born,is_missing,is_illegible,Stone,is_missing,is_illegible,Stopping of the Stomach,is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,Swelling in the Throat,is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,Twisting of the Guts,is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,Water in the Head,is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Killed,is_missing,is_illegible,Killed (Descriptive Text),is_missing,is_illegible,Suicide,is_missing,is_illegible,Suicide (Descriptive Text),is_missing,is_illegible,Other,is_missing,is_illegible,Other (Descriptive Text),is_missing,is_illegible,Christened (Male),is_missing,is_illegible,Christened (Female),is_missing,is_illegible,Christened (In All),is_missing,is_illegible,Buried (Male),is_missing,is_illegible,Buried (Female),is_missing,is_illegible,Buried (All),is_missing,is_illegible,Plague Deaths,is_missing,is_illegible,Increase/Decrease in Burials,is_missing,is_illegible,Increase/Decrease in Plague Deaths,is_missing,is_illegible,Parishes Clear of the Plague,is_missing,is_illegible,Parishes Infected (with Plague),is_missing,is_illegible
BL-1684-27-verso,TRUE,30295,38120,10346,1,1684,,,27,,,BL-1684-27-verso,,,17,,,June,,,24,,,June,,,,1,,30,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,6,,,4,,,,1,,,1,,68,,,74,,,,1,,,1,,,1,,12,,,2,,,"Drowned 2. one at S. Kathar. Tower, and one at Stepney;",,,,1,,,1,,,1,,61,,,,1,,14,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,44,,,,1,,,1,,,1,,,1,,,1,,4,,,4,,,,1,,,1,,1,,,,1,,3,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,16,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,7,,,,1,,,1,,,1,,7,,,1,,,6,,,,1,,,1,,1,,,13,,,,1,,,1,,20,,,3,,,2,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,1,,,Hanged herself at S. Mary Magd[?]en Bermondsey 1;,,,7,,,Kild 5. one at S Giles in the Fields 1; Kild.. one by the Fall of a Dore Case at S. Margaret Westminster 1; Kild... one with a piece of Clay at S. Mary Islington 1; Kild... one by the Fall of a Cask 1; Kild... and one by a Fall into the hold of a Close Lyter at S Olave Southwark 1; Sore-Leg 1; Sore Throte 1;,,,135,,,89,,,224,,,217,,,212,,,429,,,0,,,-4,,,,1,,132,,,0,,
BL-1684-28-verso,TRUE,30296,38121,10347,1,1684,,,28,,,BL-1684-28-verso,,,24,,,June,,,1,,,July,,,1,,,18,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,4,,,1,,,,1,,,1,,72,,,98,,,,1,,,1,,,1,,8,,,3,,,"Drowned 3. one at Christ Church, one at S. Katherine Tower, and one in a Tub at S. Margaret Westminster;",,,,1,,,1,,,1,,68,,,,1,,7,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,56,,,,1,,,1,,,1,,,1,,,1,,4,,,1,,,,1,,,1,,1,,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,2,,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,11,,,4,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,7,,,3,,,12,,,,1,,,1,,1,,,8,,,,1,,,1,,29,,,3,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,3,,,1,,,Kilk...one by a Musket at S Steven Colemanstreet,,,,1,,,1,,5,,,Frighted 1; Kilk...one accidentally at S. Giles in the Fields 1; Kilk... one by the Fall of a Yard Arm at S. Katharine Tower 1; Kilk... and one by the Fall of a Dresser at S. Margaret Westminster 1; Sore Throte 1;,,,141,,,122,,,263,,,240,,,214,,,454,,,0,,,35,,,,1,,132,,,0,,
BL-1684-29-verso,TRUE,30297,38122,10348,1,1684,,,29,,,BL-1684-29-verso,,,1,,,July,,,8,,,July,,,2,,,12,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,4,,,4,,,,1,,,1,,59,,,92,,,,1,,,1,,,1,,4,,,4,,,"Drowned 4. one at S. James Dukes Place, and 3 at S. John at Hackney;",,,,1,,,1,,,1,,51,,,,1,,18,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,71,,,,1,,1,,,,1,,,1,,,1,,3,,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,12,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,10,,,,1,,,1,,,1,,10,,,1,,,4,,,,1,,,1,,1,,,1,,,,1,,,1,,18,,,1,,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,2,,,Murthered at S. Martin in the Fields 1; one by a Cart Wheel at Stepney 1,,,,1,,,1,,3,,,Kild...one by a Fall of a Bundle of Hides at S. Stephen Colemanstreet 1; Kild...one accidentally at S. Giles in the Fields 1; Kild... and one by a Fall from a Wall at S. Clement Danes 1,,,138,,,139,,,277,,,197,,,207,,,404,,,0,,,-50,,,,1,,132,,,0,,
BL-1684-30-verso,TRUE,30298,38123,10349,1,1684,,,30,,,BL-1684-30-verso,,,8,,,July,,,15,,,July,,,2,,,15,,,,1,,1,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,1,,,,1,,,1,,42,,,79,,,,1,,,1,,1,,,14,,,3,,,"Drowned 3. one at S. Magnus, one at S. Olave Southwark, and one at S. Mary Newington;",,,1,,,,1,,,1,,39,,,,1,,13,,,,1,,1,,,1,,,Found Dead in the Street at S. Clement Danes 1;,,,4,,,,1,,1,,,,1,,,1,,,1,,65,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,8,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,9,,,1,,,2,,,,1,,,1,,1,,,5,,,,1,,,1,,27,,,2,,,2,,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,Kild...accidentally by a Cart at S. Giles Cripplegate 1;,,,1,,,Hanged himself at S. Martin in the Fields 1;,,,2,,,Burnt accidentally by a Candle at S. Olave Southwark 1; Kild one by the Bite of a Dog at S. Stephen Colemanstreet 1,,,127,,,141,,,268,,,186,,,178,,,364,,,0,,,-40,,,,1,,132,,,0,,
BL-1684-31-verso,TRUE,30328,38124,10350,1,1684,,,31,,,BL-1684-31-verso,,,15,,,July,,,22,,,July,,,,1,,23,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,8,,,2,,,,1,,1,,,55,,,89,,,,1,,,1,,,1,,7,,,2,,,"Drowned 2. one at S Kathar. Tower, and one at S. Paul Shadwell;",,,,1,,,1,,,1,,50,,,1,,,24,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,74,,,,1,,,1,,,1,,,1,,,1,,1,,,5,,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,3,,,2,,,,1,,1,,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,11,,,3,,,4,,,,1,,,1,,,1,,7,,,,1,,,1,,25,,,4,,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,Kild by a Brewers Dray at S. Olave Southwark 1;,,,128,,,131,,,259,,,212,,,208,,,420,,,0,,,56,,,,1,,132,,,0,,
BL-1684-32-verso,TRUE,30329,38125,10351,1,1684,,,32,,,BL-1684-32-verso,,,22,,,July,,,29,,,July,,,2,,,24,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,9,,,2,,,,1,,1,,,64,,,84,,,,1,,,1,,,1,,14,,,4,,,"Drowned 4 one in Tub of Water at S. Alhallows Great one at S. Giles in the Fields, and 2 at S. Katharine Tower;",,,,1,,,1,,,1,,51,,,,1,,23,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,116,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,13,,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,14,,,,1,,4,,,,1,,,1,,1,,,7,,,,1,,,1,,40,,,6,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,3,,,Kild...two by Swords at S. Kathar. Tower 2; one by a Coach at S. Giles Cripplegate 1,,,2,,,"Hanged herself, being Distracted at S. Giles Cripplegate 1; Kild himself, being Distracted at S. Margaret Westminster 1;",,,2,,,Excessive Drinking and Luxury at S. Pancras Soper Lane 1; Kild... one by a Bruise of a Fall at S. Mary Savoy 1,,,136,,,117,,,253,,,270,,,233,,,503,,,0,,,83,,,,1,,132,,,0,,
BL-1684-33-verso,TRUE,30330,38126,10352,1,1684,,,33,,,BL-1684-33-verso,,,29,,,July,,,5,,,August,,,2,,,25,,,,1,,5,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,11,,,2,,,,1,,,1,,66,,,180,,,,1,,,1,,,1,,16,,,4,,,"Drowned 4. one at Lambeth one at S. Mary Magdalen Bermondsey, one at S. Paul Shadwell, and one at S. Dunstan Stepney;",,,,1,,,1,,,1,,78,,,,1,,32,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,154,,,,1,,,1,,,1,,,1,,,1,,2,,,6,,,,1,,,1,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,12,,,4,,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,15,,,,1,,8,,,,1,,,1,,1,,,20,,,,1,,,1,,45,,,7,,,1,,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,3,,,,1,,4,,,,1,,,1,,,1,,,1,,2,,,Kild 2. one by a Fall from a Scaffold at S. Dunstan Stepney 1; Kild... and one by a Damp in a Well at S Martin in the Fields 1,,,154,,,146,,,300,,,396,,,324,,,720,,,0,,,217,,,,1,,132,,,0,,
BL-1684-35-verso,TRUE,30331,38127,10366,1,1684,,,35,,,BL-1684-35-verso,,,12,,,August,,,19,,,August,,,1,,,22,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,6,,,1,,,,1,,,1,,60,,,100,,,,1,,,1,,,1,,8,,,1,,,Drowned at S. Bennett Paulswharf 1;,,,,1,,,1,,,1,,73,,,1,,,22,,,,1,,1,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,186,,,,1,,,1,,,1,,,1,,,1,,3,,,1,,,,1,,,1,,6,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,12,,,4,,,,1,,3,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,12,,,1,,,3,,,,1,,,1,,1,,,11,,,,1,,,1,,43,,,5,,,2,,,,1,,,1,,2,,,,1,,5,,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,Kild by a Fall from a Tree at S. Nicholas Coleabby 1; Sore-Leg 1;,,,139,,,134,,,273,,,312,,,297,,,609,,,0,,,-17,,,,1,,132,,,0,,
BL-1684-37-verso,TRUE,30332,38128,10367,1,1684,,,37,,,BL-1684-37-verso,,,26,,,August,,,2,,,September,,,2,,,18,,,1,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,3,,,,1,,,1,,57,,,95,,,,1,,,1,,,1,,6,,,3,,,"Drowned 3. one at S. Kathar. Tower, and 2 at S. Mary Magdalen Bermondsey;",,,,1,,,1,,,1,,78,,,1,,,21,,,,1,,,1,,,1,,,1,,2,,,,1,,2,,,,1,,,1,,1,,,171,,,,1,,,1,,,1,,,1,,,1,,1,,,4,,,,1,,,1,,3,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,9,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,4,,,,1,,,1,,,1,,10,,,,1,,7,,,,1,,,1,,,1,,14,,,,1,,,1,,38,,,5,,,1,,,2,,,,1,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,2,,,1,,,Stabd with a Sword at S. Mary Whitechappel 1;,,,,1,,,1,,,1,,,1,,114,,,119,,,233,,,307,,,278,,,585,,,0,,,-71,,,,1,,132,,,0,,
BL-1684-38-verso,TRUE,30333,38129,10368,1,1684,,,38,,,BL-1684-38-verso,,,2,,,September,,,9,,,September,,,2,,,27,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,9,,,2,,,,1,,,1,,72,,,82,,,,1,,,1,,,1,,14,,,5,,,"Drowned 5. one at S. Olave Southwark, one in a Pond at S. John at Hackney, one at S. Katharine Tower, and two at S. Mary Whitechappel;",,,,1,,,1,,,1,,81,,,3,,,16,,,,1,,,1,,,1,,,1,,3,,,,1,,1,,,,1,,,1,,,1,,144,,1,,1,,1,,,,1,,,1,,,1,,3,,,9,,,,1,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,8,,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,12,,,,1,,11,,,,1,,,1,,1,,,8,,,,1,,,1,,22,,,3,,,3,,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,Murthered at S. Bartholomew Exchange 1;,,,,1,,,1,,1,,,Kild by a Fall from a Horse at S. Martin Vintry 1;,,,168,,,148,,,316,,,283,,,281,,,564,,,0,,,-21,,,,1,,132,,,0,,
BL-1684-38-verso,TRUE,30370,38138,10386,1,1684,,,38,,,BL-1684-38-verso,,,11,,,November,,,18,,,November,,,3,,,34,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,9,,,2,,,,1,,1,,,69,,,53,,,,1,,,1,,,1,,14,,,,1,,,1,,,1,,,1,,,1,,49,,,,1,,17,,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,32,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,8,,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,12,,,2,,,8,,,,1,,,1,,1,,,4,,,,1,,,1,,14,,,,1,,3,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,Kild 1...with a Stroak of a Tobacco-pipe at S. Giles in the Fields;,,,1,,,Hanged herself being Distracted at S. Margaret Westminster 1;,,,3,,,Burnt accidentally at S. Martin in the Fields 1; Kild 2. one at S Martin in the Fields...and one accidentally by a Fall from a House at S. Michael Bashaw;,,,143,,,137,,,280,,,182,,,182,,,364,,,0,,,-58,,,,1,,132,,,0,,
BL-1684-39-verso,TRUE,30334,38130,10369,1,1684,,,39,,,BL-1684-39-verso,,,9,,,September,,,16,,,September,,,1,,,19,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,6,,,,1,,,1,,,1,,66,,,58,,,,1,,,1,,,1,,7,,,,1,,,1,,,1,,,1,,,1,,84,,,1,,,25,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,103,,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,1,,,,1,,2,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,5,,,5,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,5,,,,1,,,1,,,1,,13,,,1,,,11,,,,1,,,1,,1,,,6,,,,1,,,1,,24,,,4,,,3,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,Murthered at S. Martin in the Fields 1;,,,1,,,Hanged himself Distracted at S. Mary-le Bow 1;,,,,1,,,1,,135,,,141,,,276,,,241,,,230,,,471,,,0,,,-93,,,,1,,132,,,0,,
BL-1684-40-verso,TRUE,30335,38131,10370,1,1684,,,40,,,BL-1684-40-verso,,,16,,,September,,,23,,,September,,,3,,,19,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,6,,,2,,,,1,,,1,,76,,,59,,,,1,,,1,,,1,,11,,,,1,,,1,,1,,,,1,,,1,,77,,,1,,,23,,,,1,,2,,,,1,,,1,,3,,,,1,,3,,,,1,,,1,,,1,,91,,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,,1,,,1,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,4,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,7,,,,1,,,1,,,1,,11,,,2,,,,1,,,1,,,1,,2,,,7,,,,1,,,1,,25,,,1,,,3,,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,Poysoned herself at S. Martin in the Fields 1;,,,,1,,,1,,159,,,121,,,280,,,240,,,224,,,464,,,0,,,-7,,,,1,,132,,,0,,
BL-1684-41-verso,TRUE,30336,38132,10371,1,1684,,,41,,,BL-1684-41-verso,,,23,,,September,,,30,,,September,,,2,,,21,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,8,,,1,,,,1,,,1,,75,,,6,,,,1,,,1,,,1,,8,,,,1,,,1,,1,,,,1,,,1,,66,,,,1,,16,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,1,,,83,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,15,,,1,,,7,,,,1,,,1,,3,,,6,,,,1,,,1,,25,,,2,,,1,,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,Murthered at S. Paul Covent Garden 1;,,,,1,,,1,,1,,,Kild himself with excessive Drinking of Brandy at S. Margaret Westminster 1,,,145,,,146,,,291,,,210,,,226,,,436,,,0,,,-27,,,,1,,132,,,0,,
BL-1684-41-verso,TRUE,30367,38135,10379,1,1684,,,41,,,BL-1684-41-verso,,,14,,,October,,,21,,,October,,,,1,,25,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,11,,,,1,,,1,,,1,,46,,,41,,,,1,,,1,,,1,,8,,,1,,,Drown'd at S. Kathar. Tower 1;,,,,1,,,1,,,1,,58,,,1,,,16,,,,1,,1,,,1,,,Found Dead upon a Brick-kiln at S. Giles in the Fields 1;,,,2,,,,1,,1,,,,1,,,1,,,1,,41,,,,1,,,1,,,1,,,1,,,1,,4,,,4,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,5,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,5,,,,1,,,1,,,1,,10,,,,1,,5,,,,1,,,1,,1,,,12,,,,1,,,1,,18,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,"Kild 2. one by a Fall from a Ladder at S. Giles Cripplegate, and one by Excessive Drinking of Brandy at St. James Clerkenwell;",,,148,,,136,,,284,,,164,,,165,,,329,,,0,,,-33,,,,1,,132,,,0,,
BL-1684-42-verso,TRUE,30337,38133,10372,1,1684,,,42,,,BL-1684-42-verso,,,30,,,September,,,7,,,October,,,2,,,25,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,6,,,5,,,,1,,,1,,44,,,81,,,,1,,,1,,,1,,13,,,1,,,Drown'd at S. Kathar. Tower 1;,,,,1,,,1,,,1,,61,,,,1,,22,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,85,,,,1,,,1,,,1,,,1,,,1,,,1,,4,,,,1,,,1,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,9,,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,4,,,,1,,,1,,,1,,7,,,1,,,5,,,,1,,,1,,3,,,6,,,,1,,,1,,19,,,2,,,4,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,Kild 2. one by a Fall into a close Liter at Alhallows Barkin 1; Kild...and one at S. Martin in the  Fields 1; Scalded accidentally in a Brewers Mash Tunn at S. Andrew Holborn 1,,,165,,,133,,,298,,,224,,,210,,,434,,,0,,,-2,,,,1,,132,,,0,,
